,who,issued,the,royal,proclamation,of,1763,?
october,0.2386598140001297,0.25433436036109924,0.2621108889579773,0.12348801642656326,0.24723586440086365,0.20846129953861237,-0.016759010031819344,0.29706719517707825
7,-0.12122417241334915,-0.037987351417541504,-0.1142377033829689,-0.008731197565793991,0.0016634289640933275,-0.04983885586261749,-0.10364428907632828,-0.15092156827449799
",",0.3365725874900818,0.21577242016792297,0.4933079481124878,0.24590183794498444,0.30962246656417847,0.4946078956127167,0.10973798483610153,0.31091248989105225
1763,0.03786081820726395,0.09053809195756912,0.08999345451593399,0.10489785671234131,0.06008606776595116,0.15998519957065582,0.9999999403953552,0.1296161562204361
",",0.3365725874900818,0.21577242016792297,0.4933079481124878,0.24590183794498444,0.30962246656417847,0.4946078956127167,0.10973798483610153,0.31091248989105225
which,0.3688730001449585,0.18690797686576843,0.6521818041801453,0.210358664393425,0.2718118727207184,0.5011631846427917,0.09034387022256851,0.25814583897590637
outlined,0.14977286756038666,0.296611487865448,0.26685938239097595,0.10002146661281586,0.26081934571266174,0.3017116189002991,0.17772112786769867,0.29497575759887695
the,0.3733934462070465,0.22837360203266144,1.0,0.2997032403945923,0.3199230134487152,0.733189046382904,0.08999345451593399,0.22068053483963013
division,0.14196254312992096,0.11797134578227997,0.26203617453575134,0.1744089424610138,0.17558032274246216,0.23579144477844238,0.13245472311973572,0.08900629729032516
and,0.41279885172843933,0.1752057820558548,0.5171257257461548,0.24934640526771545,0.20539095997810364,0.5116966962814331,0.10948607325553894,0.20544172823429108
administration,0.2072920948266983,0.2700469493865967,0.3083578944206238,0.17545512318611145,0.2653917968273163,0.3326551914215088,0.15898992121219635,0.14283715188503265
of,0.2827862501144409,0.2873246371746063,0.733189046382904,0.3112924098968506,0.31100159883499146,1.0,0.15998519957065582,0.1826142966747284
the,0.3733934462070465,0.22837360203266144,1.0,0.2997032403945923,0.3199230134487152,0.733189046382904,0.08999345451593399,0.22068053483963013
newly,0.2577650249004364,0.16280235350131989,0.35828328132629395,0.21082596480846405,0.2965877056121826,0.28144341707229614,0.04664931818842888,0.08549588173627853
conquered,0.24472782015800476,0.23490402102470398,0.3127642273902893,0.1890246421098709,0.34177008271217346,0.30313581228256226,0.12772047519683838,0.12499574571847916
territory,0.247842475771904,0.17678096890449524,0.3000710904598236,0.20942986011505127,0.40019580721855164,0.27564212679862976,0.1559188961982727,0.09435105323791504
",",0.3365725874900818,0.21577242016792297,0.4933079481124878,0.24590183794498444,0.30962246656417847,0.4946078956127167,0.10973798483610153,0.31091248989105225
and,0.41279885172843933,0.1752057820558548,0.5171257257461548,0.24934640526771545,0.20539095997810364,0.5116966962814331,0.10948607325553894,0.20544172823429108
to,0.42656609416007996,0.1648298054933548,0.535392165184021,0.20404569804668427,0.2827853858470917,0.41548454761505127,0.045962318778038025,0.29463258385658264
some,0.3978389501571655,0.1841805875301361,0.4566698372364044,0.1758628636598587,0.2166525274515152,0.4300730526447296,0.18114645779132843,0.2562315762042999
extent,0.18034863471984863,0.17404642701148987,0.2727625370025635,0.10327038913965225,0.2664291560649872,0.31072598695755005,0.16642789542675018,0.1940663903951645
continues,0.11779115349054337,0.21676847338676453,0.3452514410018921,0.11097217351198196,0.21086741983890533,0.2937655746936798,-0.04065665975213051,0.13186512887477875
to,0.42656609416007996,0.1648298054933548,0.535392165184021,0.20404569804668427,0.2827853858470917,0.41548454761505127,0.045962318778038025,0.29463258385658264
govern,0.2647138237953186,0.2083175778388977,0.2840098738670349,0.2105325609445572,0.3379892408847809,0.33577802777290344,0.12625423073768616,0.20213767886161804
relations,0.23041707277297974,0.1787359118461609,0.2259310483932495,0.0931183248758316,0.21677899360656738,0.272710919380188,0.09347885102033615,0.13942402601242065
between,0.20718061923980713,0.14151285588741302,0.39067012071609497,0.21500776708126068,0.18872258067131042,0.3737983703613281,0.08422501385211945,0.12887074053287506
the,0.3733934462070465,0.22837360203266144,1.0,0.2997032403945923,0.3199230134487152,0.733189046382904,0.08999345451593399,0.22068053483963013
government,0.27194860577583313,0.28301912546157837,0.31798112392425537,0.26952195167541504,0.3924456834793091,0.3475167155265808,0.11776736378669739,0.18851417303085327
of,0.2827862501144409,0.2873246371746063,0.733189046382904,0.3112924098968506,0.31100159883499146,1.0,0.15998519957065582,0.1826142966747284
modern,0.16937296092510223,0.11667602509260178,0.3283970355987549,0.18202458322048187,0.18113067746162415,0.3482828736305237,0.08638934046030045,0.12475407868623734
canada,0.1054597720503807,0.18151208758354187,0.2934837341308594,0.21515390276908875,0.226512148976326,0.24765145778656006,0.14497675001621246,0.15722735226154327
and,0.41279885172843933,0.1752057820558548,0.5171257257461548,0.24934640526771545,0.20539095997810364,0.5116966962814331,0.10948607325553894,0.20544172823429108
the,0.3733934462070465,0.22837360203266144,1.0,0.2997032403945923,0.3199230134487152,0.733189046382904,0.08999345451593399,0.22068053483963013
first,0.39065709710121155,0.24143996834754944,0.49448907375335693,0.2593725025653839,0.2527916133403778,0.3536086082458496,0.06998663395643234,0.18701928853988647
nations,0.2393599897623062,0.22863157093524933,0.3506215214729309,0.1989007294178009,0.3782905042171478,0.27521562576293945,0.17278233170509338,0.20999202132225037
.,0.3541337847709656,0.2158607542514801,0.5934505462646484,0.19540183246135712,0.23395371437072754,0.5352458953857422,0.14304909110069275,0.4130953550338745
