,does,bskyb,carry,any,control,over,the,picture,quality,of,a,channel,?
control,0.22912582755088806,0.17727622389793396,0.23104514181613922,0.22339946031570435,1.0,0.3525603711605072,0.32841500639915466,0.1602524369955063,0.18520835041999817,0.2817542552947998,0.21056023240089417,0.1987290382385254,0.1620711386203766
over,0.24276040494441986,0.1823693960905075,0.2725665867328644,0.353973388671875,0.3525603711605072,1.0,0.39856547117233276,0.19125661253929138,0.2347075343132019,0.36136594414711,0.32199642062187195,0.23430871963500977,0.25742942094802856
the,0.35928019881248474,0.20915858447551727,0.26752355694770813,0.4525727927684784,0.32841500639915466,0.39856547117233276,1.0,0.31755533814430237,0.21949779987335205,0.733189046382904,0.5829201340675354,0.2860044836997986,0.22068053483963013
channel,0.17076775431632996,0.17153316736221313,0.20794637501239777,0.16731774806976318,0.1987290382385254,0.23430871963500977,0.2860044836997986,0.15089884400367737,0.1633242666721344,0.1671900898218155,0.20914222300052643,0.9999999403953552,0.20176179707050323
's,-0.02895052544772625,0.046084970235824585,0.016908660531044006,0.09017360955476761,0.03798864781856537,0.016215575858950615,-0.01540423184633255,0.007782770786434412,0.03701535984873772,-0.03817026689648628,0.04866964742541313,0.10094652324914932,-0.023395681753754616
content,0.33242130279541016,0.1856074333190918,0.1964641809463501,0.41297757625579834,0.2031567394733429,0.2799279987812042,0.21174471080303192,0.23050813376903534,0.439082533121109,0.18281257152557373,0.20795699954032898,0.27572551369667053,0.37093979120254517
or,0.4248845875263214,0.1910710632801056,0.3316584527492523,0.5601577162742615,0.21823447942733765,0.30238664150238037,0.4174870550632477,0.24693284928798676,0.2978770434856415,0.3792596757411957,0.48853766918182373,0.198636993765831,0.32389625906944275
carriage,0.07788082212209702,0.20719881355762482,0.4093873202800751,0.1386847347021103,0.1439642310142517,0.12992164492607117,0.2583298683166504,0.1985333114862442,0.1498650461435318,0.20538465678691864,0.23122717440128326,0.08686937391757965,0.08573433756828308
issues,0.2924714684486389,0.16909056901931763,0.1123519316315651,0.38802313804626465,0.22631360590457916,0.2570655047893524,0.2638932764530182,0.1947866529226303,0.29465869069099426,0.2288406491279602,0.24391965568065643,0.12884074449539185,0.320565789937973
such,0.2787191867828369,0.1266324818134308,0.23265816271305084,0.4017013609409332,0.1892368346452713,0.27061226963996887,0.3575236201286316,0.17739848792552948,0.2873133420944214,0.3209529519081116,0.2706976532936096,0.15162293612957,0.17851735651493073
as,0.31202155351638794,0.18719172477722168,0.21199582517147064,0.35746830701828003,0.18926969170570374,0.3506779670715332,0.48381632566452026,0.2299330085515976,0.22240512073040009,0.3886612355709076,0.39550232887268066,0.17995701730251312,0.27043893933296204
picture,0.1447986364364624,0.20135881006717682,0.08052951097488403,0.23953662812709808,0.1602524369955063,0.19125661253929138,0.31755533814430237,1.0,0.25992539525032043,0.2663329243659973,0.28814423084259033,0.15089884400367737,0.24607865512371063
quality,0.2673164904117584,0.08746002614498138,0.19867104291915894,0.3214632272720337,0.18520835041999817,0.2347075343132019,0.21949779987335205,0.25992539525032043,1.0,0.24742498993873596,0.1999066025018692,0.1633242666721344,0.23524069786071777
.,0.3022993505001068,0.2844841778278351,0.21299658715724945,0.39295488595962524,0.24319837987422943,0.37877383828163147,0.5934505462646484,0.248503178358078,0.19519193470478058,0.5352458953857422,0.50484299659729,0.2489151805639267,0.4130953550338745
