,what,shape,are,some,of,the,buildings,in,the,parliament,complex,?
grass-roofed,0.15656778216362,0.3369219899177551,0.3349294066429138,0.3369917869567871,0.26552924513816833,0.29782938957214355,0.3274562954902649,0.2790912389755249,0.29782938957214355,0.19835440814495087,0.198023721575737,0.17140917479991913
branch,0.1792319416999817,0.1412040889263153,0.18532468378543854,0.1853441745042801,0.23972897231578827,0.2630956768989563,0.16097155213356018,0.21656033396720886,0.2630956768989563,0.26517051458358765,0.1917475461959839,0.10474635660648346
merging,0.18796852231025696,0.14665023982524872,0.23702746629714966,0.27669814229011536,0.16798439621925354,0.18074963986873627,0.19945117831230164,0.2056596875190735,0.18074963986873627,0.17461620271205902,0.17174862325191498,0.20606711506843567
into,0.2180619090795517,0.27197936177253723,0.2930682599544525,0.3148764669895172,0.32255905866622925,0.39493247866630554,0.19101768732070923,0.38021373748779297,0.39493247866630554,0.10098250210285187,0.20362713932991028,0.15662476420402527
adjacent,0.22539548575878143,0.2968316376209259,0.30525121092796326,0.26676222681999207,0.3417501151561737,0.3491702079772949,0.3123649060726166,0.27606403827667236,0.3491702079772949,0.15457257628440857,0.2915343940258026,0.10849558562040329
parkland,0.1218557134270668,0.18148714303970337,0.20538009703159332,0.22366982698440552,0.2793571352958679,0.27909055352211,0.3566122055053711,0.32190370559692383,0.27909055352211,0.280451238155365,0.16688863933086395,0.13132770359516144
and,0.31309178471565247,0.2703090310096741,0.48576638102531433,0.5337774157524109,0.5116966962814331,0.5171257257461548,0.3477250337600708,0.4954058527946472,0.5171257257461548,0.26227831840515137,0.2597591280937195,0.20544172823429108
gabion,0.1961289942264557,0.27215495705604553,0.24682725965976715,0.27422481775283813,0.3009079396724701,0.31492510437965393,0.2291700392961502,0.2926862835884094,0.31492510437965393,0.29427406191825867,0.1666945219039917,0.1792624294757843
walls,0.15050138533115387,0.2901169955730438,0.2309819459915161,0.2875883877277374,0.2193661332130432,0.28179097175598145,0.4325878322124481,0.23112986981868744,0.28179097175598145,0.165452241897583,0.1957685351371765,0.06935364007949829
formed,0.15451857447624207,0.2554529905319214,0.23466052114963531,0.2183554321527481,0.2871689796447754,0.28813210129737854,0.18468594551086426,0.27325257658958435,0.28813210129737854,0.16104741394519806,0.20089226961135864,0.09686966985464096
from,0.2737620174884796,0.2338540107011795,0.2674213647842407,0.35210713744163513,0.4249346852302551,0.40150508284568787,0.24082650244235992,0.4274188280105591,0.40150508284568787,0.18214061856269836,0.16958864033222198,0.19969791173934937
the,0.42745697498321533,0.29087939858436584,0.40399202704429626,0.4566698372364044,0.733189046382904,1.0,0.25566717982292175,0.6662389636039734,1.0,0.26521381735801697,0.25326284766197205,0.22068053483963013
stones,0.16966110467910767,0.27869507670402527,0.25388744473457336,0.2717350125312805,0.23857183754444122,0.2682363986968994,0.2914884686470032,0.2168799340724945,0.2682363986968994,0.17089606821537018,0.18720947206020355,0.14384394884109497
of,0.33290785551071167,0.2597946226596832,0.39081433415412903,0.4300730526447296,1.0,0.733189046382904,0.2829168736934662,0.5696388483047485,0.733189046382904,0.2885259687900543,0.24271073937416077,0.1826142966747284
previous,0.2743692696094513,0.05830778181552887,0.18899986147880554,0.2596050500869751,0.2892087996006012,0.34706559777259827,0.0719090923666954,0.2318485975265503,0.34706559777259827,0.16373689472675323,0.18763843178749084,0.16724538803100586
buildings,0.17147983610630035,0.20912590622901917,0.27261707186698914,0.29162153601646423,0.2829168736934662,0.25566717982292175,1.0,0.3479180932044983,0.25566717982292175,0.24943777918815613,0.32065993547439575,0.11192528158426285
.,0.3567904531955719,0.267643541097641,0.3452940285205841,0.40663889050483704,0.5352458953857422,0.5934505462646484,0.2799520492553711,0.5591574311256409,0.5934505462646484,0.23747818171977997,0.2245299518108368,0.4130953550338745
