,how,much,did,the,second,stage,increase,thrust,by,with,the,integration,of,the,s-ivb-200,?
with,0.3525622487068176,0.2808258831501007,0.25472134351730347,0.4223487675189972,0.272382527589798,0.1076672300696373,0.2471977174282074,0.20772916078567505,0.39731505513191223,0.9999999403953552,0.4223487675189972,0.18318811058998108,0.41827285289764404,0.4223487675189972,0.1382216513156891,0.2433311939239502
the,0.33890387415885925,0.35023224353790283,0.34736719727516174,1.0,0.4620301127433777,0.22652170062065125,0.32049667835235596,0.28476181626319885,0.4408751428127289,0.4223487675189972,1.0,0.32554522156715393,0.733189046382904,1.0,0.25528669357299805,0.22068053483963013
s-ivb-200,0.12519095838069916,0.04876681789755821,0.14172722399234772,0.25528669357299805,0.21873052418231964,0.07601434737443924,0.07421360909938812,0.06675950437784195,0.1756623387336731,0.1382216513156891,0.25528669357299805,0.10632876306772232,0.3188033401966095,0.25528669357299805,0.9999998807907104,0.008521830663084984
",",0.22659391164779663,0.36182254552841187,0.3015086054801941,0.4933079481124878,0.29927265644073486,0.2630990147590637,0.20005576312541962,0.14058633148670197,0.3680937886238098,0.4120737314224243,0.4933079481124878,0.24500080943107605,0.4946078956127167,0.4933079481124878,0.17869305610656738,0.31091248989105225
powered,0.2231164425611496,0.25718650221824646,0.19186323881149292,0.20832712948322296,0.17514319717884064,0.11829198151826859,0.21038851141929626,0.4155021011829376,0.248033344745636,0.23008078336715698,0.20832712948322296,0.16296890377998352,0.15550124645233154,0.20832712948322296,0.08827827125787735,0.16842906177043915
by,0.34370526671409607,0.24959969520568848,0.18574509024620056,0.4408751428127289,0.2977677285671234,0.173556387424469,0.20121172070503235,0.22652962803840637,1.0000001192092896,0.39731505513191223,0.4408751428127289,0.17495788633823395,0.3646814823150635,0.4408751428127289,0.1756623387336731,0.17966607213020325
a,0.29312583804130554,0.2958075702190399,0.2552328109741211,0.5829201340675354,0.3655064105987549,0.2036506086587906,0.24428929388523102,0.2908261716365814,0.32094135880470276,0.3783375024795532,0.5829201340675354,0.273913711309433,0.5052502155303955,0.5829201340675354,0.19485880434513092,0.23916715383529663
single,0.19500847160816193,0.22247035801410675,0.18021610379219055,0.29338565468788147,0.3141213655471802,0.20931552350521088,0.12187284231185913,0.2168935388326645,0.2381400614976883,0.24549491703510284,0.29338565468788147,0.1785653531551361,0.22455744445323944,0.29338565468788147,0.13045558333396912,0.2151121199131012
j-2,0.04647913947701454,-0.047372546046972275,-0.06871134042739868,0.013214903883635998,-0.030975325033068657,-0.008365928195416927,0.05637358874082565,-0.012180996127426624,0.03625046834349632,0.03434452787041664,0.013214903883635998,0.03454158082604408,0.015867799520492554,0.013214903883635998,0.06122735142707825,-0.04414217546582222
engine,0.15099172294139862,0.21749742329120636,0.1357124000787735,0.21651263535022736,0.14150185883045197,0.18058733642101288,0.21571218967437744,0.44194912910461426,0.1870088279247284,0.1990211457014084,0.21651263535022736,0.24708470702171326,0.17095594108104706,0.21651263535022736,0.1080869659781456,0.17739196121692657
burning,0.2131543904542923,0.25683531165122986,0.1652091145515442,0.2821531891822815,0.09294924139976501,0.13819655776023865,0.2659730315208435,0.2913854718208313,0.26396140456199646,0.25123926997184753,0.2821531891822815,0.14874695241451263,0.26340749859809875,0.2821531891822815,0.020185204222798347,0.18033187091350555
liquid,0.24121128022670746,0.23543694615364075,0.17522098124027252,0.25047987699508667,0.1304376721382141,0.1848597228527069,0.2755913734436035,0.3647497296333313,0.1749679148197174,0.21199610829353333,0.25047987699508667,0.20872510969638824,0.2296105921268463,0.25047987699508667,0.07407686114311218,0.18412289023399353
hydrogen,0.23238429427146912,0.23395395278930664,0.19611163437366486,0.20406323671340942,0.15330509841442108,0.18116271495819092,0.2242688238620758,0.32063618302345276,0.19148549437522888,0.2501595914363861,0.20406323671340942,0.20232033729553223,0.2024032324552536,0.20406323671340942,0.017444025725126266,0.14590126276016235
fuel,0.158112034201622,0.33815547823905945,0.15623702108860016,0.18534968793392181,0.12799394130706787,0.22075459361076355,0.30225518345832825,0.34149622917175293,0.14972494542598724,0.18444593250751495,0.18534968793392181,0.22288763523101807,0.18857792019844055,0.18534968793392181,0.03622126579284668,0.10583324730396271
with,0.3525622487068176,0.2808258831501007,0.25472134351730347,0.4223487675189972,0.272382527589798,0.1076672300696373,0.2471977174282074,0.20772916078567505,0.39731505513191223,0.9999999403953552,0.4223487675189972,0.18318811058998108,0.41827285289764404,0.4223487675189972,0.1382216513156891,0.2433311939239502
lox,0.18402613699436188,0.2530742585659027,0.15049521625041962,0.12060867249965668,0.1188599020242691,0.1578444391489029,0.10925612598657608,0.1162915974855423,0.1480560153722763,0.15825633704662323,0.12060867249965668,0.06961511820554733,0.023397840559482574,0.12060867249965668,0.04868878796696663,0.2652103304862976
",",0.22659391164779663,0.36182254552841187,0.3015086054801941,0.4933079481124878,0.29927265644073486,0.2630990147590637,0.20005576312541962,0.14058633148670197,0.3680937886238098,0.4120737314224243,0.4933079481124878,0.24500080943107605,0.4946078956127167,0.4933079481124878,0.17869305610656738,0.31091248989105225
to,0.44169697165489197,0.40610215067863464,0.4452643394470215,0.535392165184021,0.3098561465740204,0.1484832912683487,0.3378143310546875,0.2675754427909851,0.33534231781959534,0.4239959120750427,0.535392165184021,0.2722092568874359,0.41548454761505127,0.535392165184021,0.17562733590602875,0.29463258385658264
produce,0.24825716018676758,0.28528735041618347,0.21033655107021332,0.23457570374011993,0.12169373780488968,0.15689212083816528,0.3503129184246063,0.2522415220737457,0.2717679440975189,0.3382980525493622,0.23457570374011993,0.1590639352798462,0.19541172683238983,0.23457570374011993,0.07028273493051529,0.19229066371917725
"200,000",0.025636112317442894,-0.06130961328744888,0.07881927490234375,0.11895683407783508,0.14060524106025696,0.22905822098255157,0.025096995756030083,-0.02933247946202755,0.11681672930717468,0.006848506163805723,0.11895683407783508,0.0361388698220253,0.1260930597782135,0.11895683407783508,0.15452760457992554,-0.020140642300248146
lbf,0.2559916377067566,0.3011503517627716,0.14983490109443665,0.22945675253868103,0.2668676972389221,0.14484742283821106,0.325978547334671,0.510472297668457,0.1640581488609314,0.18616275489330292,0.22945675253868103,0.17047487199306488,0.20131079852581024,0.22945675253868103,0.0808497741818428,0.25105881690979004
(,0.1676948219537735,0.21788647770881653,0.18979617953300476,0.33289089798927307,0.27435752749443054,0.21330693364143372,0.15438681840896606,0.16461241245269775,0.20696312189102173,0.29503780603408813,0.33289089798927307,0.18835245072841644,0.35032153129577637,0.33289089798927307,0.05691876262426376,0.40561532974243164
890,-0.06589647382497787,-0.10680841654539108,-0.0017884309636428952,-0.0457124337553978,-0.0458185188472271,-0.06508180499076843,-0.21935853362083435,-0.07431621849536896,-0.03624974191188812,-0.04886163771152496,-0.0457124337553978,-0.07117287814617157,-0.03809375688433647,-0.0457124337553978,0.046013787388801575,0.015041227452456951
kn,0.1561761498451233,0.21236267685890198,0.10493256896734238,0.12718795239925385,0.14115051925182343,0.1370285451412201,0.21407844126224518,0.25411033630371094,0.11990418285131454,0.1061459481716156,0.12718795239925385,0.14002187550067902,0.144547700881958,0.12718795239925385,0.14278282225131989,0.22977566719055176
),0.17939934134483337,0.22256317734718323,0.18584993481636047,0.3456730246543884,0.29819294810295105,0.24287325143814087,0.15013758838176727,0.18580129742622375,0.2151763141155243,0.3069596290588379,0.3456730246543884,0.19082894921302795,0.3680361211299896,0.3456730246543884,0.06244101747870445,0.42300865054130554
of,0.2480744868516922,0.2671096920967102,0.2513895630836487,0.733189046382904,0.353416383266449,0.1389172226190567,0.3156060576438904,0.17752546072006226,0.3646814823150635,0.41827285289764404,0.733189046382904,0.2982959747314453,1.0,0.733189046382904,0.3188033401966095,0.1826142966747284
thrust,0.23684193193912506,0.2916714549064636,0.18759748339653015,0.28476181626319885,0.17371198534965515,0.16727915406227112,0.28268566727638245,1.0,0.22652962803840637,0.20772916078567505,0.28476181626319885,0.22135524451732635,0.17752546072006226,0.28476181626319885,0.06675950437784195,0.1531757265329361
.,0.3287222981452942,0.3374604284763336,0.35288307070732117,0.5934505462646484,0.346034437417984,0.19994208216667175,0.24619564414024353,0.19954590499401093,0.3936232924461365,0.4446153938770294,0.5934505462646484,0.2863176465034485,0.5352458953857422,0.5934505462646484,0.17049555480480194,0.4130953550338745
