,who,operated,the,vbsn,network
centers,0.1886996179819107,0.27305030822753906,0.3307511508464813,0.24377331137657166,0.287153035402298
and,0.41279885172843933,0.20508383214473724,0.5171257257461548,0.14306563138961792,0.27591994404792786
select,0.22709228098392487,0.15614867210388184,0.29196697473526,0.22167469561100006,0.18403787910938263
access,0.19773592054843903,0.3240818679332733,0.22827552258968353,0.3588823974132538,0.37160611152648926
points,0.16272501647472382,0.09632761776447296,0.2560983896255493,0.14855079352855682,0.10916262865066528
in,0.2792111933231354,0.24622488021850586,0.6662389636039734,0.2234802097082138,0.19496823847293854
the,0.3733934462070465,0.24699872732162476,1.0,0.23661670088768005,0.27187061309814453
united,0.21193812787532806,0.28657266497612,0.34367692470550537,0.20282545685768127,0.1803126037120819
states,0.21313154697418213,0.22723180055618286,0.3463578522205353,0.22814714908599854,0.18116310238838196
.,0.3541337847709656,0.2196541130542755,0.5934505462646484,0.23399800062179565,0.23909442126750946
,who,operated,the,vbsn,network
the,0.3733934462070465,0.24699872732162476,1.0,0.23661670088768005,0.27187061309814453
network,0.16999904811382294,0.3923075199127197,0.27187061309814453,0.3872973918914795,1.0000001192092896
was,0.3318818509578705,0.28584223985671997,0.48711544275283813,0.26279354095458984,0.1994880586862564
engineered,0.1694275140762329,0.1818622648715973,0.23022834956645966,0.2096400409936905,0.15190790593624115
and,0.41279885172843933,0.20508383214473724,0.5171257257461548,0.14306563138961792,0.27591994404792786
operated,0.1959102898836136,1.0,0.24699872732162476,0.3466830253601074,0.3923075199127197
by,0.39727845788002014,0.25013697147369385,0.4408751428127289,0.1675346940755844,0.214903324842453
mci,0.215206116437912,0.21178759634494781,0.21329274773597717,0.20581910014152527,0.1947559416294098
telecommunications,0.17811492085456848,0.4035719633102417,0.26301443576812744,0.3673039972782135,0.4938795268535614
under,0.2962189018726349,0.24493084847927094,0.3348022699356079,0.15086102485656738,0.18131254613399506
a,0.36608949303627014,0.221764475107193,0.5829201340675354,0.23713329434394836,0.17299489676952362
cooperative,0.21221239864826202,0.3337234556674957,0.22594931721687317,0.16488562524318695,0.2434954196214676
agreement,0.2349274456501007,0.24201206862926483,0.2490699142217636,0.20556490123271942,0.22367006540298462
with,0.3282766342163086,0.19524064660072327,0.4223487675189972,0.16682493686676025,0.2153671681880951
the,0.3733934462070465,0.24699872732162476,1.0,0.23661670088768005,0.27187061309814453
nsf,0.1894940435886383,0.2278342843055725,0.26045000553131104,0.3090899586677551,0.2739379405975342
.,0.3541337847709656,0.2196541130542755,0.5934505462646484,0.23399800062179565,0.23909442126750946
