,who,first,fully,explained,the,origins,of,magnetic,and,electric,fields,?
earlier,0.23053643107414246,0.30330008268356323,0.19668278098106384,0.2882910668849945,0.26843780279159546,0.2485857754945755,0.27635854482650757,0.14456994831562042,0.18838374316692352,0.1317100077867508,0.0959969088435173,0.13306351006031036
theories,0.22866421937942505,0.168670654296875,0.17994868755340576,0.43853169679641724,0.24012529850006104,0.3910963535308838,0.25074607133865356,0.2563415467739105,0.2395821362733841,0.13035881519317627,0.20381152629852295,0.21320602297782898
into,0.16956904530525208,0.21452488005161285,0.22869767248630524,0.19493259489536285,0.39493247866630554,0.11531742662191391,0.32255905866622925,0.13648121058940887,0.36597734689712524,0.13592304289340973,0.13313113152980804,0.15662476420402527
a,0.36608949303627014,0.4287874400615692,0.25668543577194214,0.24080877006053925,0.5829201340675354,0.1583317220211029,0.5052502155303955,0.19198331236839294,0.3739250600337982,0.24061402678489685,0.1733706295490265,0.23916715383529663
set,0.19352185726165771,0.2683366537094116,0.23405128717422485,0.20846743881702423,0.2927955985069275,0.09588420391082764,0.20671486854553223,0.12827131152153015,0.27649927139282227,0.15309464931488037,0.15742233395576477,0.1698019951581955
of,0.2827862501144409,0.3536086082458496,0.1846403181552887,0.24962453544139862,0.733189046382904,0.2670811712741852,1.0,0.16237565875053406,0.5116966962814331,0.17329032719135284,0.19633589684963226,0.1826142966747284
20,0.01726163923740387,-0.014052513986825943,-0.048141226172447205,-0.03968636691570282,-0.06418957561254501,0.0017462839605286717,-0.0318976491689682,-0.046237580478191376,0.04124240204691887,-0.07156123220920563,-0.0024139387533068657,0.11360422521829605
scalar,0.08497204631567001,0.16691751778125763,0.2129276692867279,0.3477212190628052,0.20701980590820312,0.17572826147079468,0.2585209012031555,0.44990038871765137,0.19899652898311615,0.3254009187221527,0.2897202968597412,0.2135646492242813
equations,0.1802440732717514,0.2176397740840912,0.25129392743110657,0.42835599184036255,0.1991964876651764,0.17778117954730988,0.186348557472229,0.42013853788375854,0.1906200498342514,0.3011855483055115,0.3620392084121704,0.2186179906129837
",",0.3365725874900818,0.34503069519996643,0.2252698540687561,0.26507580280303955,0.4933079481124878,0.257002055644989,0.4946078956127167,0.15619294345378876,0.6633074283599854,0.22981849312782288,0.2786177098751068,0.31091248989105225
which,0.3688730001449585,0.3828166127204895,0.41200849413871765,0.3173747956752777,0.6521818041801453,0.2681773006916046,0.5011631846427917,0.2323703169822693,0.506277859210968,0.272510290145874,0.20002226531505585,0.25814583897590637
were,0.3188014328479767,0.3285558819770813,0.22204972803592682,0.24850578606128693,0.3906462490558624,0.18461564183235168,0.34038281440734863,0.1386260688304901,0.42175528407096863,0.18160271644592285,0.13715113699436188,0.17890112102031708
later,0.35185644030570984,0.48412203788757324,0.28681036829948425,0.26564252376556396,0.4060266613960266,0.25176897644996643,0.3458743393421173,0.134582057595253,0.4216292202472687,0.16718456149101257,0.11181660741567612,0.1417175978422165
reformulated,0.22494164109230042,0.26841744780540466,0.21788804233074188,0.37430140376091003,0.27593451738357544,0.22009392082691193,0.27414679527282715,0.14972816407680511,0.2540411949157715,0.11580972373485565,0.15102705359458923,0.15781787037849426
into,0.16956904530525208,0.21452488005161285,0.22869767248630524,0.19493259489536285,0.39493247866630554,0.11531742662191391,0.32255905866622925,0.13648121058940887,0.36597734689712524,0.13592304289340973,0.13313113152980804,0.15662476420402527
4,0.09137360751628876,0.18687711656093597,0.04235582798719406,-0.019292984157800674,0.15499350428581238,0.020137183368206024,0.17227263748645782,0.0140956686809659,0.11143114417791367,0.04218825697898865,0.024523569270968437,0.010515431873500347
vector,0.13336564600467682,0.13640670478343964,0.1642000675201416,0.2736547291278839,0.18854442238807678,0.09652632474899292,0.20483794808387756,0.3739117681980133,0.20854924619197845,0.23574602603912354,0.27340444922447205,0.26140129566192627
equations,0.1802440732717514,0.2176397740840912,0.25129392743110657,0.42835599184036255,0.1991964876651764,0.17778117954730988,0.186348557472229,0.42013853788375854,0.1906200498342514,0.3011855483055115,0.3620392084121704,0.2186179906129837
by,0.39727845788002014,0.3877052962779999,0.24546781182289124,0.28881314396858215,0.4408751428127289,0.15475714206695557,0.3646814823150635,0.16522380709648132,0.4289871156215668,0.19581176340579987,0.1579877883195877,0.17966607213020325
oliver,0.2527284026145935,0.17166732251644135,0.09386038780212402,0.1733912080526352,0.24067138135433197,0.1495915949344635,0.09225431829690933,0.12192575633525848,0.22139447927474976,0.15666833519935608,0.09667292982339859,0.20260699093341827
heaviside,0.2567344009876251,0.2871413230895996,0.2388990968465805,0.33093902468681335,0.2694801688194275,0.14198970794677734,0.23859341442584991,0.3594045639038086,0.3358288109302521,0.3129546344280243,0.2565549612045288,0.1551138013601303
and,0.41279885172843933,0.3167642652988434,0.23881065845489502,0.2517392039299011,0.5171257257461548,0.21966230869293213,0.5116966962814331,0.1990627944469452,1.0,0.212884783744812,0.3074205219745636,0.20544172823429108
josiah,0.2883211374282837,0.2988230288028717,0.1812453269958496,0.20937205851078033,0.1773129254579544,0.17760953307151794,0.2083442211151123,0.20195075869560242,0.17651227116584778,0.2305830717086792,0.13601472973823547,0.11097413301467896
willard,0.22746172547340393,0.26781272888183594,0.07141729444265366,0.24369759857654572,0.23236997425556183,0.11082786321640015,0.17891305685043335,0.22220824658870697,0.2522672116756439,0.21813872456550598,0.1871948391199112,0.1463320255279541
gibbs,0.1685199737548828,0.2197931855916977,0.12828288972377777,0.15765570104122162,0.179118812084198,0.1355666220188141,0.12077943980693817,0.21417784690856934,0.22526833415031433,0.2644685208797455,0.20385387539863586,0.11323598772287369
.,0.3541337847709656,0.4345304071903229,0.2809041440486908,0.24758407473564148,0.5934505462646484,0.1620374470949173,0.5352458953857422,0.1884709596633911,0.588965117931366,0.23612159490585327,0.23414810001850128,0.4130953550338745
