,who,asked,luther,to,teach,theology,at,the,university,of,wittenberg,?
",",0.3365725874900818,0.2717181444168091,0.23255878686904907,0.44245919585227966,0.22192275524139404,0.23964712023735046,0.38314947485923767,0.4933079481124878,0.3017033040523529,0.4946078956127167,0.23876431584358215,0.31091248989105225
von,0.1834137886762619,0.1583550125360489,0.30416905879974365,0.17537063360214233,0.12787185609340668,0.16715313494205475,0.11698677390813828,0.21817399561405182,0.11131808161735535,0.19899946451187134,0.41582897305488586,0.13907472789287567
staupitz,0.3162999153137207,0.18792816996574402,0.34837332367897034,0.2077639251947403,0.11780393868684769,0.2601979672908783,0.27978792786598206,0.3482396900653839,0.27943167090415955,0.3266022205352783,0.42413774132728577,0.23673401772975922
",",0.3365725874900818,0.2717181444168091,0.23255878686904907,0.44245919585227966,0.22192275524139404,0.23964712023735046,0.38314947485923767,0.4933079481124878,0.3017033040523529,0.4946078956127167,0.23876431584358215,0.31091248989105225
first,0.39065709710121155,0.2752401828765869,0.20517638325691223,0.3792489171028137,0.22963197529315948,0.14320513606071472,0.3138778805732727,0.49448907375335693,0.2596641778945923,0.3536086082458496,0.1916581392288208,0.18701928853988647
dean,0.21395713090896606,0.15078875422477722,0.2561274468898773,0.1386713683605194,0.19048528373241425,0.3050323724746704,0.178473100066185,0.20016886293888092,0.24356074631214142,0.18306459486484528,0.19323913753032684,0.13287632167339325
of,0.2827862501144409,0.20290979743003845,0.1719115972518921,0.41548454761505127,0.2383975088596344,0.274120032787323,0.42558613419532776,0.733189046382904,0.30646374821662903,1.0,0.296735942363739,0.1826142966747284
the,0.3733934462070465,0.25750473141670227,0.1759674996137619,0.535392165184021,0.1966347098350525,0.1939574033021927,0.457212895154953,1.0,0.263973206281662,0.733189046382904,0.31221258640289307,0.22068053483963013
newly,0.2577650249004364,0.17661017179489136,0.1337652951478958,0.28304818272590637,0.13766427338123322,0.08597827702760696,0.22695361077785492,0.35828328132629395,0.14422756433486938,0.28144341707229614,0.23864968121051788,0.08549588173627853
founded,0.2723641097545624,0.22321602702140808,0.11605305224657059,0.15697255730628967,0.22456012666225433,0.22414655983448029,0.20260940492153168,0.2840350568294525,0.3603554666042328,0.24571022391319275,0.18137714266777039,0.09119737893342972
university,0.2115909904241562,0.19366830587387085,0.2046351283788681,0.20192374289035797,0.3424413502216339,0.4616926908493042,0.30386853218078613,0.263973206281662,1.0,0.30646374821662903,0.23033910989761353,0.11887256056070328
of,0.2827862501144409,0.20290979743003845,0.1719115972518921,0.41548454761505127,0.2383975088596344,0.274120032787323,0.42558613419532776,0.733189046382904,0.30646374821662903,1.0,0.296735942363739,0.1826142966747284
wittenberg,0.21210268139839172,0.11458652466535568,0.42518264055252075,0.20284001529216766,0.19397470355033875,0.2539619207382202,0.1723494976758957,0.31221258640289307,0.23033910989761353,0.296735942363739,1.0000001192092896,0.15716047585010529
",",0.3365725874900818,0.2717181444168091,0.23255878686904907,0.44245919585227966,0.22192275524139404,0.23964712023735046,0.38314947485923767,0.4933079481124878,0.3017033040523529,0.4946078956127167,0.23876431584358215,0.31091248989105225
sent,0.33813023567199707,0.4217354655265808,0.16650304198265076,0.34694167971611023,0.23135608434677124,0.17240405082702637,0.2616238594055176,0.3010627329349518,0.1960422247648239,0.28923630714416504,0.17862269282341003,0.10903520882129669
for,0.37110671401023865,0.32051798701286316,0.12958186864852905,0.4451248347759247,0.31015744805336,0.13697665929794312,0.34237727522850037,0.4739971458911896,0.18573740124702454,0.4185989499092102,0.14358381927013397,0.264628142118454
luther,0.21013082563877106,0.1481681615114212,1.0,0.18029534816741943,0.21748284995555878,0.3810495138168335,0.13834704458713531,0.1759674996137619,0.2046351283788681,0.1719115972518921,0.42518264055252075,0.1732746809720993
",",0.3365725874900818,0.2717181444168091,0.23255878686904907,0.44245919585227966,0.22192275524139404,0.23964712023735046,0.38314947485923767,0.4933079481124878,0.3017033040523529,0.4946078956127167,0.23876431584358215,0.31091248989105225
to,0.42656609416007996,0.39673250913619995,0.18029534816741943,1.0,0.36650484800338745,0.23310686647891998,0.36524343490600586,0.535392165184021,0.20192374289035797,0.41548454761505127,0.20284001529216766,0.29463258385658264
teach,0.3465370237827301,0.270809531211853,0.21748284995555878,0.36650484800338745,1.0000001192092896,0.38222965598106384,0.18018215894699097,0.1966347098350525,0.3424413502216339,0.2383975088596344,0.19397470355033875,0.24188745021820068
theology,0.20974880456924438,0.11749064177274704,0.3810495138168335,0.23310686647891998,0.38222965598106384,1.0000001192092896,0.21463027596473694,0.1939574033021927,0.4616926908493042,0.274120032787323,0.2539619207382202,0.1560962051153183
.,0.3541337847709656,0.27467578649520874,0.24907569587230682,0.4645031690597534,0.2642667293548584,0.20223373174667358,0.4549728035926819,0.5934505462646484,0.290679007768631,0.5352458953857422,0.30842825770378113,0.4130953550338745
