,abc,continued,nbc,blue,'s,tradition,of,what,?
broadcast,0.4876510202884674,0.20849305391311646,0.5847012996673584,0.09579884260892868,0.0797032043337822,0.20950208604335785,0.20155203342437744,0.17857211828231812,0.15760008990764618
of,0.14607268571853638,0.2527073323726654,0.12012486904859543,0.23528409004211426,-0.03817026689648628,0.2663337290287018,1.0,0.33290785551071167,0.1826142966747284
the,0.2068762183189392,0.29953038692474365,0.20618264377117157,0.2734997570514679,-0.01540423184633255,0.2632053792476654,0.733189046382904,0.42745697498321533,0.22068053483963013
chamber,0.08184900879859924,0.2014603316783905,0.1038949191570282,0.0823468267917633,-0.0006521839532069862,0.18780232965946198,0.24295011162757874,0.1224752739071846,0.04307165369391441
music,0.2344057261943817,0.23402048647403717,0.20887605845928192,0.14700418710708618,0.09120280295610428,0.26390352845191956,0.25892743468284607,0.23070453107357025,0.18264494836330414
society,0.09681165218353271,0.21481364965438843,0.14546571671962738,0.11212395131587982,-0.027537118643522263,0.3476041853427887,0.23646748065948486,0.23231269419193268,0.1373005360364914
of,0.14607268571853638,0.2527073323726654,0.12012486904859543,0.23528409004211426,-0.03817026689648628,0.2663337290287018,1.0,0.33290785551071167,0.1826142966747284
lower,0.11324325948953629,0.13139402866363525,0.09417683631181717,0.13725169003009796,0.08257514238357544,0.14364199340343475,0.31757521629333496,0.20079238712787628,0.08471795171499252
basin,0.17425385117530823,0.10470735281705856,0.11722817271947861,0.13187189400196075,0.04280134662985802,0.16543522477149963,0.2557278275489807,0.1565224826335907,0.14685653150081635
street,0.1996762454509735,0.13905537128448486,0.15660430490970612,0.07059648633003235,0.06000900641083717,0.1718931496143341,0.18984536826610565,0.14271703362464905,0.07315441966056824
announced,0.20444560050964355,0.3429420292377472,0.2777276635169983,0.03414817899465561,-0.056355372071266174,0.11740091443061829,0.22339491546154022,0.09249057620763779,0.17416009306907654
by,0.17600902915000916,0.20265081524848938,0.16605262458324432,0.18874850869178772,-0.010884488001465797,0.1753137856721878,0.3646814823150635,0.2455483376979828,0.17966607213020325
milton,0.19641965627670288,0.14281168580055237,0.16688549518585205,0.16437938809394836,0.10680624842643738,0.1630176305770874,0.18757927417755127,0.19606824219226837,0.1688244491815567
cross,0.15315373241901398,0.09073144942522049,0.09769951552152634,0.20166829228401184,0.009486227296292782,0.1933927685022354,0.2018742561340332,0.1799720823764801,0.12288589030504227
.,0.2567209303379059,0.24624989926815033,0.23586274683475494,0.2285863310098648,-0.003708066651597619,0.18545886874198914,0.5352458953857422,0.3567904531955719,0.4130953550338745
