,the,kronenberg,palace,had,been,an,exceptional,example,of,what,type,of,architecture,?
war,0.366199791431427,0.23069138824939728,0.189139723777771,0.29970744252204895,0.18175610899925232,0.15861496329307556,0.16346445679664612,0.22234193980693817,0.31680163741111755,0.22516006231307983,0.16726574301719666,0.31680163741111755,0.1874944418668747,0.15510529279708862
(,0.33289089798927307,0.2076452523469925,0.17869748175144196,0.16223937273025513,0.1755061000585556,0.286407470703125,0.17392662167549133,0.23614145815372467,0.35032153129577637,0.2411840260028839,0.1677488386631012,0.35032153129577637,0.15788985788822174,0.40561532974243164
like,0.32912567257881165,0.08188727498054504,0.12325705587863922,0.3092091679573059,0.31125715374946594,0.2679307162761688,0.2772698998451233,0.5283538699150085,0.3244853615760803,0.4320242702960968,0.2712353765964508,0.3244853615760803,0.20247940719127655,0.3268813192844391
mentioned,0.3624042272567749,0.17702840268611908,0.1609194278717041,0.26577451825141907,0.3358675539493561,0.20717553794384003,0.3150501251220703,0.2471390962600708,0.2778978943824768,0.3295830190181732,0.14178140461444855,0.2778978943824768,0.1510123759508133,0.3025412857532501
kronenberg,0.26496022939682007,0.9999998807907104,0.14763380587100983,0.18403558433055878,0.1640937477350235,0.15214970707893372,0.14855073392391205,0.16650934517383575,0.2117885798215866,0.1249593123793602,0.10973025858402252,0.2117885798215866,0.15773905813694,0.14167624711990356
palace,0.25955939292907715,0.14763380587100983,0.9999999403953552,0.18464691936969757,0.2039792239665985,0.0803745836019516,0.1167110726237297,0.14144782721996307,0.223849356174469,0.17891965806484222,0.03219127282500267,0.223849356174469,0.2988702058792114,0.14965219795703888
and,0.5171257257461548,0.21196429431438446,0.20294713973999023,0.3872550129890442,0.3424558639526367,0.2838519215583801,0.31735774874687195,0.35305824875831604,0.5116966962814331,0.31309178471565247,0.16898801922798157,0.5116966962814331,0.2369556725025177,0.20544172823429108
insurance,0.20709019899368286,0.16539709270000458,0.07954631745815277,0.1792912483215332,0.1730596423149109,0.18596476316452026,0.15813323855400085,0.24692505598068237,0.23023805022239685,0.2602764964103699,0.1747732162475586,0.23023805022239685,0.18903972208499908,0.16563807427883148
company,0.26591673493385315,0.17211563885211945,0.09594522416591644,0.19269630312919617,0.1287740170955658,0.13791987299919128,0.13703665137290955,0.17439007759094238,0.20467796921730042,0.2333769053220749,0.19322197139263153,0.20467796921730042,0.17782968282699585,0.12195809185504913
rosja,0.27971285581588745,0.4067278504371643,0.21504180133342743,0.15288850665092468,0.1288493126630783,0.18536613881587982,0.10914623737335205,0.107932448387146,0.20845001935958862,0.16520951688289642,0.11156625300645828,0.20845001935958862,0.14649513363838196,0.1922048032283783
building,0.3159640431404114,0.14038944244384766,0.38647371530532837,0.21423201262950897,0.19875942170619965,0.09766699373722076,0.1073790043592453,0.23277489840984344,0.26200541853904724,0.23529528081417084,0.17579787969589233,0.26200541853904724,0.4623510539531708,0.13549931347370148
),0.3456730246543884,0.2117515206336975,0.18446725606918335,0.17014533281326294,0.1854540854692459,0.2873353958129883,0.1897914856672287,0.26101627945899963,0.3680361211299896,0.26259949803352356,0.18612703680992126,0.3680361211299896,0.1656959503889084,0.42300865054130554
or,0.4174870550632477,0.12482824921607971,0.153071790933609,0.2672365605831146,0.32461076974868774,0.3096676766872406,0.33955779671669006,0.5192843675613403,0.3792596757411957,0.33867141604423523,0.38183850049972534,0.3792596757411957,0.15724597871303558,0.32389625906944275
they,0.49925389885902405,0.132502019405365,0.1459549367427826,0.4949169158935547,0.410590261220932,0.2435421496629715,0.27752673625946045,0.32425805926322937,0.3426007330417633,0.4431931674480438,0.1953689455986023,0.3426007330417633,0.1419280469417572,0.2753053903579712
were,0.3906462490558624,0.19431878626346588,0.1839732825756073,0.6150832772254944,0.5062422156333923,0.08893381804227829,0.23810482025146484,0.21319323778152466,0.34038281440734863,0.22298263013362885,0.09534358233213425,0.34038281440734863,0.17041242122650146,0.17890112102031708
rebuilt,0.30831199884414673,0.20835743844509125,0.35920965671539307,0.34270983934402466,0.301167368888855,0.16680574417114258,0.12018122524023056,0.12251942604780197,0.19431622326374054,0.1615816354751587,0.12266208231449127,0.19431622326374054,0.36335328221321106,0.08837113529443741
in,0.6662389636039734,0.2832821309566498,0.22634974122047424,0.385026752948761,0.3515113592147827,0.2605783939361572,0.28676509857177734,0.30483278632164,0.5696388483047485,0.30808621644973755,0.20604541897773743,0.5696388483047485,0.2624244689941406,0.20430970191955566
socialist,0.22549325227737427,0.21163144707679749,0.18946059048175812,0.17847995460033417,0.15731270611286163,0.15855637192726135,0.06678611040115356,0.1945001482963562,0.223622128367424,0.1871950775384903,0.04812098294496536,0.223622128367424,0.22598591446876526,0.13656741380691528
realism,0.18624071776866913,0.2053748220205307,0.13511888682842255,0.17813725769519806,0.1527964323759079,0.14978142082691193,0.1522558331489563,0.2367444485425949,0.20264233648777008,0.33449432253837585,0.09575414657592773,0.20264233648777008,0.33046695590019226,0.13895580172538757
style,0.2331719547510147,0.13889048993587494,0.18916551768779755,0.20111283659934998,0.1759503185749054,0.1183592826128006,0.1820942908525467,0.2656274437904358,0.23203764855861664,0.2488866001367569,0.23222918808460236,0.23203764855861664,0.37103867530822754,0.19862167537212372
(,0.33289089798927307,0.2076452523469925,0.17869748175144196,0.16223937273025513,0.1755061000585556,0.286407470703125,0.17392662167549133,0.23614145815372467,0.35032153129577637,0.2411840260028839,0.1677488386631012,0.35032153129577637,0.15788985788822174,0.40561532974243164
like,0.32912567257881165,0.08188727498054504,0.12325705587863922,0.3092091679573059,0.31125715374946594,0.2679307162761688,0.2772698998451233,0.5283538699150085,0.3244853615760803,0.4320242702960968,0.2712353765964508,0.3244853615760803,0.20247940719127655,0.3268813192844391
warsaw,0.23137180507183075,0.38722193241119385,0.25637224316596985,0.2310895472764969,0.1453571766614914,0.15493714809417725,0.10459863394498825,0.14482061564922333,0.19253842532634735,0.10373849421739578,0.06697078794240952,0.19253842532634735,0.1518496423959732,0.09769917279481888
philharmony,0.25529205799102783,0.30516988039016724,0.32437604665756226,0.2685425281524658,0.17247553169727325,0.09301898628473282,0.13092315196990967,0.10324212163686752,0.23783744871616364,0.16439111530780792,-0.03303449973464012,0.23783744871616364,0.20611979067325592,0.1453067660331726
edifice,0.24389362335205078,0.21447768807411194,0.29367971420288086,0.12013479322195053,0.19825927913188934,0.16379250586032867,0.264329731464386,0.27160367369651794,0.2570846676826477,0.12199555337429047,0.08609744161367416,0.2570846676826477,0.36016663908958435,0.24024786055088043
originally,0.36820849776268005,0.20336300134658813,0.17576871812343597,0.3063849210739136,0.37399569153785706,0.21292129158973694,0.14469510316848755,0.14196312427520752,0.21349623799324036,0.2645323872566223,0.17200776934623718,0.21349623799324036,0.21279798448085785,0.07821967452764511
inspired,0.271378755569458,0.19046032428741455,0.144046351313591,0.3102242648601532,0.24395069479942322,0.17236271500587463,0.23059087991714478,0.24223728477954865,0.2985292971134186,0.18111269176006317,0.14873458445072174,0.2985292971134186,0.2880651652812958,0.1529090851545334
by,0.4408751428127289,0.22928620874881744,0.14397868514060974,0.37294110655784607,0.39107078313827515,0.2719563841819763,0.23861649632453918,0.29030951857566833,0.3646814823150635,0.2455483376979828,0.15232881903648376,0.3646814823150635,0.14900097250938416,0.17966607213020325
palais,0.28093087673187256,0.2773820161819458,0.5208785533905029,0.18736869096755981,0.16746613383293152,0.11190088093280792,0.10570863634347916,0.11645863205194473,0.23997849225997925,0.1286901831626892,0.0577557347714901,0.23997849225997925,0.28398510813713074,0.09327621757984161
garnier,0.31302085518836975,0.2761916220188141,0.16773682832717896,0.2574586570262909,0.2545667290687561,0.20488980412483215,0.20064270496368408,0.12523303925991058,0.2668689489364624,0.14585761725902557,0.10023283213376999,0.2668689489364624,0.25001686811447144,0.17931152880191803
in,0.6662389636039734,0.2832821309566498,0.22634974122047424,0.385026752948761,0.3515113592147827,0.2605783939361572,0.28676509857177734,0.30483278632164,0.5696388483047485,0.30808621644973755,0.20604541897773743,0.5696388483047485,0.2624244689941406,0.20430970191955566
paris,0.24946041405200958,0.20656181871891022,0.31307852268218994,0.2232414036989212,0.12020096182823181,0.14646632969379425,0.17392972111701965,0.14505590498447418,0.19470684230327606,0.12914370000362396,0.08523308485746384,0.19470684230327606,0.215689554810524,0.1491217315196991
),0.3456730246543884,0.2117515206336975,0.18446725606918335,0.17014533281326294,0.1854540854692459,0.2873353958129883,0.1897914856672287,0.26101627945899963,0.3680361211299896,0.26259949803352356,0.18612703680992126,0.3680361211299896,0.1656959503889084,0.42300865054130554
.,0.5934505462646484,0.2701782286167145,0.21039699018001556,0.37348684668540955,0.33645182847976685,0.3581749200820923,0.2477550357580185,0.41217929124832153,0.5352458953857422,0.3567904531955719,0.23195341229438782,0.5352458953857422,0.21623484790325165,0.4130953550338745
