,how,old,are,the,gravestones,that,reference,the,plague,?
are,0.311818927526474,0.17688636481761932,1.0,0.40399202704429626,0.2329564392566681,0.45265161991119385,0.19146788120269775,0.40399202704429626,0.15205079317092896,0.24591213464736938
thought,0.3918285071849823,0.19570520520210266,0.28778257966041565,0.3509289622306824,0.270142138004303,0.520185112953186,0.23911301791667938,0.3509289622306824,0.2600853145122528,0.2600135803222656
by,0.34370526671409607,0.16804057359695435,0.37842893600463867,0.4408751428127289,0.1764794886112213,0.37496164441108704,0.20582659542560577,0.4408751428127289,0.22066086530685425,0.17966607213020325
many,0.4425291419029236,0.2612006664276123,0.5655534863471985,0.4335206151008606,0.33507490158081055,0.5391656160354614,0.1313120722770691,0.4335206151008606,0.2661729156970978,0.2124512493610382
epidemiologists,0.34170255064964294,0.15835513174533844,0.3007093071937561,0.2920750677585602,0.26540178060531616,0.3734882175922394,0.2272511124610901,0.2920750677585602,0.379647821187973,0.22106540203094482
to,0.44169697165489197,0.2412436157464981,0.3504326641559601,0.535392165184021,0.28721296787261963,0.5436353087425232,0.25784367322921753,0.535392165184021,0.21845681965351105,0.29463258385658264
mark,0.16686879098415375,0.1431853473186493,0.13992659747600555,0.2235521525144577,0.23077696561813354,0.18479634821414948,0.22131888568401337,0.2235521525144577,0.13108095526695251,0.11634156107902527
the,0.33890387415885925,0.31849798560142517,0.40399202704429626,1.0,0.2878429889678955,0.5473989248275757,0.26254498958587646,1.0,0.2537761330604553,0.22068053483963013
outbreak,0.12083837389945984,0.1667562574148178,0.12805412709712982,0.28401845693588257,0.20002880692481995,0.24382847547531128,0.09597047418355942,0.28401845693588257,0.5057891011238098,0.1898726373910904
of,0.2480744868516922,0.30522194504737854,0.39081433415412903,0.733189046382904,0.25418660044670105,0.41498205065727234,0.21538788080215454,0.733189046382904,0.27455615997314453,0.1826142966747284
the,0.33890387415885925,0.31849798560142517,0.40399202704429626,1.0,0.2878429889678955,0.5473989248275757,0.26254498958587646,1.0,0.2537761330604553,0.22068053483963013
epidemic,0.15178893506526947,0.1828359067440033,0.11859039217233658,0.23666009306907654,0.2504056990146637,0.2521248161792755,0.1135149896144867,0.23666009306907654,0.5931054353713989,0.1562352478504181
",",0.22659391164779663,0.26524028182029724,0.4062570035457611,0.4933079481124878,0.2460775226354599,0.4137537479400635,0.24524281919002533,0.4933079481124878,0.2630122900009155,0.31091248989105225
from,0.22939439117908478,0.26649054884910583,0.2674213647842407,0.40150508284568787,0.2562931478023529,0.3477667272090912,0.1930583119392395,0.40150508284568787,0.22369004786014557,0.19969791173934937
which,0.4852597713470459,0.3071022629737854,0.42922598123550415,0.6521818041801453,0.320557564496994,0.6894589066505432,0.26816195249557495,0.6521818041801453,0.25075629353523254,0.25814583897590637
it,0.36714982986450195,0.22670866549015045,0.3617996573448181,0.6251175999641418,0.2538197338581085,0.5921133160591125,0.24442829191684723,0.6251175999641418,0.28122323751449585,0.25732165575027466
could,0.47830453515052795,0.19441355764865875,0.33511802554130554,0.35393214225769043,0.315826952457428,0.5584503412246704,0.20381826162338257,0.35393214225769043,0.18571250140666962,0.3411986827850342
easily,0.3835276961326599,0.1861509531736374,0.3662402927875519,0.25559568405151367,0.22039976716041565,0.3973645865917206,0.17760016024112701,0.25559568405151367,0.1694951355457306,0.24040374159812927
have,0.4370637536048889,0.21096763014793396,0.6577680706977844,0.40389683842658997,0.2903541028499603,0.6182622313499451,0.24820418655872345,0.40389683842658997,0.1807374507188797,0.32991164922714233
spread,0.22865283489227295,0.1645098775625229,0.23927047848701477,0.28994160890579224,0.1806734800338745,0.2891821265220642,0.133430615067482,0.28994160890579224,0.3459134101867676,0.16482828557491302
to,0.44169697165489197,0.2412436157464981,0.3504326641559601,0.535392165184021,0.28721296787261963,0.5436353087425232,0.25784367322921753,0.535392165184021,0.21845681965351105,0.29463258385658264
china,0.1747840791940689,0.12468991428613663,0.21174804866313934,0.3110525608062744,0.13453330099582672,0.27188003063201904,0.13893866539001465,0.3110525608062744,0.19400277733802795,0.18007943034172058
and,0.33647966384887695,0.29022282361984253,0.48576638102531433,0.5171257257461548,0.2800361216068268,0.4731321930885315,0.21395881474018097,0.5171257257461548,0.2229994833469391,0.20544172823429108
india,0.18096813559532166,0.1626259833574295,0.170655757188797,0.3108653426170349,0.15335434675216675,0.23341698944568634,0.17538151144981384,0.3108653426170349,0.15340329706668854,0.10473668575286865
.,0.3287222981452942,0.32390445470809937,0.3452940285205841,0.5934505462646484,0.27498799562454224,0.4460422694683075,0.2742740213871002,0.5934505462646484,0.2547653317451477,0.4130953550338745
