,who,would,the,occupation,alienate,?
in,0.2792111933231354,0.30461156368255615,0.6662389636039734,0.1896161586046219,0.14782337844371796,0.20430970191955566
the,0.3733934462070465,0.4133751392364502,1.0,0.23079249262809753,0.20618338882923126,0.22068053483963013
‘,0.17040061950683594,0.15103556215763092,0.2720426023006439,0.056907135993242264,0.027180738747119904,0.1448942869901657
total,0.16190829873085022,0.22071637213230133,0.27068960666656494,0.1290191262960434,0.061372093856334686,0.14396025240421295
alienation,0.28567054867744446,0.30023837089538574,0.28396931290626526,0.21743400394916534,0.8099122047424316,0.23126471042633057
’,0.07404322177171707,0.01236837636679411,-0.04090067744255066,-0.0356367826461792,0.06868201494216919,0.045561522245407104
of,0.2827862501144409,0.3353942930698395,0.733189046382904,0.24415746331214905,0.2611987292766571,0.1826142966747284
the,0.3733934462070465,0.4133751392364502,1.0,0.23079249262809753,0.20618338882923126,0.22068053483963013
arabs,0.3120726943016052,0.18431499600410461,0.2739878296852112,0.16870485246181488,0.28474077582359314,0.12848976254463196
and,0.41279885172843933,0.34921059012413025,0.5171257257461548,0.3541368842124939,0.2876467704772949,0.20544172823429108
much,0.2998695373535156,0.41720274090766907,0.35023224353790283,0.10142683237791061,0.2799531817436218,0.23442231118679047
of,0.2827862501144409,0.3353942930698395,0.733189046382904,0.24415746331214905,0.2611987292766571,0.1826142966747284
the,0.3733934462070465,0.4133751392364502,1.0,0.23079249262809753,0.20618338882923126,0.22068053483963013
rest,0.23655016720294952,0.323647141456604,0.41330549120903015,0.1784239113330841,0.1952357292175293,0.1725541204214096
of,0.2827862501144409,0.3353942930698395,0.733189046382904,0.24415746331214905,0.2611987292766571,0.1826142966747284
the,0.3733934462070465,0.4133751392364502,1.0,0.23079249262809753,0.20618338882923126,0.22068053483963013
third,0.20739443600177765,0.2406044900417328,0.4229298532009125,0.10916731506586075,0.1373603343963623,0.15394791960716248
world,0.25158336758613586,0.22606314718723297,0.33604270219802856,0.23099176585674286,0.18533585965633392,0.17579582333564758
.,0.3541337847709656,0.35067233443260193,0.5934505462646484,0.20114995539188385,0.23464277386665344,0.4130953550338745
'',0.024401003494858742,0.02574172429740429,0.041273195296525955,0.023654505610466003,-0.011859772726893425,0.018684765323996544
