,what,culture,did,the,normans,combine,with,in,ireland,?
be,0.3929833769798279,0.21550850570201874,0.22657383978366852,0.4248143136501312,0.15643556416034698,0.35207340121269226,0.36101722717285156,0.3481820821762085,0.2000238597393036,0.3324260413646698
subsumed,0.24045898020267487,0.21570545434951782,0.24659402668476105,0.3140839636325836,0.19428019225597382,0.23335695266723633,0.22903986275196075,0.26143181324005127,0.14217175543308258,0.17452549934387207
into,0.2180619090795517,0.15128087997436523,0.14888085424900055,0.39493247866630554,0.1098836287856102,0.3931507170200348,0.2912435233592987,0.38021373748779297,0.13568319380283356,0.15662476420402527
irish,0.12490905076265335,0.18182595074176788,0.15375059843063354,0.20936301350593567,0.24378108978271484,0.10939226299524307,0.1705704927444458,0.17023150622844696,0.6727026104927063,0.09232300519943237
culture,0.22475376725196838,1.0,0.09147893637418747,0.27157285809516907,0.21993273496627808,0.13107328116893768,0.13572028279304504,0.2512284517288208,0.18731331825256348,0.13093146681785583
to,0.455847829580307,0.1957503855228424,0.4452643394470215,0.535392165184021,0.2506018877029419,0.2847091257572174,0.4239959120750427,0.45010748505592346,0.2296099066734314,0.29463258385658264
the,0.42745697498321533,0.27157285809516907,0.34736719727516174,1.0,0.2781367897987366,0.2880306839942932,0.4223487675189972,0.6662389636039734,0.2573983073234558,0.22068053483963013
point,0.3286605179309845,0.1511174738407135,0.18732239305973053,0.3084787130355835,0.17428673803806305,0.19023571908473969,0.2519472539424896,0.24451331794261932,0.10955458134412766,0.19189560413360596
that,0.6297725439071655,0.24586836993694305,0.47518548369407654,0.5473989248275757,0.20013071596622467,0.3116470277309418,0.4154358208179474,0.435920387506485,0.21770697832107544,0.32716336846351624
it,0.45803478360176086,0.2641284763813019,0.2993364930152893,0.6251175999641418,0.24826779961585999,0.2545384466648102,0.3369046747684479,0.5130809545516968,0.20985575020313263,0.25732165575027466
has,0.20338068902492523,0.21336032450199127,0.2124989777803421,0.4177538752555847,0.14747503399848938,0.21996338665485382,0.44092974066734314,0.4173259735107422,0.1800396740436554,0.15994466841220856
been,0.2567804455757141,0.2515760064125061,0.2835664749145508,0.3563927710056305,0.2009083330631256,0.15646617114543915,0.2804456949234009,0.3515113592147827,0.21219094097614288,0.24354910850524902
said,0.3951668441295624,0.19401879608631134,0.5119821429252625,0.3024602234363556,0.16461390256881714,0.13387465476989746,0.28060880303382874,0.23461468517780304,0.1797073632478714,0.28991883993148804
that,0.6297725439071655,0.24586836993694305,0.47518548369407654,0.5473989248275757,0.20013071596622467,0.3116470277309418,0.4154358208179474,0.435920387506485,0.21770697832107544,0.32716336846351624
they,0.4431931674480438,0.22792473435401917,0.4879390597343445,0.49925389885902405,0.2897695004940033,0.2849576473236084,0.42091572284698486,0.4330179989337921,0.1996392160654068,0.2753053903579712
became,0.1434093862771988,0.28205642104148865,0.3632316589355469,0.36325156688690186,0.20368953049182892,0.10447697341442108,0.23679126799106598,0.31047213077545166,0.2214026302099228,0.11374033987522125
``,0.008517155423760414,0.01757078990340233,-0.029888948425650597,0.029072100296616554,0.10684096813201904,0.025918152183294296,0.08974023163318634,0.04765888676047325,0.023026535287499428,0.0685480609536171
more,0.3484537899494171,0.2164892852306366,0.2803135812282562,0.39758381247520447,0.18342703580856323,0.30437153577804565,0.3535402715206146,0.32563260197639465,0.15489265322685242,0.27894994616508484
irish,0.12490905076265335,0.18182595074176788,0.15375059843063354,0.20936301350593567,0.24378108978271484,0.10939226299524307,0.1705704927444458,0.17023150622844696,0.6727026104927063,0.09232300519943237
than,0.29388150572776794,0.17495796084403992,0.24820660054683685,0.3227543234825134,0.15555208921432495,0.2150449901819229,0.3028803765773773,0.3270052373409271,0.15733391046524048,0.24917294085025787
the,0.42745697498321533,0.27157285809516907,0.34736719727516174,1.0,0.2781367897987366,0.2880306839942932,0.4223487675189972,0.6662389636039734,0.2573983073234558,0.22068053483963013
irish,0.12490905076265335,0.18182595074176788,0.15375059843063354,0.20936301350593567,0.24378108978271484,0.10939226299524307,0.1705704927444458,0.17023150622844696,0.6727026104927063,0.09232300519943237
themselves,0.34807315468788147,0.23049108684062958,0.32371795177459717,0.3444426357746124,0.22800567746162415,0.26948851346969604,0.23447321355342865,0.17596714198589325,0.11527995765209198,0.20170879364013672
.,0.3567904531955719,0.24176450073719025,0.35288307070732117,0.5934505462646484,0.2287112921476364,0.2269059419631958,0.4446153938770294,0.5591574311256409,0.25703296065330505,0.4130953550338745
'',0.08143015950918198,-0.02524700202047825,0.01978493109345436,0.041273195296525955,0.02424602396786213,0.16680626571178436,0.07907696813344955,0.07432962208986282,-0.0052325110882520676,0.018684765323996544
