,what,was,the,cost,of,the,other,super,bowl,events,in,the,san,francisco,area,?
events,0.269866019487381,0.19392384588718414,0.3102840185165405,0.15823929011821747,0.20782610774040222,0.3102840185165405,0.2375173419713974,0.19044578075408936,0.18151256442070007,1.0000001192092896,0.2690284550189972,0.3102840185165405,0.135493665933609,0.14679715037345886,0.14239740371704102,0.09835197776556015
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.20970560610294342,0.4946078956127167,0.4933079481124878,0.4446498453617096,0.22322475910186768,0.1810409277677536,0.16838376224040985,0.5201468467712402,0.4933079481124878,0.25561806559562683,0.22144022583961487,0.2664283812046051,0.31091248989105225
including,0.18328791856765747,0.21884717047214508,0.3738902807235718,0.20573511719703674,0.44195112586021423,0.3738902807235718,0.5162608623504639,0.20355892181396484,0.1517006903886795,0.23229701817035675,0.35857823491096497,0.3738902807235718,0.1761253923177719,0.14303770661354065,0.25492727756500244,0.1633303165435791
a,0.3320399522781372,0.4508470594882965,0.5829201340675354,0.21993719041347504,0.5052502155303955,0.5829201340675354,0.2806335389614105,0.26005712151527405,0.19533146917819977,0.21595865488052368,0.539380669593811,0.5829201340675354,0.19931553304195404,0.1947603076696396,0.2782127559185028,0.23916715383529663
week-long,0.31365126371383667,0.30538347363471985,0.38099297881126404,0.25086843967437744,0.29825520515441895,0.38099297881126404,0.30156493186950684,0.22447513043880463,0.29759231209754944,0.3079727590084076,0.3214828073978424,0.38099297881126404,0.2584235370159149,0.24512879550457,0.31760650873184204,0.32830461859703064
event,0.26981404423713684,0.28341150283813477,0.2960145175457001,0.1897626519203186,0.19878064095973969,0.2960145175457001,0.19113582372665405,0.20683135092258453,0.22903870046138763,0.6932221055030823,0.27304479479789734,0.2960145175457001,0.15872716903686523,0.15141494572162628,0.2332121580839157,0.16076280176639557
at,0.2838611304759979,0.36707764863967896,0.457212895154953,0.26695817708969116,0.42558613419532776,0.457212895154953,0.24329762160778046,0.11449114978313446,0.2709662914276123,0.25329744815826416,0.4374977946281433,0.457212895154953,0.21309925615787506,0.19574089348316193,0.25113749504089355,0.21978627145290375
the,0.42745697498321533,0.48711544275283813,1.0,0.23177006840705872,0.733189046382904,1.0,0.44152235984802246,0.21959073841571808,0.21576224267482758,0.3102840185165405,0.6662389636039734,1.0,0.2858080565929413,0.25086042284965515,0.37834644317626953,0.22068053483963013
santa,0.23841293156147003,0.21287554502487183,0.23511074483394623,0.17249423265457153,0.2417823076248169,0.23511074483394623,0.15774822235107422,0.13846853375434875,0.1749918907880783,0.12418388575315475,0.20108501613140106,0.23511074483394623,0.5204964876174927,0.4393504858016968,0.1734604388475418,0.17321589589118958
clara,0.23403491079807281,0.20408111810684204,0.2410326898097992,0.11159130930900574,0.2643791139125824,0.2410326898097992,0.14141230285167694,0.14021645486354828,0.06447336077690125,0.12535427510738373,0.1910705864429474,0.2410326898097992,0.3501966893672943,0.3171789050102234,0.1306818127632141,0.11961202323436737
convention,0.17446810007095337,0.21512652933597565,0.2588678300380707,0.17214995622634888,0.2509908974170685,0.2588678300380707,0.19571997225284576,0.11018379032611847,0.03179355338215828,0.2136329561471939,0.22991126775741577,0.2588678300380707,0.15113374590873718,0.14712077379226685,0.2881653904914856,0.1647067815065384
center,0.1908310204744339,0.19517986476421356,0.29064592719078064,0.1401280164718628,0.24526838958263397,0.29064592719078064,0.18266704678535461,0.10317984968423843,0.10079877823591232,0.15263570845127106,0.27253323793411255,0.29064592719078064,0.24079224467277527,0.1576988399028778,0.3001854717731476,0.12538520991802216
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.20970560610294342,0.4946078956127167,0.4933079481124878,0.4446498453617096,0.22322475910186768,0.1810409277677536,0.16838376224040985,0.5201468467712402,0.4933079481124878,0.25561806559562683,0.22144022583961487,0.2664283812046051,0.31091248989105225
a,0.3320399522781372,0.4508470594882965,0.5829201340675354,0.21993719041347504,0.5052502155303955,0.5829201340675354,0.2806335389614105,0.26005712151527405,0.19533146917819977,0.21595865488052368,0.539380669593811,0.5829201340675354,0.19931553304195404,0.1947603076696396,0.2782127559185028,0.23916715383529663
beer,0.15748022496700287,0.21676649153232574,0.2230251431465149,0.15104547142982483,0.2224036455154419,0.2230251431465149,0.17011697590351105,0.027908554300665855,0.18128728866577148,0.13858258724212646,0.26872095465660095,0.2230251431465149,0.06400257349014282,0.040060415863990784,0.13532458245754242,0.15216413140296936
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.20970560610294342,0.4946078956127167,0.4933079481124878,0.4446498453617096,0.22322475910186768,0.1810409277677536,0.16838376224040985,0.5201468467712402,0.4933079481124878,0.25561806559562683,0.22144022583961487,0.2664283812046051,0.31091248989105225
wine,0.17754630744457245,0.23071818053722382,0.2768833041191101,0.1941874623298645,0.2704099118709564,0.2768833041191101,0.22381789982318878,0.05938699096441269,0.20532585680484772,0.069048210978508,0.2517578601837158,0.2768833041191101,0.15605902671813965,0.12051361054182053,0.13408057391643524,0.12747588753700256
and,0.31309178471565247,0.3740963041782379,0.5171257257461548,0.2846847474575043,0.5116966962814331,0.5171257257461548,0.5504306554794312,0.18368244171142578,0.1698254644870758,0.2040661722421646,0.4954058527946472,0.5171257257461548,0.23541347682476044,0.2290353924036026,0.3044000566005707,0.20544172823429108
food,0.23540689051151276,0.17583929002285004,0.3025728166103363,0.3108764588832855,0.2602803111076355,0.3025728166103363,0.2845616638660431,0.16003532707691193,0.24133524298667908,0.158624067902565,0.21391697227954865,0.3025728166103363,0.17142240703105927,0.17185527086257935,0.18969623744487762,0.15376032888889313
festival,0.15385980904102325,0.23359684646129608,0.20982226729393005,0.07264702767133713,0.17007394134998322,0.20982226729393005,0.10427691787481308,0.12157493829727173,0.14560867846012115,0.238645538687706,0.27311140298843384,0.20982226729393005,0.1666945219039917,0.1642497479915619,0.1544022262096405,0.17767390608787537
at,0.2838611304759979,0.36707764863967896,0.457212895154953,0.26695817708969116,0.42558613419532776,0.457212895154953,0.24329762160778046,0.11449114978313446,0.2709662914276123,0.25329744815826416,0.4374977946281433,0.457212895154953,0.21309925615787506,0.19574089348316193,0.25113749504089355,0.21978627145290375
bellomy,0.2570006549358368,0.2431560456752777,0.2966298758983612,0.19435803592205048,0.29851722717285156,0.2966298758983612,0.25661560893058777,0.10717953741550446,0.19338645040988922,0.12618903815746307,0.321296751499176,0.2966298758983612,0.26526913046836853,0.2581082582473755,0.22157926857471466,0.2137424647808075
field,0.1825202852487564,0.15975919365882874,0.2105809599161148,0.11004283279180527,0.20410659909248352,0.2105809599161148,0.21335455775260925,0.1592533439397812,0.15438513457775116,0.14561614394187927,0.20553018152713776,0.2105809599161148,0.14386792480945587,0.20198778808116913,0.21645016968250275,0.11279727518558502
at,0.2838611304759979,0.36707764863967896,0.457212895154953,0.26695817708969116,0.42558613419532776,0.457212895154953,0.24329762160778046,0.11449114978313446,0.2709662914276123,0.25329744815826416,0.4374977946281433,0.457212895154953,0.21309925615787506,0.19574089348316193,0.25113749504089355,0.21978627145290375
santa,0.23841293156147003,0.21287554502487183,0.23511074483394623,0.17249423265457153,0.2417823076248169,0.23511074483394623,0.15774822235107422,0.13846853375434875,0.1749918907880783,0.12418388575315475,0.20108501613140106,0.23511074483394623,0.5204964876174927,0.4393504858016968,0.1734604388475418,0.17321589589118958
clara,0.23403491079807281,0.20408111810684204,0.2410326898097992,0.11159130930900574,0.2643791139125824,0.2410326898097992,0.14141230285167694,0.14021645486354828,0.06447336077690125,0.12535427510738373,0.1910705864429474,0.2410326898097992,0.3501966893672943,0.3171789050102234,0.1306818127632141,0.11961202323436737
university,0.20256435871124268,0.290752112865448,0.263973206281662,0.1630771905183792,0.30646374821662903,0.263973206281662,0.1804676055908203,0.1637851893901825,0.19439272582530975,0.1682363599538803,0.3201795518398285,0.263973206281662,0.235455721616745,0.19972798228263855,0.21217475831508636,0.11887256056070328
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.20970560610294342,0.4946078956127167,0.4933079481124878,0.4446498453617096,0.22322475910186768,0.1810409277677536,0.16838376224040985,0.5201468467712402,0.4933079481124878,0.25561806559562683,0.22144022583961487,0.2664283812046051,0.31091248989105225
and,0.31309178471565247,0.3740963041782379,0.5171257257461548,0.2846847474575043,0.5116966962814331,0.5171257257461548,0.5504306554794312,0.18368244171142578,0.1698254644870758,0.2040661722421646,0.4954058527946472,0.5171257257461548,0.23541347682476044,0.2290353924036026,0.3044000566005707,0.20544172823429108
a,0.3320399522781372,0.4508470594882965,0.5829201340675354,0.21993719041347504,0.5052502155303955,0.5829201340675354,0.2806335389614105,0.26005712151527405,0.19533146917819977,0.21595865488052368,0.539380669593811,0.5829201340675354,0.19931553304195404,0.1947603076696396,0.2782127559185028,0.23916715383529663
pep,0.09342710673809052,0.2087046504020691,0.1661938577890396,0.12790852785110474,0.09783782809972763,0.1661938577890396,0.11688459664583206,0.20630589127540588,0.25219663977622986,0.05159902572631836,0.16068874299526215,0.1661938577890396,0.1804848313331604,0.20093917846679688,0.10845185071229935,0.10961396992206573
rally,0.13473176956176758,0.27162840962409973,0.2156708985567093,0.1553184688091278,0.1540035754442215,0.2156708985567093,0.08192127197980881,0.22420664131641388,0.14737819135189056,0.18765810132026672,0.16509126126766205,0.2156708985567093,0.17519371211528778,0.12623535096645355,0.11815192550420761,0.14344990253448486
.,0.3567904531955719,0.40146201848983765,0.5934505462646484,0.26134178042411804,0.5352458953857422,0.5934505462646484,0.41511186957359314,0.2757420241832733,0.21516893804073334,0.1484961062669754,0.5591574311256409,0.5934505462646484,0.24563752114772797,0.2233876734972,0.2760866582393646,0.4130953550338745
