,what,event,would,necessitate,airline,passengers,to,need,a,supplemental,supply,of,oxygen,?
airplanes,0.20711654424667358,0.09596305340528488,0.21179775893688202,0.2235058844089508,0.6103702187538147,0.5125239491462708,0.23954418301582336,0.220316544175148,0.24317359924316406,0.15699800848960876,0.2707579731941223,0.22289247810840607,0.2507246434688568,0.15660780668258667
have,0.39808809757232666,0.23173485696315765,0.484149694442749,0.4092324376106262,0.1897105574607849,0.23435987532138824,0.4544740617275238,0.5611997842788696,0.338716596364975,0.25633153319358826,0.29972389340400696,0.3802283704280853,0.27824607491493225,0.32991164922714233
an,0.2821882665157318,0.188729926943779,0.2650099992752075,0.23102548718452454,0.16924366354942322,0.16503557562828064,0.3138085603713989,0.20370949804782867,0.44552403688430786,0.22967319190502167,0.22502268850803375,0.32280945777893066,0.20976382493972778,0.19793890416622162
emergency,0.25711625814437866,0.1924913227558136,0.24415336549282074,0.22533273696899414,0.2813880145549774,0.3638628125190735,0.2783624827861786,0.34272655844688416,0.23433780670166016,0.2935274839401245,0.324683278799057,0.2012619823217392,0.261570543050766,0.16178704798221588
supply,0.20549191534519196,0.1514643430709839,0.2619834542274475,0.3822540044784546,0.2440727800130844,0.260134756565094,0.29291704297065735,0.36087310314178467,0.2115103155374527,0.45294860005378723,0.9999998807907104,0.23476092517375946,0.3733058571815491,0.14298182725906372
of,0.33290785551071167,0.19878064095973969,0.3353942930698395,0.2646079957485199,0.23609748482704163,0.21632573008537292,0.41548454761505127,0.24285943806171417,0.5052502155303955,0.26677078008651733,0.23476092517375946,1.0,0.16848602890968323,0.1826142966747284
o,0.1489914506673813,0.1271885335445404,0.16546739637851715,0.14772340655326843,0.16959799826145172,0.16116777062416077,0.1644444614648819,0.10543043911457062,0.18840523064136505,0.1439347118139267,0.10895251482725143,0.16054381430149078,0.2476140707731247,0.23868927359580994
2,-0.049862053245306015,-0.016114728525280952,0.027047324925661087,0.033244259655475616,0.022263269871473312,-0.0017930930480360985,-0.0836251974105835,0.005471619311720133,-0.05323360115289688,0.022327203303575516,-0.04029476270079613,-0.013777675107121468,0.04063820466399193,0.001977203879505396
automatically,0.30652377009391785,0.2252696454524994,0.35101717710494995,0.34938323497772217,0.149886816740036,0.17184442281723022,0.3848363161087036,0.42504698038101196,0.2877539396286011,0.27090051770210266,0.2039916068315506,0.23222213983535767,0.2037656158208847,0.3093365430831909
supplied,0.148319274187088,0.14852014183998108,0.2606870234012604,0.33353832364082336,0.14495185017585754,0.20459693670272827,0.2647247314453125,0.3179948925971985,0.19202668964862823,0.41337600350379944,0.6631507873535156,0.22998054325580597,0.2655673623085022,0.08668285608291626
to,0.455847829580307,0.2585321366786957,0.5965728163719177,0.3519938290119171,0.20999900996685028,0.2831176817417145,1.0,0.42094892263412476,0.45503583550453186,0.2627679109573364,0.29291704297065735,0.41548454761505127,0.24193501472473145,0.29463258385658264
them,0.4994642734527588,0.18976648151874542,0.5105606913566589,0.4413784146308899,0.17505057156085968,0.3127067983150482,0.5916602611541748,0.5133224129676819,0.3151612877845764,0.17308340966701508,0.28698718547821045,0.34503093361854553,0.2837354838848114,0.35435691475868225
in,0.30808621644973755,0.27304479479789734,0.30461156368255615,0.2122645229101181,0.24593323469161987,0.2134283185005188,0.45010748505592346,0.2129468470811844,0.539380669593811,0.24907776713371277,0.21402505040168762,0.5696388483047485,0.1672476977109909,0.20430970191955566
case,0.30770957469940186,0.21051932871341705,0.33632516860961914,0.36733582615852356,0.14865967631340027,0.20699761807918549,0.3172709345817566,0.40121254324913025,0.3104211390018463,0.2489326298236847,0.23527297377586365,0.24743439257144928,0.19170716404914856,0.33232852816581726
of,0.33290785551071167,0.19878064095973969,0.3353942930698395,0.2646079957485199,0.23609748482704163,0.21632573008537292,0.41548454761505127,0.24285943806171417,0.5052502155303955,0.26677078008651733,0.23476092517375946,1.0,0.16848602890968323,0.1826142966747284
cabin,0.17852115631103516,0.03884831815958023,0.18434461951255798,0.10704126954078674,0.3396852910518646,0.38203948736190796,0.2513850927352905,0.13962462544441223,0.2335718870162964,0.15789982676506042,0.15295077860355377,0.2067061811685562,0.14350184798240662,0.15796571969985962
depressurization,0.29601624608039856,0.1853981912136078,0.2878186106681824,0.32939597964286804,0.31886056065559387,0.288153737783432,0.3513498306274414,0.32663947343826294,0.2738509476184845,0.20196844637393951,0.2440715730190277,0.2691602110862732,0.3916606307029724,0.21597060561180115
.,0.3567904531955719,0.2068977802991867,0.35067233443260193,0.24302366375923157,0.2337903082370758,0.20753464102745056,0.4645031690597534,0.26852357387542725,0.50484299659729,0.3198744058609009,0.2485988885164261,0.5352458953857422,0.2554275095462799,0.4130953550338745
