,what,type,of,actions,are,taken,sometimes,in,civil,disobedience,?
that,0.6297725439071655,0.25817251205444336,0.41498205065727234,0.35350626707077026,0.45265161991119385,0.35460543632507324,0.3928869664669037,0.435920387506485,0.16867391765117645,0.3551425039768219,0.32716336846351624
the,0.42745697498321533,0.21819381415843964,0.733189046382904,0.297427237033844,0.40399202704429626,0.3309854567050934,0.35816407203674316,0.6662389636039734,0.2477465271949768,0.30963727831840515,0.22068053483963013
very,0.37053924798965454,0.21407891809940338,0.34437474608421326,0.23505569994449615,0.41714969277381897,0.2440897524356842,0.3968949615955353,0.3209688663482666,0.20854806900024414,0.24428260326385498,0.20864155888557434
harmlessness,0.35575491189956665,0.2182927429676056,0.27554431557655334,0.32759514451026917,0.3731291592121124,0.23681941628456116,0.4121662974357605,0.24123026430606842,0.22083543241024017,0.40650513768196106,0.2799035906791687
of,0.33290785551071167,0.18112817406654358,1.0,0.27202147245407104,0.39081433415412903,0.2889742851257324,0.296434611082077,0.5696388483047485,0.24698495864868164,0.31932318210601807,0.1826142966747284
such,0.23989605903625488,0.2636772096157074,0.3209529519081116,0.2647392153739929,0.4654397666454315,0.2134324014186859,0.4101641774177551,0.2704046070575714,0.09689128398895264,0.20085255801677704,0.17851735651493073
entirely,0.38249561190605164,0.25484955310821533,0.2849496901035309,0.2601511478424072,0.3856066167354584,0.2305823117494583,0.23474180698394775,0.28567442297935486,0.17159277200698853,0.2544534206390381,0.19651781022548676
symbolic,0.2530723214149475,0.19836847484111786,0.37559205293655396,0.23669667541980743,0.20336298644542694,0.18181896209716797,0.3604303002357483,0.19688680768013,0.1675575226545334,0.301830917596817,0.1387629508972168
illegal,0.21956031024456024,0.1518467217683792,0.19375135004520416,0.23227155208587646,0.2369074821472168,0.22251813113689423,0.2879631817340851,0.21311107277870178,0.17244401574134827,0.35090160369873047,0.1562941074371338
protests,0.15672723948955536,0.05699765682220459,0.24181179702281952,0.3088522255420685,0.18422359228134155,0.21399419009685516,0.14417783915996552,0.30384960770606995,0.31896910071372986,0.4980515241622925,0.18455082178115845
toward,0.2619364559650421,0.14649467170238495,0.25209522247314453,0.24081458151340485,0.22773204743862152,0.1845034658908844,0.2694793939590454,0.2282264530658722,0.16121837496757507,0.2830926775932312,0.09989774227142334
public,0.1729622185230255,0.15508520603179932,0.2391265481710434,0.1687045395374298,0.18111367523670197,0.20353446900844574,0.22454041242599487,0.29074716567993164,0.26383864879608154,0.3216745853424072,0.19872993230819702
policy,0.3869883120059967,0.1498412936925888,0.24393197894096375,0.34072035551071167,0.160745769739151,0.20886725187301636,0.09884873777627945,0.1459147185087204,0.26268208026885986,0.36744561791419983,0.30462446808815
goals,0.13392581045627594,0.07964672893285751,0.10088890790939331,0.1977710723876953,0.12876825034618378,0.09636811167001724,0.03827270492911339,0.1082669347524643,0.16597527265548706,0.1251269429922104,0.16318443417549133
may,0.25739946961402893,0.1642589271068573,0.26447007060050964,0.24858027696609497,0.3162533640861511,0.21862182021141052,0.30342283844947815,0.3424151837825775,0.1700199544429779,0.24693389236927032,0.2768254578113556
serve,0.23061832785606384,0.1185079962015152,0.2656401991844177,0.23788027465343475,0.28864505887031555,0.1699121594429016,0.18458028137683868,0.20702329277992249,0.18182064592838287,0.25467926263809204,0.19925682246685028
a,0.3320399522781372,0.3813284635543823,0.5052502155303955,0.22348695993423462,0.265255331993103,0.2520231008529663,0.3788676857948303,0.539380669593811,0.21693918108940125,0.25352153182029724,0.23916715383529663
propaganda,0.286500483751297,0.16983090341091156,0.23603281378746033,0.2936417758464813,0.18358220160007477,0.16849492490291595,0.2746143043041229,0.18540550768375397,0.24649640917778015,0.438597172498703,0.24190068244934082
purpose,0.33113807439804077,0.2020452320575714,0.23855330049991608,0.30412355065345764,0.2788180708885193,0.1992548704147339,0.21705465018749237,0.2706536650657654,0.1616503894329071,0.2816290855407715,0.21892647445201874
.,0.3567904531955719,0.23195341229438782,0.5352458953857422,0.2696916162967682,0.3452940285205841,0.3141690492630005,0.24956031143665314,0.5591574311256409,0.2541380822658539,0.2603943943977356,0.4130953550338745
