,what,do,some,believe,the,treaty,of,versailles,assisted,in,?
general,0.24928055703639984,0.20145048201084137,0.21401871740818024,0.11517783999443054,0.28634732961654663,0.13500329852104187,0.28352999687194824,0.12972484529018402,0.24768494069576263,0.259066641330719,0.1972234547138214
",",0.3087472915649414,0.3283645510673523,0.42400437593460083,0.2459280639886856,0.4933079481124878,0.21270246803760529,0.4946078956127167,0.22810658812522888,0.23627705872058868,0.5201468467712402,0.31091248989105225
caused,0.22264783084392548,0.2591114342212677,0.2864207625389099,0.18460488319396973,0.24990202486515045,0.10139748454093933,0.29665443301200867,0.11798428744077682,0.2065650373697281,0.2494886964559555,0.20679491758346558
much,0.45316147804260254,0.312346875667572,0.498896986246109,0.3502810299396515,0.35023224353790283,0.14177730679512024,0.2671096920967102,0.13452377915382385,0.13837750256061554,0.2725222110748291,0.23442231118679047
resentment,0.317715048789978,0.1265522688627243,0.190200075507164,0.2849910855293274,0.2621372938156128,0.2776775658130646,0.28369268774986267,0.21885639429092407,0.2864593267440796,0.1853795051574707,0.21990835666656494
in,0.30808621644973755,0.23402775824069977,0.4010399878025055,0.20806841552257538,0.6662389636039734,0.22333456575870514,0.5696388483047485,0.1787460446357727,0.22382716834545135,1.0,0.20430970191955566
germany,0.21690446138381958,0.14885246753692627,0.2445172816514969,0.12811510264873505,0.3181285262107849,0.23358862102031708,0.2942050099372864,0.3354397714138031,0.1758713722229004,0.3642844259738922,0.1388660967350006
and,0.31309178471565247,0.276123583316803,0.5337774157524109,0.29652947187423706,0.5171257257461548,0.1592116355895996,0.5116966962814331,0.2018194943666458,0.2880154848098755,0.4954058527946472,0.20544172823429108
is,0.28837618231773376,0.30895981192588806,0.3038453459739685,0.27537423372268677,0.5823672413825989,0.17603619396686554,0.4854315221309662,0.1435161679983139,0.12669740617275238,0.5394441485404968,0.22961433231830597
often,0.3849453330039978,0.30438441038131714,0.5903232097625732,0.29224666953086853,0.38004449009895325,0.08620049059391022,0.3351972997188568,0.22182555496692657,0.2024119347333908,0.3380797803401947,0.23748154938220978
cited,0.28291428089141846,0.27420616149902344,0.2582092881202698,0.3145039677619934,0.2582094371318817,0.07000453770160675,0.26973187923431396,0.0862978845834732,0.16004988551139832,0.21365566551685333,0.32995760440826416
as,0.31749409437179565,0.38329678773880005,0.4293700158596039,0.26277852058410645,0.48381632566452026,0.21985258162021637,0.3886612355709076,0.17139193415641785,0.246934711933136,0.3887844979763031,0.27043893933296204
helping,0.33323097229003906,0.28335291147232056,0.3296848237514496,0.27753064036369324,0.2974667251110077,0.17412050068378448,0.23667261004447937,0.1221260130405426,0.38418295979499817,0.27409082651138306,0.28235307335853577
adolf,0.1794750839471817,0.09014788269996643,0.17217953503131866,0.1057366207242012,0.23496994376182556,0.14742784202098846,0.2062341570854187,0.30809083580970764,0.21004706621170044,0.24436426162719727,0.16571351885795593
hitler,0.23170879483222961,0.165958970785141,0.23365585505962372,0.17340362071990967,0.2337159663438797,0.17553168535232544,0.20085355639457703,0.34914758801460266,0.19266918301582336,0.2101086527109146,0.22639022767543793
's,0.02692362666130066,-0.01994597539305687,0.056411296129226685,0.00462753139436245,-0.01540423184633255,0.007822228595614433,-0.03817026689648628,-0.039185091853141785,0.0028260848484933376,-0.037580832839012146,-0.023395681753754616
rise,0.23887591063976288,0.1708497256040573,0.2956802546977997,0.21359096467494965,0.3404741883277893,0.14990289509296417,0.2733727991580963,0.09407682716846466,0.06448284536600113,0.1934409737586975,0.10799103230237961
to,0.455847829580307,0.38876664638519287,0.4636894166469574,0.34598591923713684,0.535392165184021,0.1986158937215805,0.41548454761505127,0.19766239821910858,0.26841625571250916,0.45010748505592346,0.29463258385658264
power,0.22216427326202393,0.16343404352664948,0.22406038641929626,0.1915227770805359,0.2647338807582855,0.17716316878795624,0.25273123383522034,0.19283738732337952,0.19276995956897736,0.16666220128536224,0.15304024517536163
.,0.3567904531955719,0.3613996207714081,0.40663889050483704,0.26988279819488525,0.5934505462646484,0.17410176992416382,0.5352458953857422,0.2391590178012848,0.21472959220409393,0.5591574311256409,0.4130953550338745
