,what,was,the,name,of,the,2010,christmas,special,?
the,0.42745697498321533,0.48711544275283813,1.0,0.3171212375164032,0.733189046382904,1.0,0.31722962856292725,0.2044597715139389,0.3027077615261078,0.22068053483963013
soundtrack,0.22465209662914276,0.24427053332328796,0.2600078582763672,0.229026660323143,0.20855070650577545,0.2600078582763672,0.0972563698887825,0.30621054768562317,0.14994095265865326,0.19783036410808563
for,0.3017193675041199,0.3863949179649353,0.4739971458911896,0.25737348198890686,0.4185989499092102,0.4739971458911896,0.15196888148784637,0.14492979645729065,0.311454176902771,0.264628142118454
series,0.17328087985515594,0.2261398285627365,0.31376904249191284,0.1536245048046112,0.22268271446228027,0.31376904249191284,0.03148118034005165,0.18122392892837524,0.25486889481544495,0.1709602326154709
6,0.05088282376527786,0.021614471450448036,0.041227471083402634,0.06741565465927124,0.055943556129932404,0.041227471083402634,0.04535052925348282,0.007901211269199848,-0.0009288557339459658,0.045001473277807236
was,0.22111038863658905,1.0000001192092896,0.48711544275283813,0.2646567225456238,0.4069072902202606,0.48711544275283813,0.23825319111347198,0.16941027343273163,0.1585642695426941,0.18412111699581146
released,0.20228935778141022,0.32720035314559937,0.24578391015529633,0.16281646490097046,0.17721395194530487,0.24578391015529633,0.008573140017688274,0.24254442751407623,0.19553512334823608,0.20329579710960388
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.28145334124565125,0.4946078956127167,0.4933079481124878,0.24006164073944092,0.2420792281627655,0.23880577087402344,0.31091248989105225
both,0.3361809551715851,0.2990766167640686,0.4931981563568115,0.2019103318452835,0.3565710783004761,0.4931981563568115,0.24527490139007568,0.16942541301250458,0.24782869219779968,0.19455738365650177
by,0.2455483376979828,0.4752357602119446,0.4408751428127289,0.25480157136917114,0.3646814823150635,0.4408751428127289,0.20458245277404785,0.16025565564632416,0.2578898072242737,0.17966607213020325
silva,0.0787646472454071,0.19176308810710907,0.17643778026103973,0.13526786863803864,0.1802913248538971,0.17643778026103973,0.0928540825843811,0.1437244862318039,0.18569135665893555,0.14655499160289764
screen,0.2579151391983032,0.1767638623714447,0.2616176903247833,0.12299872934818268,0.1909627914428711,0.2616176903247833,0.007212613243609667,0.16626527905464172,0.1923467069864273,0.1954205334186554
records,0.17999422550201416,0.23035451769828796,0.23809710144996643,0.15030932426452637,0.17885147035121918,0.23809710144996643,0.02742033265531063,0.20719695091247559,0.14518646895885468,0.12384546548128128
.,0.3567904531955719,0.40146201848983765,0.5934505462646484,0.24737101793289185,0.5352458953857422,0.5934505462646484,0.26320725679397583,0.22314779460430145,0.26337340474128723,0.4130953550338745
