,one,of,the,sites,",",merceds-benz,superdome,",",is,located,where,?
orleans,0.14409011602401733,0.20952944457530975,0.22309443354606628,0.09016721695661545,0.2922953963279724,0.3485380709171295,0.38222166895866394,0.2922953963279724,0.1614922136068344,0.12489230930805206,0.19909310340881348,0.13097690045833588
',0.36029258370399475,0.39136970043182373,0.474788099527359,0.10573073476552963,0.5178600549697876,0.20785269141197205,0.2072056084871292,0.5178600549697876,0.5508411526679993,0.25896891951560974,0.24928376078605652,0.330942302942276
mercedes-benz,0.23188459873199463,0.17663422226905823,0.19218237698078156,0.0937284529209137,0.2667442858219147,0.9431584477424622,0.4168045222759247,0.2667442858219147,0.12088383734226227,0.08812518417835236,0.15263740718364716,0.20224438607692719
superdome,0.19523978233337402,0.19121742248535156,0.24818874895572662,0.14698994159698486,0.22371108829975128,0.41777926683425903,1.0,0.22371108829975128,0.2004878968000412,0.21039210259914398,0.22875747084617615,0.10737294703722
",",0.3696635365486145,0.4946078956127167,0.4933079481124878,0.20830219984054565,1.0000001192092896,0.31076300144195557,0.22371108829975128,1.0000001192092896,0.4691906273365021,0.2678719460964203,0.3149496018886566,0.31091248989105225
miami,0.1768561154603958,0.15650133788585663,0.19180938601493835,0.08073759824037552,0.2643101215362549,0.306052565574646,0.4057529866695404,0.2643101215362549,0.15470117330551147,0.24643424153327942,0.1959831267595291,0.14054250717163086
's,0.06913424283266068,-0.03817026689648628,-0.01540423184633255,0.005346949212253094,-0.0016132977325469255,0.0676172748208046,0.06076943501830101,-0.0016132977325469255,0.02396530658006668,-0.031078986823558807,0.0007701900321990252,-0.023395681753754616
sun,0.19948183000087738,0.22858914732933044,0.258540540933609,0.05002869293093681,0.27459269762039185,0.16946075856685638,0.2571624517440796,0.27459269762039185,0.19175934791564941,0.1096697524189949,0.1452811062335968,0.1497713327407837
life,0.21805667877197266,0.2788603901863098,0.23528170585632324,0.05174217000603676,0.24050940573215485,0.182051882147789,0.15141350030899048,0.24050940573215485,0.2110576033592224,0.08137920498847961,0.19339025020599365,0.21677987277507782
stadium,0.08403151482343674,0.17126937210559845,0.21145665645599365,0.2154092788696289,0.2056228220462799,0.21550561487674713,0.4002038836479187,0.2056228220462799,0.18311816453933716,0.28421011567115784,0.16970740258693695,0.07579939067363739
",",0.3696635365486145,0.4946078956127167,0.4933079481124878,0.20830219984054565,1.0000001192092896,0.31076300144195557,0.22371108829975128,1.0000001192092896,0.4691906273365021,0.2678719460964203,0.3149496018886566,0.31091248989105225
and,0.42438167333602905,0.5116966962814331,0.5171257257461548,0.25660696625709534,0.6633074283599854,0.2535989582538605,0.17942097783088684,0.6633074283599854,0.3859752118587494,0.24183952808380127,0.43859338760375977,0.20544172823429108
the,0.5514441132545471,0.733189046382904,1.0,0.2751152217388153,0.4933079481124878,0.22836846113204956,0.24818874895572662,0.4933079481124878,0.5823672413825989,0.407527357339859,0.5003893971443176,0.22068053483963013
san,0.2074461579322815,0.25237205624580383,0.2858080565929413,0.12291532009840012,0.25561806559562683,0.32382306456565857,0.26198190450668335,0.25561806559562683,0.1594623327255249,0.19361372292041779,0.23934276401996613,0.10952327400445938
francisco,0.1720735728740692,0.19117538630962372,0.25086042284965515,0.10680905729532242,0.22144022583961487,0.29086875915527344,0.2529340982437134,0.22144022583961487,0.12765364348888397,0.13487261533737183,0.17644990980625153,0.1020219698548317
bay,0.14124472439289093,0.20480380952358246,0.2441686987876892,0.14071621000766754,0.26044994592666626,0.15940150618553162,0.16591648757457733,0.26044994592666626,0.1959105283021927,0.20222993195056915,0.1647798866033554,0.10773546993732452
area,0.22590439021587372,0.3409860134124756,0.37834644317626953,0.2600058317184448,0.2664283812046051,0.16359040141105652,0.17000451683998108,0.2664283812046051,0.29283958673477173,0.42610666155815125,0.3338260352611542,0.12640461325645447
's,0.06913424283266068,-0.03817026689648628,-0.01540423184633255,0.005346949212253094,-0.0016132977325469255,0.0676172748208046,0.06076943501830101,-0.0016132977325469255,0.02396530658006668,-0.031078986823558807,0.0007701900321990252,-0.023395681753754616
levi,0.10473643243312836,0.14476609230041504,0.15661084651947021,0.015060633420944214,0.2592664957046509,0.29219597578048706,0.16759584844112396,0.2592664957046509,0.09836933761835098,0.169908344745636,0.09324512630701065,0.09252339601516724
's,0.06913424283266068,-0.03817026689648628,-0.01540423184633255,0.005346949212253094,-0.0016132977325469255,0.0676172748208046,0.06076943501830101,-0.0016132977325469255,0.02396530658006668,-0.031078986823558807,0.0007701900321990252,-0.023395681753754616
stadium,0.08403151482343674,0.17126937210559845,0.21145665645599365,0.2154092788696289,0.2056228220462799,0.21550561487674713,0.4002038836479187,0.2056228220462799,0.18311816453933716,0.28421011567115784,0.16970740258693695,0.07579939067363739
.,0.4123194217681885,0.5352458953857422,0.5934505462646484,0.2081114798784256,0.6812511086463928,0.33472660183906555,0.2327648550271988,0.6812511086463928,0.4569662809371948,0.28226932883262634,0.41390106081962585,0.4130953550338745
