,how,did,the,drive,end,for,the,panthers,?
punt,0.17215994000434875,0.11398918181657791,0.2358638495206833,0.16820724308490753,0.28861451148986816,0.18573349714279175,0.2358638495206833,0.2257070392370224,0.1629500389099121
.,0.3287222981452942,0.35288307070732117,0.5934505462646484,0.21262511610984802,0.26526886224746704,0.4726039469242096,0.5934505462646484,0.23446570336818695,0.4130953550338745
,how,did,the,drive,end,for,the,panthers,?
but,0.43101516366004944,0.49033689498901367,0.4859698414802551,0.21591532230377197,0.2667407691478729,0.45162561535835266,0.4859698414802551,0.19083257019519806,0.27921953797340393
with,0.3525622487068176,0.25472134351730347,0.4223487675189972,0.1761467009782791,0.23444485664367676,0.39140474796295166,0.4223487675189972,0.23276561498641968,0.2433311939239502
11,0.04696422442793846,0.07614340633153915,-0.0219515822827816,-0.10809072107076645,-0.12467221170663834,-0.05063733458518982,-0.0219515822827816,-0.007205528672784567,-0.04295448586344719
seconds,0.20343491435050964,0.1697860062122345,0.1997634470462799,0.21244867146015167,0.15851831436157227,0.21811291575431824,0.1997634470462799,0.2115422487258911,0.20335537195205688
left,0.186065211892128,0.27335280179977417,0.33113980293273926,0.16058526933193207,0.2131517082452774,0.19966527819633484,0.33113980293273926,0.27322229743003845,0.13251960277557373
",",0.22659391164779663,0.3015086054801941,0.4933079481124878,0.17920437455177307,0.25448864698410034,0.4464869201183319,0.4933079481124878,0.2494642585515976,0.31091248989105225
newton,0.2514588236808777,0.23863376677036285,0.1876603662967682,0.14229874312877655,0.06915309280157089,0.18168501555919647,0.1876603662967682,0.2555108666419983,0.09645649790763855
was,0.16678167879581451,0.41399896144866943,0.48711544275283813,0.18442629277706146,0.19220198690891266,0.3863949179649353,0.48711544275283813,0.2605615258216858,0.18412111699581146
sacked,0.09018589556217194,0.2887319028377533,0.23815631866455078,0.08036593347787857,0.24439190328121185,0.16554750502109528,0.23815631866455078,0.252092182636261,0.07766196876764297
by,0.34370526671409607,0.18574509024620056,0.4408751428127289,0.12660659849643707,0.19136181473731995,0.3248702883720398,0.4408751428127289,0.16948609054088593,0.17966607213020325
demarcus,0.14179979264736176,0.20533795654773712,0.23321470618247986,0.22167375683784485,0.14951692521572113,0.2066725492477417,0.23321470618247986,0.2826589345932007,0.20002961158752441
ware,0.11099079996347427,0.097097247838974,0.14636042714118958,0.2595445513725281,0.07681696116924286,0.1923016458749771,0.14636042714118958,0.16047225892543793,0.07426849752664566
as,0.33782753348350525,0.3596470057964325,0.48381632566452026,0.15328913927078247,0.23417671024799347,0.44774648547172546,0.48381632566452026,0.2052529901266098,0.27043893933296204
time,0.35346719622612,0.3567926585674286,0.43061500787734985,0.19006572663784027,0.2940249741077423,0.3992156386375427,0.43061500787734985,0.2628815770149231,0.27391523122787476
expired,0.15587395429611206,0.2535422444343567,0.26217955350875854,0.14963474869728088,0.2738989591598511,0.2760668396949768,0.26217955350875854,0.20331451296806335,0.22768248617649078
in,0.2601168751716614,0.2593238651752472,0.6662389636039734,0.16816924512386322,0.28539085388183594,0.4322226941585541,0.6662389636039734,0.2115829735994339,0.20430970191955566
the,0.33890387415885925,0.34736719727516174,1.0,0.2083187699317932,0.39658910036087036,0.4739971458911896,1.0,0.2602776288986206,0.22068053483963013
half,0.19052551686763763,0.12883292138576508,0.3189295828342438,0.165010005235672,0.2886093854904175,0.21664121747016907,0.3189295828342438,0.17097704112529755,0.07471233606338501
.,0.3287222981452942,0.35288307070732117,0.5934505462646484,0.21262511610984802,0.26526886224746704,0.4726039469242096,0.5934505462646484,0.23446570336818695,0.4130953550338745
