,the,cast,courts,display,plaster,casts,of,what,objects,?
two,0.43858039379119873,0.23767927289009094,0.14246860146522522,0.10323096811771393,0.19901885092258453,0.2266022115945816,0.37726253271102905,0.23363454639911652,0.21082864701747894,0.19645625352859497
large,0.3828733265399933,0.10633918642997742,0.13264405727386475,0.25231465697288513,0.26975440979003906,0.20522747933864594,0.3569655418395996,0.2017821967601776,0.27704086899757385,0.1355665624141693
",",0.4933079481124878,0.19477514922618866,0.21853886544704437,0.18201033771038055,0.23505495488643646,0.18910802900791168,0.4946078956127167,0.3087472915649414,0.21213118731975555,0.31091248989105225
skylighted,0.2748565375804901,0.21848981082439423,0.14941871166229248,0.15657539665699005,0.25198161602020264,0.20186038315296173,0.230122372508049,0.27582672238349915,0.2745996415615082,0.16829609870910645
rooms,0.18837939202785492,0.1937798708677292,0.3072008192539215,0.2494364231824875,0.2751736044883728,0.2371470183134079,0.1625567078590393,0.15047875046730042,0.27744728326797485,0.11765021830797195
two,0.43858039379119873,0.23767927289009094,0.14246860146522522,0.10323096811771393,0.19901885092258453,0.2266022115945816,0.37726253271102905,0.23363454639911652,0.21082864701747894,0.19645625352859497
storeys,0.3642514646053314,0.20378588140010834,0.2656722664833069,0.2591792345046997,0.3823015093803406,0.28721216320991516,0.31179043650627136,0.19545377790927887,0.3233039081096649,0.17954610288143158
high,0.28034812211990356,0.14033682644367218,0.20446781814098358,0.17796044051647186,0.10158319771289825,0.12289173156023026,0.2803038954734802,0.20466077327728271,0.154563307762146,0.11137914657592773
housing,0.24837790429592133,0.21162749826908112,0.34522658586502075,0.18625539541244507,0.22152629494667053,0.21434235572814941,0.2954002916812897,0.14871764183044434,0.23804283142089844,0.11872038245201111
hundreds,0.31001466512680054,0.11819159984588623,0.19192002713680267,0.21321235597133636,0.28563567996025085,0.23568573594093323,0.32997775077819824,0.234964519739151,0.2853951156139374,0.17484495043754578
of,0.733189046382904,0.2314109057188034,0.24972429871559143,0.23211264610290527,0.24593962728977203,0.2829023003578186,1.0,0.33290785551071167,0.23814009130001068,0.1826142966747284
plaster,0.26503533124923706,0.3568388819694519,0.16202181577682495,0.2625786066055298,0.9999998807907104,0.3571169972419739,0.24593962728977203,0.22980301082134247,0.42719539999961853,0.15216755867004395
casts,0.32095256447792053,0.5857190489768982,0.21288363635540009,0.159359872341156,0.3571169972419739,0.9999998807907104,0.2829023003578186,0.19697153568267822,0.37401652336120605,0.14627884328365326
of,0.733189046382904,0.2314109057188034,0.24972429871559143,0.23211264610290527,0.24593962728977203,0.2829023003578186,1.0,0.33290785551071167,0.23814009130001068,0.1826142966747284
sculptures,0.2478773295879364,0.28503093123435974,0.21712271869182587,0.2318240851163864,0.5125011205673218,0.37695667147636414,0.2783608138561249,0.15105868875980377,0.3862657845020294,0.15626029670238495
",",0.4933079481124878,0.19477514922618866,0.21853886544704437,0.18201033771038055,0.23505495488643646,0.18910802900791168,0.4946078956127167,0.3087472915649414,0.21213118731975555,0.31091248989105225
friezes,0.3073747754096985,0.20846955478191376,0.19308419525623322,0.2598721981048584,0.39974483847618103,0.30589041113853455,0.2986586391925812,0.22428083419799805,0.36596745252609253,0.14565420150756836
and,0.5171257257461548,0.24523046612739563,0.2592387795448303,0.2156500667333603,0.25094857811927795,0.27736788988113403,0.5116966962814331,0.31309178471565247,0.2794862985610962,0.20544172823429108
tombs,0.31052449345588684,0.2001478672027588,0.2742983400821686,0.15896141529083252,0.40001335740089417,0.3129676580429077,0.2902585566043854,0.14188946783542633,0.34474146366119385,0.11909610778093338
.,0.5934505462646484,0.21193501353263855,0.2468891590833664,0.23479050397872925,0.254328191280365,0.23547954857349396,0.5352458953857422,0.3567904531955719,0.23188386857509613,0.4130953550338745
