,what,is,the,name,of,the,delta,in,the,netherlands,?
with,0.2464839518070221,0.3250955045223236,0.4223487675189972,0.17897967994213104,0.41827285289764404,0.4223487675189972,0.15502384305000305,0.4080928862094879,0.4223487675189972,0.14086739718914032,0.2433311939239502
the,0.42745697498321533,0.5823672413825989,1.0,0.3171212375164032,0.733189046382904,1.0,0.22022446990013123,0.6662389636039734,1.0,0.2279868870973587,0.22068053483963013
division,0.19144181907176971,0.20176531374454498,0.26203617453575134,0.13409215211868286,0.23579144477844238,0.26203617453575134,0.02009826898574829,0.2658538520336151,0.26203617453575134,0.16996540129184723,0.08900629729032516
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.24075818061828613,1.0,0.733189046382904,0.20736707746982574,0.5696388483047485,0.733189046382904,0.24916832149028778,0.1826142966747284
the,0.42745697498321533,0.5823672413825989,1.0,0.3171212375164032,0.733189046382904,1.0,0.22022446990013123,0.6662389636039734,1.0,0.2279868870973587,0.22068053483963013
rhine,0.16475653648376465,0.15617261826992035,0.30735138058662415,0.12217257916927338,0.2548927664756775,0.30735138058662415,0.21930839121341705,0.24648422002792358,0.30735138058662415,0.3712500035762787,0.13754533231258392
into,0.2180619090795517,0.2619607150554657,0.39493247866630554,0.19626246392726898,0.32255905866622925,0.39493247866630554,0.2030922770500183,0.38021373748779297,0.39493247866630554,0.12574024498462677,0.15662476420402527
waal,0.18199798464775085,0.1431557983160019,0.14903073012828827,0.07803583145141602,0.18245531618595123,0.14903073012828827,0.14324238896369934,0.19886554777622223,0.14903073012828827,0.38800737261772156,0.11904393881559372
and,0.31309178471565247,0.3859752118587494,0.5171257257461548,0.21235932409763336,0.5116966962814331,0.5171257257461548,0.21133051812648773,0.4954058527946472,0.5171257257461548,0.2576504349708557,0.20544172823429108
nederrijn,0.17190618813037872,0.16590647399425507,0.1956699937582016,0.20149925351142883,0.22627466917037964,0.1956699937582016,0.09077941626310349,0.22228482365608215,0.1956699937582016,0.4641827344894409,0.254536509513855
.,0.3567904531955719,0.4569662809371948,0.5934505462646484,0.24737101793289185,0.5352458953857422,0.5934505462646484,0.20923152565956116,0.5591574311256409,0.5934505462646484,0.25686022639274597,0.4130953550338745
