,what,are,chloroplasts,in,mesophyll,cells,specialized,for,?
which,0.5261979103088379,0.42922598123550415,0.3874085545539856,0.4840516746044159,0.3294721245765686,0.3000165820121765,0.35453733801841736,0.44095608592033386,0.25814583897590637
they,0.4431931674480438,0.610666811466217,0.37369829416275024,0.4330179989337921,0.331913024187088,0.3539968729019165,0.35896560549736023,0.3466525673866272,0.2753053903579712
use,0.3453877568244934,0.4174068570137024,0.2257048487663269,0.2715643048286438,0.2692895829677582,0.22631673514842987,0.4053817391395569,0.47655582427978516,0.32795652747154236
to,0.455847829580307,0.3504326641559601,0.23370109498500824,0.45010748505592346,0.2515886127948761,0.26320719718933105,0.2341577559709549,0.4451248347759247,0.29463258385658264
make,0.3792211413383484,0.4522273540496826,0.24682173132896423,0.268858402967453,0.24838297069072723,0.27159225940704346,0.2525176703929901,0.386745423078537,0.28314751386642456
atp,0.1845729500055313,0.20613214373588562,0.4773290455341339,0.17889440059661865,0.3451439440250397,0.4079057276248932,0.24803373217582703,0.1934916079044342,0.17643076181411743
and,0.31309178471565247,0.48576638102531433,0.21511349081993103,0.4954058527946472,0.31008413434028625,0.24033623933792114,0.31727203726768494,0.5064792633056641,0.20544172823429108
nadph,0.25227585434913635,0.2520201802253723,0.5773351788520813,0.18332253396511078,0.4005146622657776,0.4477077126502991,0.26279759407043457,0.2154131382703781,0.20744888484477997
",",0.3087472915649414,0.4062570035457611,0.20794041454792023,0.5201468467712402,0.28956174850463867,0.20582014322280884,0.2800164520740509,0.4464869201183319,0.31091248989105225
as,0.31749409437179565,0.3826591968536377,0.22593098878860474,0.3887844979763031,0.24208776652812958,0.2328435331583023,0.26188650727272034,0.44774648547172546,0.27043893933296204
well,0.4154493808746338,0.44987359642982483,0.2491588592529297,0.36612698435783386,0.24153240025043488,0.18440411984920502,0.3521013557910919,0.46352139115333557,0.24815571308135986
as,0.31749409437179565,0.3826591968536377,0.22593098878860474,0.3887844979763031,0.24208776652812958,0.2328435331583023,0.26188650727272034,0.44774648547172546,0.27043893933296204
oxygen,0.16781960427761078,0.24342744052410126,0.5239399671554565,0.1672476977109909,0.4171983599662781,0.4377748668193817,0.2169552892446518,0.22718772292137146,0.16786395013332367
.,0.3567904531955719,0.3452940285205841,0.23868323862552643,0.5591574311256409,0.30614688992500305,0.2868211269378662,0.20799407362937927,0.4726039469242096,0.4130953550338745
,what,are,chloroplasts,in,mesophyll,cells,specialized,for,?
as,0.31749409437179565,0.3826591968536377,0.22593098878860474,0.3887844979763031,0.24208776652812958,0.2328435331583023,0.26188650727272034,0.44774648547172546,0.27043893933296204
a,0.3320399522781372,0.265255331993103,0.24622295796871185,0.539380669593811,0.24215084314346313,0.2297232300043106,0.27434712648391724,0.44038116931915283,0.23916715383529663
result,0.19945499300956726,0.18835392594337463,0.2035979926586151,0.25670310854911804,0.20021793246269226,0.19210414588451385,0.11826808005571365,0.2445775717496872,0.17218433320522308
",",0.3087472915649414,0.4062570035457611,0.20794041454792023,0.5201468467712402,0.28956174850463867,0.20582014322280884,0.2800164520740509,0.4464869201183319,0.31091248989105225
chloroplasts,0.2524593770503998,0.3103833794593811,0.9999999403953552,0.21141497790813446,0.5719059109687805,0.6158713102340698,0.3050636351108551,0.22036349773406982,0.13049766421318054
in,0.30808621644973755,0.3841303884983063,0.21141497790813446,1.0,0.25911617279052734,0.1711641103029251,0.27194300293922424,0.4322226941585541,0.20430970191955566
c4,-0.036017969250679016,-0.02044953592121601,-0.08176001161336899,0.024609647691249847,-0.05949375778436661,-0.08756047487258911,0.019959470257163048,0.08272480964660645,-0.1533951610326767
mesophyll,0.30341872572898865,0.2885928153991699,0.5719059109687805,0.25911617279052734,1.0,0.41817760467529297,0.3435616195201874,0.20509585738182068,0.19982145726680756
cells,0.1758001297712326,0.2908284366130829,0.6158713102340698,0.1711641103029251,0.41817760467529297,1.0,0.2915448844432831,0.18419811129570007,0.1898086667060852
and,0.31309178471565247,0.48576638102531433,0.21511349081993103,0.4954058527946472,0.31008413434028625,0.24033623933792114,0.31727203726768494,0.5064792633056641,0.20544172823429108
bundle,0.2447168529033661,0.20170319080352783,0.2630489766597748,0.16298776865005493,0.3350166082382202,0.34370261430740356,0.3192425072193146,0.18921348452568054,0.14805448055267334
sheath,0.11468970775604248,0.271695613861084,0.4062945246696472,0.1923416256904602,0.393644243478775,0.37521934509277344,0.2956920862197876,0.18827810883522034,0.06032225862145424
cells,0.1758001297712326,0.2908284366130829,0.6158713102340698,0.1711641103029251,0.41817760467529297,1.0,0.2915448844432831,0.18419811129570007,0.1898086667060852
are,0.29724663496017456,1.0,0.3103833794593811,0.3841303884983063,0.2885928153991699,0.2908284366130829,0.39048901200294495,0.3895993232727051,0.24591213464736938
specialized,0.1963823437690735,0.39048901200294495,0.3050636351108551,0.27194300293922424,0.3435616195201874,0.2915448844432831,1.0,0.2768101394176483,0.14791558682918549
for,0.3017193675041199,0.3895993232727051,0.22036349773406982,0.4322226941585541,0.20509585738182068,0.18419811129570007,0.2768101394176483,0.9999999403953552,0.264628142118454
each,0.3353266417980194,0.39730963110923767,0.2836918532848358,0.30816060304641724,0.22968150675296783,0.26087647676467896,0.2883650064468384,0.3044290542602539,0.21173812448978424
stage,0.15168409049510956,0.168104350566864,0.256705641746521,0.2011467069387436,0.20759008824825287,0.15643934905529022,0.17748534679412842,0.2402065247297287,0.14916576445102692
of,0.33290785551071167,0.39081433415412903,0.23179760575294495,0.5696388483047485,0.2988089323043823,0.21305565536022186,0.2455318421125412,0.4185989499092102,0.1826142966747284
photosynthesis,0.261831134557724,0.30001193284988403,0.7245578765869141,0.2557604908943176,0.6267205476760864,0.5304041504859924,0.3075523376464844,0.23681029677391052,0.1871609091758728
.,0.3567904531955719,0.3452940285205841,0.23868323862552643,0.5591574311256409,0.30614688992500305,0.2868211269378662,0.20799407362937927,0.4726039469242096,0.4130953550338745
