,how,many,parts,does,the,consideration,of,a,bill,in,stage,3,have,?
general,0.19638104736804962,0.21976788341999054,0.16792455315589905,0.15178900957107544,0.28634732961654663,0.19097407162189484,0.28352999687194824,0.2157215178012848,0.12092206627130508,0.259066641330719,0.07193143665790558,0.06449693441390991,0.1695498526096344,0.1972234547138214
debate,0.28269731998443604,0.30406811833381653,0.06774022430181503,0.2224576473236084,0.2608932852745056,0.35062363743782043,0.2139439731836319,0.22831885516643524,0.20622819662094116,0.1971871554851532,0.17446625232696533,0.07161678373813629,0.2876809239387512,0.227684885263443
",",0.22659391164779663,0.40610817074775696,0.2964099943637848,0.28617382049560547,0.4933079481124878,0.3715595006942749,0.4946078956127167,0.427140474319458,0.2472437173128128,0.5201468467712402,0.2630990147590637,0.02255268208682537,0.3541618287563324,0.31091248989105225
and,0.33647966384887695,0.5296266674995422,0.3901200294494629,0.3461615741252899,0.5171257257461548,0.3259183168411255,0.5116966962814331,0.3739250600337982,0.24696701765060425,0.4954058527946472,0.17654182016849518,0.07610447704792023,0.4711785912513733,0.20544172823429108
a,0.29312583804130554,0.2872205972671509,0.2777566909790039,0.38201746344566345,0.5829201340675354,0.31926587224006653,0.5052502155303955,1.0,0.24716360867023468,0.539380669593811,0.2036506086587906,0.08904784172773361,0.338716596364975,0.23916715383529663
final,0.2052120715379715,0.16054779291152954,0.1976732462644577,0.1768365204334259,0.3543182611465454,0.2564539909362793,0.24563951790332794,0.24625235795974731,0.18517553806304932,0.25512343645095825,0.26697930693626404,0.011106045916676521,0.13584725558757782,0.17315025627613068
vote,0.2566540539264679,0.14577564597129822,0.08710215985774994,0.17017656564712524,0.22779929637908936,0.3773130774497986,0.19845709204673767,0.21813347935676575,0.2394048422574997,0.21458156406879425,0.1152254045009613,0.05412464961409569,0.26096346974372864,0.2888886630535126
on,0.32655060291290283,0.32520127296447754,0.26594671607017517,0.2568802833557129,0.5107308030128479,0.29157233238220215,0.3966929316520691,0.3848365545272827,0.1958429217338562,0.46853652596473694,0.2387886643409729,0.08950094133615494,0.36494916677474976,0.2714994251728058
the,0.33890387415885925,0.4335206151008606,0.4042440354824066,0.35928019881248474,1.0,0.3567850589752197,0.733189046382904,0.5829201340675354,0.24155211448669434,0.6662389636039734,0.22652170062065125,0.06283142417669296,0.40389683842658997,0.22068053483963013
bill,0.19698695838451385,0.13557864725589752,0.13646987080574036,0.17194031178951263,0.24155211448669434,0.1992005705833435,0.17127205431461334,0.24716360867023468,0.9999999403953552,0.1447519063949585,0.24478907883167267,-0.023616017773747444,0.15134581923484802,0.12855131924152374
.,0.3287222981452942,0.3974229395389557,0.30755549669265747,0.3022993505001068,0.5934505462646484,0.3325372338294983,0.5352458953857422,0.50484299659729,0.2289014607667923,0.5591574311256409,0.19994208216667175,0.043593376874923706,0.41614407300949097,0.4130953550338745
