,what,provided,much,of,the,basis,for,the,structure,of,the,parliament,in,1995,?
of,0.33290785551071167,0.272808313369751,0.2671096920967102,1.0,0.733189046382904,0.282950758934021,0.4185989499092102,0.733189046382904,0.2599511742591858,1.0,0.733189046382904,0.2885259687900543,0.5696388483047485,-0.03749867156147957,0.1826142966747284
the,0.42745697498321533,0.304488867521286,0.35023224353790283,0.733189046382904,1.0,0.2758672833442688,0.4739971458911896,1.0,0.2933249771595001,0.733189046382904,1.0,0.26521381735801697,0.6662389636039734,-0.025311529636383057,0.22068053483963013
basis,0.27055948972702026,0.3363610506057739,0.303716778755188,0.282950758934021,0.2758672833442688,1.0000001192092896,0.34436357021331787,0.2758672833442688,0.3321015238761902,0.282950758934021,0.2758672833442688,0.1941995471715927,0.24894960224628448,-0.002868311945348978,0.14255106449127197
for,0.3017193675041199,0.38938868045806885,0.2994346022605896,0.4185989499092102,0.4739971458911896,0.34436357021331787,0.9999999403953552,0.4739971458911896,0.17053212225437164,0.4185989499092102,0.4739971458911896,0.23382046818733215,0.4322226941585541,0.017580198124051094,0.264628142118454
the,0.42745697498321533,0.304488867521286,0.35023224353790283,0.733189046382904,1.0,0.2758672833442688,0.4739971458911896,1.0,0.2933249771595001,0.733189046382904,1.0,0.26521381735801697,0.6662389636039734,-0.025311529636383057,0.22068053483963013
structure,0.27351704239845276,0.17314119637012482,0.28896164894104004,0.2599511742591858,0.2933249771595001,0.3321015238761902,0.17053212225437164,0.2933249771595001,1.0000001192092896,0.2599511742591858,0.2933249771595001,0.17879901826381683,0.2992834448814392,-0.07394739985466003,0.1770772784948349
of,0.33290785551071167,0.272808313369751,0.2671096920967102,1.0,0.733189046382904,0.282950758934021,0.4185989499092102,0.733189046382904,0.2599511742591858,1.0,0.733189046382904,0.2885259687900543,0.5696388483047485,-0.03749867156147957,0.1826142966747284
the,0.42745697498321533,0.304488867521286,0.35023224353790283,0.733189046382904,1.0,0.2758672833442688,0.4739971458911896,1.0,0.2933249771595001,0.733189046382904,1.0,0.26521381735801697,0.6662389636039734,-0.025311529636383057,0.22068053483963013
parliament,0.21650300920009613,0.10871163755655289,0.162418931722641,0.2885259687900543,0.26521381735801697,0.1941995471715927,0.23382046818733215,0.26521381735801697,0.17879901826381683,0.2885259687900543,0.26521381735801697,1.0,0.2323146015405655,0.1454886943101883,0.1586504578590393
.,0.3567904531955719,0.22066283226013184,0.3374604284763336,0.5352458953857422,0.5934505462646484,0.2657107412815094,0.4726039469242096,0.5934505462646484,0.26570191979408264,0.5352458953857422,0.5934505462646484,0.23747818171977997,0.5591574311256409,0.019630953669548035,0.4130953550338745
