,what,was,the,final,score,of,super,bowl,xxxiii,?
super,0.13651713728904724,0.21420986950397491,0.21959073841571808,0.18389330804347992,0.14868654310703278,0.14718765020370483,1.0000001192092896,0.4848237931728363,0.521435022354126,0.166326642036438
bowl,0.15942467749118805,0.21915455162525177,0.21576224267482758,0.2308216542005539,0.18485401570796967,0.2243070751428604,0.4848237931728363,1.0,0.5332549810409546,0.21118052303791046
xxxiii,0.13784337043762207,0.2836242914199829,0.3131234347820282,0.32581666111946106,0.1660984754562378,0.2492917776107788,0.521435022354126,0.5332549810409546,1.0,0.19756333529949188
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.24864837527275085,0.16025088727474213,0.4946078956127167,0.22322475910186768,0.1810409277677536,0.28180480003356934,0.31091248989105225
elway,0.2192334681749344,0.24907957017421722,0.2985321283340454,0.24354711174964905,0.24302849173545837,0.2248365581035614,0.2389257848262787,0.3023669123649597,0.32840511202812195,0.2248448133468628
's,0.02692362666130066,0.008974763564765453,-0.01540423184633255,0.03147284314036369,0.06112585589289665,-0.03817026689648628,0.09726737439632416,-0.02838491089642048,0.017510170117020607,-0.023395681753754616
last,0.23175878822803497,0.32424551248550415,0.3698786795139313,0.4394223988056183,0.19008532166481018,0.3052992522716522,0.17231976985931396,0.20327796041965485,0.2604474425315857,0.22371746599674225
game,0.2246788740158081,0.2568269371986389,0.285271555185318,0.32037389278411865,0.3166070282459259,0.2298848181962967,0.3480181396007538,0.2413962334394455,0.3162572979927063,0.1829071193933487
as,0.31749409437179565,0.3677520453929901,0.48381632566452026,0.18874843418598175,0.1545318365097046,0.3886612355709076,0.21450649201869965,0.14539222419261932,0.20796296000480652,0.27043893933296204
denver,0.1275133192539215,0.2766761779785156,0.2052404284477234,0.11054975539445877,0.1512077897787094,0.14595118165016174,0.24589714407920837,0.2861449718475342,0.3136270344257355,0.1520889848470688
qb,0.12458405643701553,0.25619086623191833,0.15503893792629242,0.1651308685541153,0.30563634634017944,0.11856603622436523,0.2669486999511719,0.32663026452064514,0.3660312294960022,0.17378021776676178
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.24864837527275085,0.16025088727474213,0.4946078956127167,0.22322475910186768,0.1810409277677536,0.28180480003356934,0.31091248989105225
when,0.4700249433517456,0.37326499819755554,0.5091903209686279,0.235932394862175,0.19746464490890503,0.3757161796092987,0.20393483340740204,0.20523639023303986,0.22676533460617065,0.22841128706932068
they,0.4431931674480438,0.3300964832305908,0.49925389885902405,0.1924978792667389,0.12757958471775055,0.3426007330417633,0.1988932192325592,0.18658970296382904,0.2121027112007141,0.2753053903579712
defeated,0.13652801513671875,0.30834874510765076,0.2833898365497589,0.2983483374118805,0.19660666584968567,0.21236225962638855,0.22541621327400208,0.24224305152893066,0.3593118488788605,0.1413237303495407
the,0.42745697498321533,0.48711544275283813,1.0,0.3543182611465454,0.2042495757341385,0.733189046382904,0.21959073841571808,0.21576224267482758,0.3131234347820282,0.22068053483963013
atlanta,0.16388162970542908,0.24287629127502441,0.23474927246570587,0.1777859926223755,0.11041122674942017,0.15147250890731812,0.18281380832195282,0.2594067454338074,0.36442822217941284,0.15733501315116882
falcons,0.16426008939743042,0.1812870353460312,0.21631120145320892,0.135641410946846,0.18771883845329285,0.15997256338596344,0.2247217297554016,0.3091208338737488,0.328747034072876,0.13383014500141144
34–19,-0.024621915072202682,0.03991703316569328,-0.14853201806545258,0.03772366791963577,-0.005552780348807573,-0.20394566655158997,-0.015810701996088028,-0.08226211369037628,-0.09271158277988434,-0.03791365772485733
.,0.3567904531955719,0.40146201848983765,0.5934505462646484,0.24325628578662872,0.17928162217140198,0.5352458953857422,0.2757420241832733,0.21516893804073334,0.24740536510944366,0.4130953550338745
