,at,what,degree,are,the,pistons,of,a,two-cylinder,compound,connected,to,the,cranks,?
to,0.36524343490600586,0.455847829580307,0.23240768909454346,0.3504326641559601,0.535392165184021,0.2704523503780365,0.41548454761505127,0.45503583550453186,0.2076745182275772,0.23539909720420837,0.2315610647201538,1.0,0.535392165184021,0.31027474999427795,0.29463258385658264
the,0.457212895154953,0.42745697498321533,0.20765221118927002,0.40399202704429626,1.0,0.278138667345047,0.733189046382904,0.5829201340675354,0.23971812427043915,0.18848907947540283,0.31369513273239136,0.535392165184021,1.0,0.33573660254478455,0.22068053483963013
cranks,0.1890752762556076,0.2072090059518814,0.18790002167224884,0.2896965742111206,0.33573660254478455,0.45044583082199097,0.26211535930633545,0.23297567665576935,0.3998902142047882,0.19694474339485168,0.18805095553398132,0.31027474999427795,0.33573660254478455,1.0,0.21214640140533447
as,0.28092536330223083,0.31749409437179565,0.19887882471084595,0.3826591968536377,0.48381632566452026,0.2100476175546646,0.3886612355709076,0.39550232887268066,0.20697170495986938,0.24829186499118805,0.12269873917102814,0.42092081904411316,0.48381632566452026,0.25591686367988586,0.27043893933296204
with,0.29126521944999695,0.2464839518070221,0.20720073580741882,0.38996943831443787,0.4223487675189972,0.26753267645835876,0.41827285289764404,0.3783375024795532,0.2808476984500885,0.21534183621406555,0.28264787793159485,0.4239959120750427,0.4223487675189972,0.30906689167022705,0.2433311939239502
a,0.3095070421695709,0.3320399522781372,0.25289660692214966,0.265255331993103,0.5829201340675354,0.24513056874275208,0.5052502155303955,1.0,0.3007708191871643,0.2321223020553589,0.24938417971134186,0.45503583550453186,0.5829201340675354,0.23297567665576935,0.23916715383529663
two-cylinder,0.2139410376548767,0.1208973154425621,0.2249847799539566,0.22258992493152618,0.23971812427043915,0.4628579616546631,0.20004141330718994,0.3007708191871643,1.0,0.34083065390586853,0.22066690027713776,0.2076745182275772,0.23971812427043915,0.3998902142047882,0.1583930402994156
simple,0.21276067197322845,0.4218197166919708,0.12216697633266449,0.3569783866405487,0.24738673865795135,0.18972229957580566,0.23205730319023132,0.34160614013671875,0.2614469826221466,0.34466552734375,0.15704365074634552,0.38820502161979675,0.24738673865795135,0.22391678392887115,0.4614735543727875
at,1.0,0.2838611304759979,0.24126897752285004,0.2074895054101944,0.457212895154953,0.2331906408071518,0.42558613419532776,0.3095070421695709,0.2139410376548767,0.17857593297958374,0.23600004613399506,0.36524343490600586,0.457212895154953,0.1890752762556076,0.21978627145290375
90°,-0.028809325769543648,-0.04425855353474617,-0.06913478672504425,-0.13825717568397522,0.02078147977590561,0.026698127388954163,-0.01784394308924675,-0.061210934072732925,-0.04782196879386902,-0.08639504015445709,0.04782062768936157,-0.016603635624051094,0.02078147977590561,-0.031803425401449203,0.047285664826631546
out,0.2881071865558624,0.3633197546005249,0.13464561104774475,0.31390950083732605,0.39404502511024475,0.284214586019516,0.34176841378211975,0.34264278411865234,0.2989271283149719,0.21729713678359985,0.1836383044719696,0.42386990785598755,0.39404502511024475,0.3140426576137543,0.22020699083805084
of,0.42558613419532776,0.33290785551071167,0.22760991752147675,0.39081433415412903,0.733189046382904,0.20359718799591064,1.0,0.5052502155303955,0.20004141330718994,0.23397859930992126,0.2951911687850952,0.41548454761505127,0.733189046382904,0.26211535930633545,0.1826142966747284
phase,0.22795556485652924,0.19029277563095093,0.18221834301948547,0.20512287318706512,0.29143109917640686,0.15162070095539093,0.2589104175567627,0.28588804602622986,0.231852188706398,0.2940122187137604,0.19693489372730255,0.21437396109104156,0.29143109917640686,0.1930435448884964,0.16345681250095367
with,0.29126521944999695,0.2464839518070221,0.20720073580741882,0.38996943831443787,0.4223487675189972,0.26753267645835876,0.41827285289764404,0.3783375024795532,0.2808476984500885,0.21534183621406555,0.28264787793159485,0.4239959120750427,0.4223487675189972,0.30906689167022705,0.2433311939239502
each,0.21600523591041565,0.3353266417980194,0.13923636078834534,0.39730963110923767,0.470844566822052,0.25882384181022644,0.38460010290145874,0.434999018907547,0.280331015586853,0.28457725048065186,0.31568512320518494,0.3941934108734131,0.470844566822052,0.2747038006782532,0.21173812448978424
other,0.24329762160778046,0.341873437166214,0.20675961673259735,0.5932393670082092,0.44152235984802246,0.2179739624261856,0.38583824038505554,0.2806335389614105,0.20939762890338898,0.2468135803937912,0.33552220463752747,0.4193183183670044,0.44152235984802246,0.3480242192745209,0.24682199954986572
(,0.23315078020095825,0.2411840260028839,0.0916384682059288,0.23263892531394958,0.33289089798927307,0.17260922491550446,0.35032153129577637,0.3206180930137634,0.13096804916858673,0.20945166051387787,0.17766018211841583,0.30882009863853455,0.33289089798927307,0.14958468079566956,0.40561532974243164
quartered,0.22600482404232025,0.14261242747306824,0.2290673702955246,0.22963649034500122,0.3198002278804779,0.2711874842643738,0.31848546862602234,0.24537068605422974,0.25130999088287354,0.1896251142024994,0.22348453104496002,0.1806716024875641,0.3198002278804779,0.19474604725837708,0.08958509564399719
),0.23338089883327484,0.26259949803352356,0.12006344646215439,0.2373749315738678,0.3456730246543884,0.17410588264465332,0.3680361211299896,0.3640355169773102,0.15243303775787354,0.21834416687488556,0.19700931012630463,0.31236231327056885,0.3456730246543884,0.1505236178636551,0.42300865054130554
.,0.4549728035926819,0.3567904531955719,0.20956046879291534,0.3452940285205841,0.5934505462646484,0.28499552607536316,0.5352458953857422,0.50484299659729,0.28836318850517273,0.20561864972114563,0.2379520833492279,0.4645031690597534,0.5934505462646484,0.3143604099750519,0.4130953550338745
