,who,was,jacksonville,'s,mayor,at,the,time,of,the,consolidation,?
behind,0.2240559607744217,0.27558037638664246,0.13473568856716156,0.06894329190254211,0.06643258035182953,0.2251313030719757,0.38928431272506714,0.23013393580913544,0.2801654636859894,0.38928431272506714,0.1015983372926712,0.19274599850177765
a,0.36608949303627014,0.4508470594882965,0.28008249402046204,0.04866964742541313,0.17534200847148895,0.3095070421695709,0.5829201340675354,0.3292340338230133,0.5052502155303955,0.5829201340675354,0.25076913833618164,0.23916715383529663
sign,0.15820136666297913,0.10542256385087967,0.13239246606826782,-0.018721353262662888,0.07039499282836914,0.1301579624414444,0.22875791788101196,0.18716712296009064,0.201818585395813,0.22875791788101196,0.165300652384758,0.21454890072345734
marking,0.11117054522037506,0.15448026359081268,0.16668377816677094,-0.018311547115445137,0.11527422815561295,0.2347090244293213,0.3601176142692566,0.21881815791130066,0.2663365304470062,0.3601176142692566,0.27055954933166504,0.12772339582443237
the,0.3733934462070465,0.48711544275283813,0.2176690250635147,-0.01540423184633255,0.21459873020648956,0.457212895154953,1.0,0.43061500787734985,0.733189046382904,1.0,0.3002266585826874,0.22068053483963013
new,0.2378052920103073,0.2748313844203949,0.2965656518936157,-0.008355522528290749,0.19706599414348602,0.1898733228445053,0.3845241069793701,0.2320125252008438,0.343457967042923,0.3845241069793701,0.22779220342636108,0.14782847464084625
border,0.11721642315387726,0.15863363444805145,0.1754654496908188,-0.0324530154466629,0.134214848279953,0.18072058260440826,0.2856229841709137,0.16140738129615784,0.24084383249282837,0.2856229841709137,0.28089842200279236,0.1706928312778473
of,0.2827862501144409,0.4069072902202606,0.23084138333797455,-0.03817026689648628,0.17262716591358185,0.42558613419532776,0.733189046382904,0.35127586126327515,1.0,0.733189046382904,0.3290441930294037,0.1826142966747284
the,0.3733934462070465,0.48711544275283813,0.2176690250635147,-0.01540423184633255,0.21459873020648956,0.457212895154953,1.0,0.43061500787734985,0.733189046382904,1.0,0.3002266585826874,0.22068053483963013
``,0.02397952415049076,-0.012679691426455975,-0.023335522040724754,-0.03416389226913452,-0.02933327853679657,-0.07642947137355804,0.029072100296616554,0.041467953473329544,0.06780257821083069,0.029072100296616554,0.03716043010354042,0.0685480609536171
bold,0.1734606921672821,0.08225566148757935,0.23560068011283875,-0.008238040842115879,0.16927887499332428,0.11890850961208344,0.20297379791736603,0.15207409858703613,0.17060621082782745,0.20297379791736603,0.14764542877674103,0.27128171920776367
new,0.2378052920103073,0.2748313844203949,0.2965656518936157,-0.008355522528290749,0.19706599414348602,0.1898733228445053,0.3845241069793701,0.2320125252008438,0.343457967042923,0.3845241069793701,0.22779220342636108,0.14782847464084625
city,0.21073515713214874,0.3188765048980713,0.3285287022590637,0.004406440537422895,0.4269169569015503,0.2310783565044403,0.35769423842430115,0.21582140028476715,0.32503411173820496,0.35769423842430115,0.23907002806663513,0.13423943519592285
of,0.2827862501144409,0.4069072902202606,0.23084138333797455,-0.03817026689648628,0.17262716591358185,0.42558613419532776,0.733189046382904,0.35127586126327515,1.0,0.733189046382904,0.3290441930294037,0.1826142966747284
the,0.3733934462070465,0.48711544275283813,0.2176690250635147,-0.01540423184633255,0.21459873020648956,0.457212895154953,1.0,0.43061500787734985,0.733189046382904,1.0,0.3002266585826874,0.22068053483963013
south,0.19068880379199982,0.2792486846446991,0.24695053696632385,0.06268392503261566,0.1932220458984375,0.21806499361991882,0.3129390776157379,0.13947594165802002,0.33382371068000793,0.3129390776157379,0.2067878097295761,0.12336621433496475
'',0.024401003494858742,0.04456103965640068,0.024820799008011818,-0.04859459400177002,-0.02934269979596138,0.04379578307271004,0.041273195296525955,-0.01899585872888565,0.13035868108272552,0.041273195296525955,-0.04075780510902405,0.018684765323996544
at,0.22096660733222961,0.36707764863967896,0.2604049742221832,-0.08481216430664062,0.10717985779047012,1.0,0.457212895154953,0.3956010341644287,0.42558613419532776,0.457212895154953,0.1255066841840744,0.21978627145290375
florida,0.13160431385040283,0.23693005740642548,0.568950355052948,0.03644531965255737,0.14969713985919952,0.23743785917758942,0.24091358482837677,0.2910992205142975,0.2330869883298874,0.24091358482837677,0.23608048260211945,0.13469882309436798
13,0.09338453412055969,0.020193999633193016,0.06251311302185059,-0.14436520636081696,0.05466124415397644,-0.0434831939637661,-0.007407139986753464,0.04539946839213371,0.019282439723610878,-0.007407139986753464,0.040875501930713654,-0.11384815722703934
and,0.41279885172843933,0.3740963041782379,0.2603762745857239,0.06895173341035843,0.1739593893289566,0.3571503460407257,0.5171257257461548,0.3025408685207367,0.5116966962814331,0.5171257257461548,0.26565974950790405,0.20544172823429108
julington,0.2512192726135254,0.32984015345573425,0.451400488615036,-0.05452730506658554,0.2274397760629654,0.30238744616508484,0.26325908303260803,0.2481660693883896,0.2501080632209778,0.26325908303260803,0.19786721467971802,0.18173733353614807
creek,0.10557282716035843,0.18697237968444824,0.27954620122909546,0.006176064256578684,0.1406000852584839,0.206513449549675,0.18927018344402313,0.12052473425865173,0.17091353237628937,0.18927018344402313,0.11657701432704926,0.10912753641605377
.,0.3541337847709656,0.40146201848983765,0.2843366861343384,-0.003708066651597619,0.22149251401424408,0.4549728035926819,0.5934505462646484,0.371569961309433,0.5352458953857422,0.5934505462646484,0.2829543948173523,0.4130953550338745
