,the,sculpture,of,amida,nyorai,that,is,included,in,the,v,&,a,'s,japanese,art,collection,is,dated,to,which,century,?
but,0.4859698414802551,0.1746019572019577,0.39942997694015503,0.16724319756031036,0.23021924495697021,0.7244205474853516,0.4106791317462921,0.2954445481300354,0.48674455285072327,0.4859698414802551,0.09668958187103271,0.12256074696779251,0.44750767946243286,0.04136733338236809,0.1510426104068756,0.19559556245803833,0.16700702905654907,0.4106791317462921,0.167549729347229,0.5542377829551697,0.55336993932724,0.2647073268890381,0.27921953797340393
one,0.5514441132545471,0.22687579691410065,0.4999135136604309,0.2464601695537567,0.27606359124183655,0.5133185982704163,0.4544198513031006,0.33055877685546875,0.4129433035850525,0.5514441132545471,0.1586812287569046,0.0723944678902626,0.4910551905632019,0.06913424283266068,0.2061820924282074,0.17770402133464813,0.29259923100471497,0.4544198513031006,0.17455975711345673,0.4025384783744812,0.510688066482544,0.25954312086105347,0.2673267424106598
of,0.733189046382904,0.2746802270412445,1.0,0.22407901287078857,0.2892971634864807,0.41498205065727234,0.4854315221309662,0.4391688108444214,0.5696388483047485,0.733189046382904,0.1655031144618988,0.19900451600551605,0.5052502155303955,-0.03817026689648628,0.2048201858997345,0.22648051381111145,0.2915455996990204,0.4854315221309662,0.210488960146904,0.41548454761505127,0.5011631846427917,0.2826060354709625,0.1826142966747284
the,1.0,0.23690329492092133,0.733189046382904,0.2417602688074112,0.3486674726009369,0.5473989248275757,0.5823672413825989,0.3825419843196869,0.6662389636039734,1.0,0.18580520153045654,0.14992168545722961,0.5829201340675354,-0.01540423184633255,0.21599429845809937,0.20297785103321075,0.25281965732574463,0.5823672413825989,0.2046709507703781,0.535392165184021,0.6521818041801453,0.3617299497127533,0.22068053483963013
oldest,0.30836519598960876,0.21238073706626892,0.33351290225982666,0.1822330355644226,0.25985613465309143,0.21169234812259674,0.3135911226272583,0.12027466297149658,0.33251360058784485,0.30836519598960876,0.08486878126859665,0.08293179422616959,0.2483421117067337,-0.014085551723837852,0.18857941031455994,0.1381353735923767,0.22153741121292114,0.3135911226272583,0.3514329493045807,0.16884976625442505,0.19479234516620636,0.26236382126808167,0.14864160120487213
pieces,0.2676405906677246,0.3100731372833252,0.2685854732990265,0.23776455223560333,0.10966506600379944,0.2854982614517212,0.24471963942050934,0.2172422558069229,0.19380393624305725,0.2676405906677246,0.13428206741809845,0.12271954864263535,0.28865358233451843,0.07964719831943512,0.1956297755241394,0.234808549284935,0.3161017894744873,0.24471963942050934,0.14419229328632355,0.24752360582351685,0.3588203191757202,0.23257839679718018,0.12758022546768188
displayed,0.2887660264968872,0.2304840236902237,0.22871877253055573,0.07984011620283127,0.19198711216449738,0.2524890899658203,0.1811804473400116,0.2666204869747162,0.22596381604671478,0.2887660264968872,0.0767659917473793,0.05504211410880089,0.22292453050613403,-0.039775438606739044,0.07704617828130722,0.2466290146112442,0.23547086119651794,0.1811804473400116,0.23530320823192596,0.19166001677513123,0.2786124646663666,0.15500685572624207,0.20322057604789734
is,0.5823672413825989,0.20341666042804718,0.4854315221309662,0.22831062972545624,0.26801806688308716,0.3995479643344879,1.0,0.23363345861434937,0.5394441485404968,0.5823672413825989,0.16126930713653564,0.08384179323911667,0.658733606338501,0.02396530658006668,0.20400524139404297,0.17386884987354279,0.21135231852531433,1.0,0.13580690324306488,0.42745086550712585,0.4457404911518097,0.20648397505283356,0.22961433231830597
the,1.0,0.23690329492092133,0.733189046382904,0.2417602688074112,0.3486674726009369,0.5473989248275757,0.5823672413825989,0.3825419843196869,0.6662389636039734,1.0,0.18580520153045654,0.14992168545722961,0.5829201340675354,-0.01540423184633255,0.21599429845809937,0.20297785103321075,0.25281965732574463,0.5823672413825989,0.2046709507703781,0.535392165184021,0.6521818041801453,0.3617299497127533,0.22068053483963013
13th-century,0.32099464535713196,0.2205664962530136,0.26545727252960205,0.15076188743114471,0.233149453997612,0.22661413252353668,0.19174067676067352,0.2559487819671631,0.29300054907798767,0.32099464535713196,0.07183375954627991,0.1265418529510498,0.177744060754776,0.03472578153014183,0.12394875288009644,0.1858341544866562,0.26697686314582825,0.19174067676067352,0.27952244877815247,0.20061133801937103,0.21646204590797424,0.9144138693809509,0.11644048988819122
sculpture,0.23690329492092133,1.0,0.2746802270412445,0.20061194896697998,0.29370543360710144,0.2037505954504013,0.20341666042804718,0.21685104072093964,0.23036405444145203,0.23690329492092133,0.10977459698915482,0.07646507024765015,0.19645118713378906,0.08444227278232574,0.12420599162578583,0.4837363064289093,0.3205874264240265,0.20341666042804718,0.25370094180107117,0.23966236412525177,0.2241707295179367,0.2017069309949875,0.1571214497089386
of,0.733189046382904,0.2746802270412445,1.0,0.22407901287078857,0.2892971634864807,0.41498205065727234,0.4854315221309662,0.4391688108444214,0.5696388483047485,0.733189046382904,0.1655031144618988,0.19900451600551605,0.5052502155303955,-0.03817026689648628,0.2048201858997345,0.22648051381111145,0.2915455996990204,0.4854315221309662,0.210488960146904,0.41548454761505127,0.5011631846427917,0.2826060354709625,0.1826142966747284
amida,0.2417602688074112,0.20061194896697998,0.22407901287078857,1.0,0.35319429636001587,0.21121203899383545,0.22831062972545624,0.17726589739322662,0.18135406076908112,0.2417602688074112,0.1084853932261467,0.058243460953235626,0.25528767704963684,0.021325621753931046,0.28696227073669434,0.15689563751220703,0.1404106169939041,0.22831062972545624,0.16019417345523834,0.16069993376731873,0.2512444853782654,0.131234809756279,0.1716163605451584
nyorai,0.3486674726009369,0.29370543360710144,0.2892971634864807,0.35319429636001587,1.0,0.23727957904338837,0.26801806688308716,0.219543918967247,0.3216840624809265,0.3486674726009369,0.161195307970047,0.12208454310894012,0.2897018492221832,-0.011150192469358444,0.3727671504020691,0.29296424984931946,0.27316486835479736,0.26801806688308716,0.2157285511493683,0.24341781437397003,0.29178449511528015,0.2186831682920456,0.25021007657051086
.,0.5934505462646484,0.2360875904560089,0.5352458953857422,0.2227589637041092,0.3387840688228607,0.4460422694683075,0.4569662809371948,0.25865867733955383,0.5591574311256409,0.5934505462646484,0.2973858416080475,0.16452857851982117,0.50484299659729,-0.003708066651597619,0.22132645547389984,0.21795564889907837,0.2516246736049652,0.4569662809371948,0.2194228619337082,0.4645031690597534,0.45942068099975586,0.27413639426231384,0.4130953550338745
