,how,many,counties,initially,made,up,the,definition,of,southern,california,?
the,0.33890387415885925,0.4335206151008606,0.23370873928070068,0.2997018098831177,0.3885267674922943,0.38423117995262146,1.0,0.23176956176757812,0.733189046382904,0.3282862603664398,0.2750805914402008,0.22068053483963013
seven,0.20032188296318054,0.28098854422569275,0.15574148297309875,0.12734352052211761,0.19303905963897705,0.22783347964286804,0.28151169419288635,0.13858285546302795,0.273354172706604,0.16149812936782837,0.18435965478420258,0.1732930988073349
counties,0.13891631364822388,0.17799876630306244,1.0,0.12649884819984436,0.15292836725711823,0.15491950511932373,0.23370873928070068,0.18873164057731628,0.2559657096862793,0.27950868010520935,0.21366026997566223,0.09521792083978653
of,0.2480744868516922,0.37253960967063904,0.2559657096862793,0.21367986500263214,0.33167365193367004,0.32945773005485535,0.733189046382904,0.24912455677986145,1.0,0.31933003664016724,0.24929828941822052,0.1826142966747284
los,0.1389930248260498,0.23644691705703735,0.15060237050056458,0.15203194320201874,0.12433160096406937,0.1999569982290268,0.2502395510673523,0.11161080747842789,0.17343297600746155,0.18350043892860413,0.641045331954956,0.15495611727237701
angeles,0.15835323929786682,0.2358880192041397,0.17358089983463287,0.15113168954849243,0.13964885473251343,0.21881207823753357,0.24588194489479065,0.10440211743116379,0.16643567383289337,0.19405479729175568,0.6717669367790222,0.16139166057109833
",",0.22659391164779663,0.40610817074775696,0.2766191363334656,0.23403345048427582,0.32507219910621643,0.34193792939186096,0.4933079481124878,0.24771931767463684,0.4946078956127167,0.2795628309249878,0.2704589068889618,0.31091248989105225
san,0.11613621562719345,0.20305834710597992,0.17207099497318268,0.12197073549032211,0.1620924323797226,0.14052174985408783,0.2858080565929413,0.09474281966686249,0.25237205624580383,0.2520903944969177,0.5170050263404846,0.10952327400445938
bernardino,0.10074875503778458,0.24235501885414124,0.25415217876434326,0.15865209698677063,0.12167968600988388,0.15997324883937836,0.2722903788089752,0.1539241373538971,0.26093193888664246,0.32294273376464844,0.463833212852478,0.11443846672773361
",",0.22659391164779663,0.40610817074775696,0.2766191363334656,0.23403345048427582,0.32507219910621643,0.34193792939186096,0.4933079481124878,0.24771931767463684,0.4946078956127167,0.2795628309249878,0.2704589068889618,0.31091248989105225
orange,0.11673212796449661,0.16554947197437286,0.2865590453147888,0.1264508068561554,0.16141468286514282,0.1943148821592331,0.20814983546733856,0.19668324291706085,0.2509242296218872,0.19798541069030762,0.30975285172462463,0.1066059097647667
",",0.22659391164779663,0.40610817074775696,0.2766191363334656,0.23403345048427582,0.32507219910621643,0.34193792939186096,0.4933079481124878,0.24771931767463684,0.4946078956127167,0.2795628309249878,0.2704589068889618,0.31091248989105225
riverside,0.09854016453027725,0.22203929722309113,0.3590361475944519,0.19108152389526367,0.13639289140701294,0.1797875016927719,0.27102717757225037,0.14501923322677612,0.2871353030204773,0.33184489607810974,0.4531821310520172,0.10042606294155121
",",0.22659391164779663,0.40610817074775696,0.2766191363334656,0.23403345048427582,0.32507219910621643,0.34193792939186096,0.4933079481124878,0.24771931767463684,0.4946078956127167,0.2795628309249878,0.2704589068889618,0.31091248989105225
san,0.11613621562719345,0.20305834710597992,0.17207099497318268,0.12197073549032211,0.1620924323797226,0.14052174985408783,0.2858080565929413,0.09474281966686249,0.25237205624580383,0.2520903944969177,0.5170050263404846,0.10952327400445938
diego,0.10675806552171707,0.20995798707008362,0.15851709246635437,0.18823572993278503,0.18272122740745544,0.1852456033229828,0.20885010063648224,0.1744171530008316,0.1941702961921692,0.17262554168701172,0.5714370608329773,0.11438121646642685
",",0.22659391164779663,0.40610817074775696,0.2766191363334656,0.23403345048427582,0.32507219910621643,0.34193792939186096,0.4933079481124878,0.24771931767463684,0.4946078956127167,0.2795628309249878,0.2704589068889618,0.31091248989105225
ventura,0.030825506895780563,0.11596064269542694,0.2340206503868103,0.17592154443264008,0.18309399485588074,0.16358119249343872,0.2383604198694229,0.09843751043081284,0.19724847376346588,0.20590990781784058,0.3943842947483063,0.10329297184944153
and,0.33647966384887695,0.5296266674995422,0.21969299018383026,0.3013203740119934,0.34954607486724854,0.4032393991947174,0.5171257257461548,0.1981266289949417,0.5116966962814331,0.24232792854309082,0.2441616654396057,0.20544172823429108
santa,0.1530441790819168,0.1907729059457779,0.16427576541900635,0.10859034210443497,0.12909746170043945,0.16472597420215607,0.23511074483394623,0.11865945160388947,0.2417823076248169,0.300683856010437,0.4592178761959076,0.17321589589118958
barbara,0.11465443670749664,0.17428062856197357,0.18451906740665436,0.11611443012952805,0.17089352011680603,0.1276654452085495,0.17965389788150787,0.12317486107349396,0.17332223057746887,0.2089109569787979,0.41829583048820496,0.15980994701385498
.,0.3287222981452942,0.3974229395389557,0.21356114745140076,0.23941664397716522,0.4032190144062042,0.351434588432312,0.5934505462646484,0.2228187918663025,0.5352458953857422,0.26629969477653503,0.2870451807975769,0.4130953550338745
'',-0.0029843549709767103,-0.016843097284436226,0.02399960346519947,-0.013241134583950043,0.014119047671556473,0.053049519658088684,0.041273195296525955,0.06200544163584709,0.13035868108272552,-0.043483391404151917,0.01669328659772873,0.018684765323996544
