,when,was,the,competence,for,the,union,to,create,criminal,sentences,for,ecological,crimes,contested,?
in,0.4431333839893341,0.45514053106307983,0.6662389636039734,0.16804838180541992,0.4322226941585541,0.6662389636039734,0.22726479172706604,0.45010748505592346,0.21287982165813446,0.26195183396339417,0.2279798984527588,0.4322226941585541,0.2044364959001541,0.2638598382472992,0.32652267813682556,0.20430970191955566
2005,0.001997772604227066,0.11356307566165924,0.037273142486810684,0.036967284977436066,0.04140647128224373,0.037273142486810684,0.03272430598735809,0.018235651776194572,0.029126590117812157,0.01915830746293068,0.11197729408740997,0.04140647128224373,-0.08720919489860535,0.06321890652179718,-0.029902299866080284,0.10709824413061142
at,0.38876327872276306,0.36707764863967896,0.457212895154953,0.1722877472639084,0.34237727522850037,0.457212895154953,0.16550375521183014,0.36524343490600586,0.15985484421253204,0.1316453367471695,0.16662582755088806,0.34237727522850037,0.12683717906475067,0.18786360323429108,0.27128949761390686,0.21978627145290375
the,0.5091903209686279,0.48711544275283813,1.0,0.26006200909614563,0.4739971458911896,1.0,0.24421639740467072,0.535392165184021,0.25265660881996155,0.25219881534576416,0.2084118127822876,0.4739971458911896,0.25170862674713135,0.2557377517223358,0.32211700081825256,0.22068053483963013
court,0.23927445709705353,0.2737988233566284,0.2812081575393677,0.27021920680999756,0.21894486248493195,0.2812081575393677,0.23186643421649933,0.24824365973472595,0.13239622116088867,0.421926349401474,0.28005534410476685,0.21894486248493195,0.07152597606182098,0.38672739267349243,0.29778042435646057,0.17100423574447632
of,0.3757161796092987,0.4069072902202606,0.733189046382904,0.2747616171836853,0.4185989499092102,0.733189046382904,0.2642118036746979,0.41548454761505127,0.23675619065761566,0.22688241302967072,0.2076345682144165,0.4185989499092102,0.3269515335559845,0.25556012988090515,0.2829643785953522,0.1826142966747284
justice,0.15634077787399292,0.24932703375816345,0.23470892012119293,0.36012133955955505,0.22499679028987885,0.23470892012119293,0.17461003363132477,0.19197677075862885,0.1363658905029297,0.40695130825042725,0.27668681740760803,0.22499679028987885,0.18281696736812592,0.3492089807987213,0.18413124978542328,0.19269752502441406
resulting,0.3644998371601105,0.21680636703968048,0.3905409574508667,0.24577803909778595,0.28196775913238525,0.3905409574508667,0.18209756910800934,0.26808956265449524,0.2582464814186096,0.20298296213150024,0.2297070026397705,0.28196775913238525,0.2033887356519699,0.21516025066375732,0.2468172311782837,0.10813049972057343
in,0.4431333839893341,0.45514053106307983,0.6662389636039734,0.16804838180541992,0.4322226941585541,0.6662389636039734,0.22726479172706604,0.45010748505592346,0.21287982165813446,0.26195183396339417,0.2279798984527588,0.4322226941585541,0.2044364959001541,0.2638598382472992,0.32652267813682556,0.20430970191955566
a,0.44397395849227905,0.4508470594882965,0.5829201340675354,0.24737119674682617,0.44038116931915283,0.5829201340675354,0.18140026926994324,0.45503583550453186,0.3041161596775055,0.2885212302207947,0.2867121696472168,0.44038116931915283,0.20769180357456207,0.17391081154346466,0.2396378070116043,0.23916715383529663
victory,0.14491812884807587,0.28069007396698,0.2795662581920624,0.22845792770385742,0.2551555335521698,0.2795662581920624,0.2895318567752838,0.17833203077316284,0.1273236870765686,0.15932662785053253,0.09351444989442825,0.2551555335521698,0.12050461024045944,0.22817404568195343,0.2799451947212219,0.15412560105323792
for,0.43402108550071716,0.3863949179649353,0.4739971458911896,0.32811132073402405,0.9999999403953552,0.4739971458911896,0.20406247675418854,0.4451248347759247,0.2826802134513855,0.2394232451915741,0.27566665410995483,0.9999999403953552,0.19136923551559448,0.25824496150016785,0.3419247269630432,0.264628142118454
the,0.5091903209686279,0.48711544275283813,1.0,0.26006200909614563,0.4739971458911896,1.0,0.24421639740467072,0.535392165184021,0.25265660881996155,0.25219881534576416,0.2084118127822876,0.4739971458911896,0.25170862674713135,0.2557377517223358,0.32211700081825256,0.22068053483963013
commission,0.19186250865459442,0.28741392493247986,0.24418850243091583,0.31142887473106384,0.23846951127052307,0.24418850243091583,0.3547646701335907,0.24674905836582184,0.15313249826431274,0.30316174030303955,0.16635632514953613,0.23846951127052307,0.26134568452835083,0.31976988911628723,0.23820404708385468,0.16231559216976166
.,0.475719153881073,0.40146201848983765,0.5934505462646484,0.19408033788204193,0.4726039469242096,0.5934505462646484,0.23708370327949524,0.4645031690597534,0.2916513681411743,0.2527567744255066,0.21377582848072052,0.4726039469242096,0.24283607304096222,0.2764611542224884,0.24047167599201202,0.4130953550338745
