,what,do,cydippids,use,to,capture,their,prey,?
retractable,0.20051003992557526,0.21125257015228271,0.3503369390964508,0.2754844129085541,0.23255504667758942,0.19857975840568542,0.298537015914917,0.4095476269721985,0.19423192739486694
tentacles,0.17259258031845093,0.2578895092010498,0.5143322944641113,0.2705498933792114,0.23366349935531616,0.2557417154312134,0.37007778882980347,0.5000530481338501,0.15145425498485565
fringed,0.10277488827705383,0.19433711469173431,0.3743914067745209,0.22158774733543396,0.1908787488937378,0.1301502287387848,0.3008929193019867,0.34157687425613403,0.0928630456328392
with,0.2464839518070221,0.23744353652000427,0.22512833774089813,0.3356984257698059,0.4239959120750427,0.16509553790092468,0.4258328378200531,0.1490461528301239,0.2433311939239502
tentilla,0.27320170402526855,0.2045598179101944,0.3443603813648224,0.18670718371868134,0.28106531500816345,0.225617453455925,0.24301761388778687,0.20690420269966125,0.18873277306556702
(,0.2411840260028839,0.24216170608997345,0.1995982825756073,0.2174896001815796,0.30882009863853455,0.14863024652004242,0.15721023082733154,0.0782286748290062,0.40561532974243164
``,0.008517155423760414,0.06628920882940292,0.08323326706886292,0.098173126578331,0.06720756739377975,0.018691690638661385,0.05465886741876602,0.12713317573070526,0.0685480609536171
little,0.2614184617996216,0.24720549583435059,0.2586369216442108,0.21061167120933533,0.2547711431980133,0.07023055851459503,0.17542795836925507,0.15731336176395416,0.20336517691612244
tentacles,0.17259258031845093,0.2578895092010498,0.5143322944641113,0.2705498933792114,0.23366349935531616,0.2557417154312134,0.37007778882980347,0.5000530481338501,0.15145425498485565
'',0.08143015950918198,-0.00043653504690155387,0.05536840483546257,0.09741680324077606,-0.009905828163027763,-0.00700038019567728,0.011550518684089184,-0.07479113340377808,0.018684765323996544
),0.26259949803352356,0.24460165202617645,0.19199809432029724,0.23662498593330383,0.31236231327056885,0.15962685644626617,0.1549641638994217,0.06634737551212311,0.42300865054130554
that,0.6297725439071655,0.44533252716064453,0.31674885749816895,0.3939064145088196,0.5436353087425232,0.22003284096717834,0.4266771972179413,0.2647857367992401,0.32716336846351624
are,0.29724663496017456,0.41111594438552856,0.35411837697029114,0.4174068570137024,0.3504326641559601,0.17015503346920013,0.46887820959091187,0.28169316053390503,0.24591213464736938
covered,0.24682468175888062,0.1893884837627411,0.25008702278137207,0.2083359658718109,0.243978813290596,0.11790245026350021,0.2698705792427063,0.18167804181575775,0.139833465218544
with,0.2464839518070221,0.23744353652000427,0.22512833774089813,0.3356984257698059,0.4239959120750427,0.16509553790092468,0.4258328378200531,0.1490461528301239,0.2433311939239502
colloblasts,0.25280773639678955,0.31813913583755493,0.3708847463130951,0.2648617923259735,0.2248389720916748,0.16028906404972076,0.27331554889678955,0.26033806800842285,0.20071622729301453
",",0.3087472915649414,0.3283645510673523,0.2807892858982086,0.3276674151420593,0.44245919585227966,0.23900990188121796,0.3045167922973633,0.17115898430347443,0.31091248989105225
sticky,0.22879846394062042,0.24553735554218292,0.38245129585266113,0.310809463262558,0.2930982708930969,0.1893421858549118,0.26159003376960754,0.37617218494415283,0.17398136854171753
cells,0.1758001297712326,0.2676107585430145,0.38721928000450134,0.22631673514842987,0.26320719718933105,0.19391262531280518,0.2534589171409607,0.2766021192073822,0.1898086667060852
that,0.6297725439071655,0.44533252716064453,0.31674885749816895,0.3939064145088196,0.5436353087425232,0.22003284096717834,0.4266771972179413,0.2647857367992401,0.32716336846351624
capture,0.20491331815719604,0.14949841797351837,0.18848766386508942,0.23486466705799103,0.30964332818984985,0.9999999403953552,0.22250692546367645,0.321243017911911,0.12945853173732758
prey,0.21349354088306427,0.1948252022266388,0.45655572414398193,0.28662407398223877,0.22945891320705414,0.321243017911911,0.400272935628891,1.0,0.15793472528457642
.,0.3567904531955719,0.3613996207714081,0.2866429090499878,0.3711656630039215,0.4645031690597534,0.2623634934425354,0.34427863359451294,0.16321569681167603,0.4130953550338745
