,what,action,by,luther,added,to,antisemitism,in,germany,?
ideal,0.31059911847114563,0.17087115347385406,0.1778499335050583,0.08910182863473892,0.1904420703649521,0.29955336451530457,0.1850782334804535,0.23391234874725342,0.1451665610074997,0.13358637690544128
underpinning,0.31879279017448425,0.21387669444084167,0.1950603425502777,0.19481678307056427,0.24757489562034607,0.31164342164993286,0.2829399108886719,0.23006002604961395,0.18098974227905273,0.32162192463874817
'',0.08143015950918198,-0.04252290353178978,-0.010275691747665405,-0.04572787508368492,0.10471402108669281,-0.009905828163027763,-0.030781280249357224,0.07432962208986282,-0.04644833132624626,0.018684765323996544
for,0.3017193675041199,0.23083873093128204,0.3248702883720398,0.12958186864852905,0.28443121910095215,0.4451248347759247,0.23575465381145477,0.4322226941585541,0.2319389283657074,0.264628142118454
the,0.42745697498321533,0.28415048122406006,0.4408751428127289,0.1759674996137619,0.3207796514034271,0.535392165184021,0.20361100137233734,0.6662389636039734,0.3181285262107849,0.22068053483963013
nazis,0.1963791400194168,0.22593218088150024,0.26154106855392456,0.3099939823150635,0.15458521246910095,0.28244999051094055,0.5268698334693909,0.25396132469177246,0.5071678161621094,0.1800263673067093
',0.3245812654495239,0.233370840549469,0.2610379159450531,0.142246812582016,0.23515120148658752,0.34544456005096436,0.14626935124397278,0.4158826768398285,0.19376340508460999,0.330942302942276
attacks,0.19946885108947754,0.24527457356452942,0.23744475841522217,0.12795864045619965,0.09396436810493469,0.20225100219249725,0.2797641456127167,0.223388671875,0.14420560002326965,0.14532065391540527
on,0.34226128458976746,0.2646212875843048,0.33887791633605957,0.19090485572814941,0.30949866771698,0.41031414270401,0.14219307899475098,0.46853652596473694,0.23571176826953888,0.2714994251728058
jews,0.22131574153900146,0.1439114212989807,0.17624309659004211,0.24326977133750916,0.13988739252090454,0.22399327158927917,0.46833470463752747,0.2334136962890625,0.317192018032074,0.16730794310569763
.,0.3567904531955719,0.2625104486942291,0.3936232924461365,0.24907569587230682,0.30304840207099915,0.4645031690597534,0.23070161044597626,0.5591574311256409,0.28498756885528564,0.4130953550338745
