,what,was,the,base,rate,for,a,30-second,ad,during,super,bowl,50,?
$,0.24858909845352173,0.23838669061660767,0.23367542028427124,0.1044238954782486,0.237349271774292,0.22711659967899323,0.22939236462116241,0.23273542523384094,0.16893021762371063,0.18413951992988586,0.14851532876491547,0.24415016174316406,-0.044484999030828476,0.2786129117012024
"5,000,000",0.05810077488422394,0.09670650959014893,0.2069973647594452,0.0837707668542862,0.169465109705925,0.14163659512996674,0.1624617874622345,0.20996436476707458,0.0006928697694092989,0.25718626379966736,0.06530839204788208,0.13829657435417175,0.03913196548819542,0.05217192322015762
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.24008820950984955,0.18156792223453522,0.4464869201183319,0.427140474319458,0.23338249325752258,0.21154692769050598,0.3225448727607727,0.22322475910186768,0.1810409277677536,-0.025195008143782616,0.31091248989105225
a,0.3320399522781372,0.4508470594882965,0.5829201340675354,0.27513372898101807,0.24373900890350342,0.44038116931915283,1.0,0.3324473798274994,0.1853104531764984,0.30341604351997375,0.26005712151527405,0.19533146917819977,0.034183140844106674,0.23916715383529663
record,0.1772487461566925,0.2787264287471771,0.23569516837596893,0.18704000115394592,0.2390102595090866,0.24185582995414734,0.2588478624820709,0.264798104763031,0.06500120460987091,0.2749153673648834,0.2505435347557068,0.24389338493347168,0.06952042132616043,0.14407116174697876
high,0.20466077327728271,0.19978567957878113,0.28034812211990356,0.1615411639213562,0.2929585874080658,0.1925620585680008,0.22865821421146393,0.18492938578128815,0.09934639930725098,0.16778922080993652,0.21968311071395874,0.18100906908512115,-0.11227928847074509,0.11137914657592773
price,0.18606361746788025,0.2517668902873993,0.22636492550373077,0.17623020708560944,0.2941943109035492,0.2516993284225464,0.18269109725952148,0.20203997194766998,0.04728959873318672,0.11477147042751312,0.10587269812822342,0.21071754395961761,-0.08494044095277786,0.14631175994873047
for,0.3017193675041199,0.3863949179649353,0.4739971458911896,0.15657725930213928,0.2299952208995819,0.9999999403953552,0.44038116931915283,0.20732535421848297,0.09682639688253403,0.3448435664176941,0.22938419878482819,0.24430087208747864,0.029183456674218178,0.264628142118454
a,0.3320399522781372,0.4508470594882965,0.5829201340675354,0.27513372898101807,0.24373900890350342,0.44038116931915283,1.0,0.3324473798274994,0.1853104531764984,0.30341604351997375,0.26005712151527405,0.19533146917819977,0.034183140844106674,0.23916715383529663
super,0.13651713728904724,0.21420986950397491,0.21959073841571808,0.10701395571231842,0.08693669736385345,0.22938419878482819,0.26005712151527405,0.2004479467868805,0.06299305707216263,0.16951335966587067,1.0000001192092896,0.4848237931728363,0.0833745002746582,0.166326642036438
bowl,0.15942467749118805,0.21915455162525177,0.21576224267482758,0.14966657757759094,0.09125302731990814,0.24430087208747864,0.19533146917819977,0.19167320430278778,0.1156758964061737,0.22041946649551392,0.4848237931728363,1.0,0.005446359980851412,0.21118052303791046
ad,0.27659884095191956,0.22054366767406464,0.24233382940292358,0.11268787086009979,0.09713046997785568,0.09682639688253403,0.1853104531764984,0.1701144427061081,1.0,0.13994094729423523,0.06299305707216263,0.1156758964061737,0.03135479614138603,0.20824462175369263
.,0.3567904531955719,0.40146201848983765,0.5934505462646484,0.26800644397735596,0.2418757975101471,0.4726039469242096,0.50484299659729,0.29495006799697876,0.2654629051685333,0.3485563397407532,0.2757420241832733,0.21516893804073334,0.04325474053621292,0.4130953550338745
