,who,did,the,broncos,defeat,in,the,afc,championship,game,?
afc,0.13655321300029755,0.10836294293403625,0.25863510370254517,0.4436691403388977,0.23822657763957977,0.20746317505836487,0.25863510370254517,1.0,0.41897451877593994,0.2785787284374237,0.2026895433664322
championship,0.15638136863708496,0.18663130700588226,0.2540402412414551,0.38168099522590637,0.3117547929286957,0.20047812163829803,0.2540402412414551,0.41897451877593994,1.0000001192092896,0.24432945251464844,0.1390383541584015
game,0.2523840069770813,0.19789010286331177,0.285271555185318,0.32325026392936707,0.2446512132883072,0.23986028134822845,0.285271555185318,0.2785787284374237,0.24432945251464844,0.9999998807907104,0.1829071193933487
",",0.3365725874900818,0.3015086054801941,0.4933079481124878,0.2558487057685852,0.2394917905330658,0.5201468467712402,0.4933079481124878,0.30482783913612366,0.256124883890152,0.2653886377811432,0.31091248989105225
20–18,0.20716576278209686,0.3043725788593292,0.07738925516605377,-0.010921397246420383,0.0833241194486618,0.1783762127161026,0.07738925516605377,-0.008962220512330532,0.05231450870633125,0.03933378681540489,0.10603919625282288
",",0.3365725874900818,0.3015086054801941,0.4933079481124878,0.2558487057685852,0.2394917905330658,0.5201468467712402,0.4933079481124878,0.30482783913612366,0.256124883890152,0.2653886377811432,0.31091248989105225
by,0.39727845788002014,0.18574509024620056,0.4408751428127289,0.11333504319190979,0.22488872706890106,0.370934396982193,0.4408751428127289,0.0871235653758049,0.18574652075767517,0.21372540295124054,0.17966607213020325
intercepting,0.18401621282100677,0.22163081169128418,0.23398640751838684,0.4570372998714447,0.27203845977783203,0.1838684231042862,0.23398640751838684,0.33752667903900146,0.35089585185050964,0.2920619547367096,0.1177937239408493
a,0.36608949303627014,0.2552328109741211,0.5829201340675354,0.19771797955036163,0.14495371282100677,0.539380669593811,0.5829201340675354,0.13271647691726685,0.18214380741119385,0.23211604356765747,0.23916715383529663
pass,0.12504667043685913,0.1339150071144104,0.25961899757385254,0.21609735488891602,0.14358709752559662,0.18748411536216736,0.25961899757385254,0.21053078770637512,0.14239217340946198,0.16048191487789154,0.09478675574064255
on,0.2340552806854248,0.2670976221561432,0.5107308030128479,0.17311601340770721,0.12841656804084778,0.46853652596473694,0.5107308030128479,0.17265000939369202,0.16095735132694244,0.22967135906219482,0.2714994251728058
new,0.2378052920103073,0.227974995970726,0.3845241069793701,0.2461613565683365,0.18506266176700592,0.3758552670478821,0.3845241069793701,0.21401186287403107,0.16864041984081268,0.20104768872261047,0.14782847464084625
england,0.23733465373516083,0.22023706138134003,0.28280043601989746,0.24413880705833435,0.18534010648727417,0.33311840891838074,0.28280043601989746,0.28026673197746277,0.19480040669441223,0.23439037799835205,0.13436897099018097
's,0.05599616840481758,0.05069678649306297,-0.01540423184633255,-0.037254199385643005,-0.0009251622832380235,-0.037580832839012146,-0.01540423184633255,-0.07818128913640976,0.005009881220757961,0.07448072731494904,-0.023395681753754616
2-point,0.19019058346748352,0.2404889464378357,0.2521202266216278,0.13956120610237122,0.08006079494953156,0.22760647535324097,0.2521202266216278,0.18501506745815277,0.13201618194580078,0.1634867787361145,0.3058913052082062
conversion,0.1042092815041542,0.14528439939022064,0.2308437079191208,0.12009718269109726,0.1588851660490036,0.19224700331687927,0.2308437079191208,0.1120326817035675,0.16072490811347961,0.16785351932048798,0.1924358606338501
attempt,0.2894035577774048,0.3181029260158539,0.2614527940750122,0.1423623412847519,0.3062107563018799,0.1812446564435959,0.2614527940750122,0.10011870414018631,0.18116438388824463,0.19536855816841125,0.16559520363807678
with,0.3282766342163086,0.25472134351730347,0.4223487675189972,0.2245701551437378,0.17363154888153076,0.4080928862094879,0.4223487675189972,0.1709529012441635,0.21191054582595825,0.19394829869270325,0.2433311939239502
17,0.05025482177734375,0.07127774506807327,0.10537172853946686,0.12987062335014343,0.08072606474161148,0.10391845554113388,0.10537172853946686,0.18683677911758423,0.198648601770401,0.06002664938569069,0.17603135108947754
seconds,0.16846957802772522,0.1697860062122345,0.1997634470462799,0.23470988869667053,0.13595008850097656,0.15088556706905365,0.1997634470462799,0.2205982357263565,0.2885448932647705,0.275033175945282,0.20335537195205688
left,0.24052289128303528,0.27335280179977417,0.33113980293273926,0.19754524528980255,0.10264099389314651,0.21139952540397644,0.33113980293273926,0.07834911346435547,0.12941879034042358,0.12498873472213745,0.13251960277557373
on,0.2340552806854248,0.2670976221561432,0.5107308030128479,0.17311601340770721,0.12841656804084778,0.46853652596473694,0.5107308030128479,0.17265000939369202,0.16095735132694244,0.22967135906219482,0.2714994251728058
the,0.3733934462070465,0.34736719727516174,1.0,0.25985947251319885,0.3182816207408905,0.6662389636039734,1.0,0.25863510370254517,0.2540402412414551,0.285271555185318,0.22068053483963013
clock,0.18138906359672546,0.14065445959568024,0.25408005714416504,0.11447907984256744,0.08689913153648376,0.1651686578989029,0.25408005714416504,0.0518224835395813,0.1545504629611969,0.20158430933952332,0.15814508497714996
.,0.3541337847709656,0.35288307070732117,0.5934505462646484,0.2612393796443939,0.17890939116477966,0.5591574311256409,0.5934505462646484,0.28921979665756226,0.23509643971920013,0.2581658959388733,0.4130953550338745
