,what,was,the,trend,of,female,student,population,from,1970s,and,deyond,?
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.2384498566389084,0.4946078956127167,0.1907428652048111,0.2261858433485031,0.2967977225780487,0.39760664105415344,0.06473266333341599,0.6633074283599854,0.3252716064453125,0.31091248989105225
the,0.42745697498321533,0.48711544275283813,1.0,0.23692767322063446,0.733189046382904,0.2673940658569336,0.21259291470050812,0.32044094800949097,0.40150508284568787,0.004102230537682772,0.5171257257461548,0.37299519777297974,0.22068053483963013
proportion,0.21334725618362427,0.18948890268802643,0.2945463955402374,0.2501334547996521,0.326309472322464,0.17499126493930817,0.1996585726737976,0.38620585203170776,0.24255573749542236,0.10098527371883392,0.2984730005264282,0.20081736147403717,0.16980072855949402
of,0.33290785551071167,0.4069072902202606,0.733189046382904,0.17461234331130981,1.0,0.26416701078414917,0.20310284197330475,0.3060894012451172,0.4249346852302551,0.060115184634923935,0.5116966962814331,0.33149412274360657,0.1826142966747284
female,0.14235767722129822,0.17758683860301971,0.2673940658569336,0.1042032316327095,0.26416701078414917,0.9999999403953552,0.15968938171863556,0.24390637874603271,0.22976960241794586,0.022630590945482254,0.2491157501935959,0.04896875470876694,0.17839525640010834
undergraduates,0.1987558901309967,0.211946502327919,0.23465903103351593,0.14551664888858795,0.2865331470966339,0.2718006372451782,0.5616235136985779,0.3153906464576721,0.19612114131450653,0.013094879686832428,0.28725674748420715,0.16743403673171997,0.14489197731018066
steadily,0.23011714220046997,0.22365671396255493,0.2768915593624115,0.43119868636131287,0.1938427835702896,0.11939086019992828,0.16931307315826416,0.3172256350517273,0.2574148178100586,0.007598518393933773,0.34257739782333374,0.295931339263916,0.14833466708660126
increased,0.1599731743335724,0.23245969414710999,0.3188653886318207,0.34664350748062134,0.3371390700340271,0.162067249417305,0.15565349161624908,0.32802391052246094,0.2075282633304596,0.0880805104970932,0.2943111062049866,0.24788717925548553,0.09587585180997849
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.2384498566389084,0.4946078956127167,0.1907428652048111,0.2261858433485031,0.2967977225780487,0.39760664105415344,0.06473266333341599,0.6633074283599854,0.3252716064453125,0.31091248989105225
mirroring,0.36280331015586853,0.1906604915857315,0.33239713311195374,0.26762354373931885,0.29568368196487427,0.1288851648569107,0.23540888726711273,0.13687801361083984,0.24029409885406494,0.0029914071783423424,0.24062056839466095,0.2276144176721573,0.2260284125804901
a,0.3320399522781372,0.4508470594882965,0.5829201340675354,0.2678647041320801,0.5052502155303955,0.22815600037574768,0.3207114636898041,0.2345738559961319,0.322764128446579,-0.008740115910768509,0.3739250600337982,0.2521522343158722,0.23916715383529663
trend,0.22732172906398773,0.19481132924556732,0.23692767322063446,1.0,0.17461234331130981,0.1042032316327095,0.12340184301137924,0.20783086121082306,0.1708960384130478,-0.0625883936882019,0.24407464265823364,0.14526645839214325,0.10325077921152115
throughout,0.2130906730890274,0.2373686283826828,0.4158564507961273,0.24209001660346985,0.35374847054481506,0.12706239521503448,0.15606403350830078,0.15331272780895233,0.28920361399650574,0.045366231352090836,0.36296960711479187,0.34111523628234863,0.12665234506130219
higher,0.2538340389728546,0.12998951971530914,0.3292480409145355,0.23733726143836975,0.3096220791339874,0.22411887347698212,0.20743219554424286,0.20626245439052582,0.2177213728427887,0.04944315925240517,0.3147866129875183,0.2817297875881195,0.15679465234279633
education,0.19940856099128723,0.23187610507011414,0.23982903361320496,0.17060507833957672,0.3015166223049164,0.1448708027601242,0.46045735478401184,0.28100940585136414,0.19191351532936096,2.0649014913942665e-05,0.308173805475235,0.22079788148403168,0.18067774176597595
in,0.30808621644973755,0.45514053106307983,0.6662389636039734,0.19545964896678925,0.5696388483047485,0.1986217200756073,0.254856139421463,0.3268454372882843,0.4274188280105591,0.057396724820137024,0.4954058527946472,0.3380270302295685,0.20430970191955566
the,0.42745697498321533,0.48711544275283813,1.0,0.23692767322063446,0.733189046382904,0.2673940658569336,0.21259291470050812,0.32044094800949097,0.40150508284568787,0.004102230537682772,0.5171257257461548,0.37299519777297974,0.22068053483963013
united,0.20036718249320984,0.31727492809295654,0.34367692470550537,0.11979962140321732,0.3187655806541443,0.16970579326152802,0.17992909252643585,0.28376269340515137,0.27339106798171997,0.027941295877099037,0.28213179111480713,0.17306676506996155,0.17266890406608582
states,0.21526020765304565,0.2847922146320343,0.3463578522205353,0.13302850723266602,0.30884552001953125,0.1475892961025238,0.16983374953269958,0.3036004900932312,0.24283263087272644,0.04262316972017288,0.2974761426448822,0.22081945836544037,0.16272737085819244
.,0.3567904531955719,0.40146201848983765,0.5934505462646484,0.23819147050380707,0.5352458953857422,0.28143510222435,0.20994822680950165,0.26950228214263916,0.41536515951156616,0.06712812185287476,0.588965117931366,0.2738490402698517,0.4130953550338745
