,what,will,the,output,be,for,a,member,of,the,language,of,a,decision,problem,?
answer,0.44430363178253174,0.35738420486450195,0.24840699136257172,0.2856975793838501,0.342246413230896,0.26086002588272095,0.2724393308162689,0.12902966141700745,0.17047110199928284,0.24840699136257172,0.22595995664596558,0.17047110199928284,0.2724393308162689,0.41143798828125,0.4718674123287201,0.367276668548584
is,0.28837618231773376,0.3723262846469879,0.5823672413825989,0.2423316091299057,0.4819129705429077,0.43268078565597534,0.658733606338501,0.2522773742675781,0.4854315221309662,0.5823672413825989,0.270936518907547,0.4854315221309662,0.658733606338501,0.2514069080352783,0.23238427937030792,0.22961433231830597
either,0.3851809501647949,0.39824509620666504,0.3795609474182129,0.2551134526729584,0.513343870639801,0.3058042526245117,0.40784984827041626,0.09616433829069138,0.24225673079490662,0.3795609474182129,0.1721922904253006,0.24225673079490662,0.40784984827041626,0.2222341150045395,0.33144208788871765,0.31498292088508606
yes,0.35806095600128174,0.32066085934638977,0.17053739726543427,0.2520117461681366,0.23966220021247864,0.20450380444526672,0.21635428071022034,0.1268884241580963,0.09911797195672989,0.17053739726543427,0.19625845551490784,0.09911797195672989,0.21635428071022034,0.221101313829422,0.31176358461380005,0.3918913006782532
or,0.33867141604423523,0.41331517696380615,0.4174870550632477,0.2887789011001587,0.5260903835296631,0.4111599624156952,0.48853766918182373,0.14377020299434662,0.3792596757411957,0.4174870550632477,0.2587864398956299,0.3792596757411957,0.48853766918182373,0.2005528211593628,0.29821720719337463,0.32389625906944275
no,0.339326947927475,0.2797577977180481,0.3461136817932129,0.19820328056812286,0.4173688292503357,0.306581974029541,0.26280897855758667,0.09536696970462799,0.24809792637825012,0.3461136817932129,0.15846380591392517,0.24809792637825012,0.26280897855758667,0.22718845307826996,0.34181922674179077,0.32165053486824036
",",0.3087472915649414,0.29706671833992004,0.4933079481124878,0.20966894924640656,0.39254459738731384,0.4464869201183319,0.427140474319458,0.25757819414138794,0.4946078956127167,0.4933079481124878,0.2694627344608307,0.4946078956127167,0.427140474319458,0.2818170189857483,0.23938199877738953,0.31091248989105225
or,0.33867141604423523,0.41331517696380615,0.4174870550632477,0.2887789011001587,0.5260903835296631,0.4111599624156952,0.48853766918182373,0.14377020299434662,0.3792596757411957,0.4174870550632477,0.2587864398956299,0.3792596757411957,0.48853766918182373,0.2005528211593628,0.29821720719337463,0.32389625906944275
alternately,0.24474456906318665,0.3283466696739197,0.34736740589141846,0.2628379464149475,0.4093119204044342,0.29731807112693787,0.3047820031642914,0.1241610199213028,0.21162790060043335,0.34736740589141846,0.11370085179805756,0.21162790060043335,0.3047820031642914,0.15524129569530487,0.2405698299407959,0.21730750799179077
either,0.3851809501647949,0.39824509620666504,0.3795609474182129,0.2551134526729584,0.513343870639801,0.3058042526245117,0.40784984827041626,0.09616433829069138,0.24225673079490662,0.3795609474182129,0.1721922904253006,0.24225673079490662,0.40784984827041626,0.2222341150045395,0.33144208788871765,0.31498292088508606
1,-0.21266892552375793,-0.28675907850265503,-0.1554475575685501,-0.23261694610118866,-0.2923636734485626,-0.31088897585868835,-0.20817746222019196,-0.16539853811264038,-0.09473495930433273,-0.1554475575685501,-0.22961318492889404,-0.09473495930433273,-0.20817746222019196,-0.2761085331439972,-0.24148565530776978,-0.249979168176651
or,0.33867141604423523,0.41331517696380615,0.4174870550632477,0.2887789011001587,0.5260903835296631,0.4111599624156952,0.48853766918182373,0.14377020299434662,0.3792596757411957,0.4174870550632477,0.2587864398956299,0.3792596757411957,0.48853766918182373,0.2005528211593628,0.29821720719337463,0.32389625906944275
0,0.05378047749400139,0.06897127628326416,0.06647186726331711,-0.01106290053576231,0.059845130890607834,0.0355537012219429,-0.01516808569431305,0.0676875188946724,0.0813891589641571,0.06647186726331711,0.03234860301017761,0.0813891589641571,-0.01516808569431305,0.06756352633237839,0.00032281820313073695,0.0436553880572319
.,0.3567904531955719,0.33682769536972046,0.5934505462646484,0.22474192082881927,0.4383580684661865,0.4726039469242096,0.50484299659729,0.19907453656196594,0.5352458953857422,0.5934505462646484,0.2506868243217468,0.5352458953857422,0.50484299659729,0.3103445768356323,0.22562150657176971,0.4130953550338745
,what,will,the,output,be,for,a,member,of,the,language,of,a,decision,problem,?
a,0.3320399522781372,0.3401327431201935,0.5829201340675354,0.17850732803344727,0.39883795380592346,0.44038116931915283,1.0,0.24081070721149445,0.5052502155303955,0.5829201340675354,0.21064592897891998,0.5052502155303955,1.0,0.24091263115406036,0.2605542540550232,0.23916715383529663
decision,0.32053670287132263,0.28960487246513367,0.2905151844024658,0.2298634648323059,0.3003653585910797,0.2598762512207031,0.24091263115406036,0.23328658938407898,0.2331373691558838,0.2905151844024658,0.19254478812217712,0.2331373691558838,0.24091263115406036,1.0,0.31341657042503357,0.2796577215194702
problem,0.42183366417884827,0.31655582785606384,0.24928659200668335,0.24181972444057465,0.347878634929657,0.2661307752132416,0.2605542540550232,0.1061636358499527,0.20464475452899933,0.24928659200668335,0.2543520927429199,0.20464475452899933,0.2605542540550232,0.31341657042503357,1.0,0.3762950301170349
can,0.34502777457237244,0.6371527910232544,0.312528520822525,0.3130752742290497,0.5791122913360596,0.35690054297447205,0.3915780484676361,0.09298814088106155,0.2603091299533844,0.312528520822525,0.18375475704669952,0.2603091299533844,0.3915780484676361,0.256021648645401,0.36370179057121277,0.3226337134838104
be,0.3929833769798279,0.4925616979598999,0.4248143136501312,0.3304102122783661,1.0,0.3801851272583008,0.39883795380592346,0.15509481728076935,0.33904364705085754,0.4248143136501312,0.2154676616191864,0.33904364705085754,0.39883795380592346,0.3003653585910797,0.347878634929657,0.3324260413646698
viewed,0.2938295900821686,0.222256600856781,0.34172287583351135,0.24185259640216827,0.31284257769584656,0.17434611916542053,0.22637882828712463,0.1555808037519455,0.27454227209091187,0.34172287583351135,0.2274678498506546,0.27454227209091187,0.22637882828712463,0.20944786071777344,0.14222609996795654,0.19983090460300446
as,0.31749409437179565,0.3047071695327759,0.48381632566452026,0.20003122091293335,0.5230465531349182,0.44774648547172546,0.39550232887268066,0.2264706939458847,0.3886612355709076,0.48381632566452026,0.2037375271320343,0.3886612355709076,0.39550232887268066,0.21492452919483185,0.2586832344532013,0.27043893933296204
a,0.3320399522781372,0.3401327431201935,0.5829201340675354,0.17850732803344727,0.39883795380592346,0.44038116931915283,1.0,0.24081070721149445,0.5052502155303955,0.5829201340675354,0.21064592897891998,0.5052502155303955,1.0,0.24091263115406036,0.2605542540550232,0.23916715383529663
formal,0.26485171914100647,0.16980376839637756,0.245810866355896,0.1545957773923874,0.2562829256057739,0.3605612814426422,0.29366669058799744,0.1732582300901413,0.2704104781150818,0.245810866355896,0.26821184158325195,0.2704104781150818,0.29366669058799744,0.32446980476379395,0.23945152759552002,0.1989586055278778
language,0.28220435976982117,0.1446886658668518,0.30198320746421814,0.2307090163230896,0.2154676616191864,0.23522019386291504,0.21064592897891998,0.14422479271888733,0.25272229313850403,0.30198320746421814,0.9999998807907104,0.25272229313850403,0.21064592897891998,0.19254478812217712,0.2543520927429199,0.25349316000938416
",",0.3087472915649414,0.29706671833992004,0.4933079481124878,0.20966894924640656,0.39254459738731384,0.4464869201183319,0.427140474319458,0.25757819414138794,0.4946078956127167,0.4933079481124878,0.2694627344608307,0.4946078956127167,0.427140474319458,0.2818170189857483,0.23938199877738953,0.31091248989105225
where,0.4457937180995941,0.3374059498310089,0.5003893971443176,0.22760836780071259,0.3651217818260193,0.38599511981010437,0.40997210144996643,0.1601654589176178,0.38066378235816956,0.5003893971443176,0.17960332334041595,0.38066378235816956,0.40997210144996643,0.19157181680202484,0.291713684797287,0.24793872237205505
the,0.42745697498321533,0.3635469079017639,1.0,0.22049929201602936,0.4248143136501312,0.4739971458911896,0.5829201340675354,0.2806392312049866,0.733189046382904,1.0,0.30198320746421814,0.733189046382904,0.5829201340675354,0.2905151844024658,0.24928659200668335,0.22068053483963013
members,0.16873176395893097,0.1977192610502243,0.3321719169616699,0.09412948787212372,0.20344331860542297,0.2612179219722748,0.1873859316110611,0.7046385407447815,0.28120753169059753,0.3321719169616699,0.1449298858642578,0.28120753169059753,0.1873859316110611,0.2454170286655426,0.10416784882545471,0.10212311148643494
of,0.33290785551071167,0.2473582625389099,0.733189046382904,0.15243679285049438,0.33904364705085754,0.4185989499092102,0.5052502155303955,0.2701796889305115,1.0,0.733189046382904,0.25272229313850403,1.0,0.5052502155303955,0.2331373691558838,0.20464475452899933,0.1826142966747284
the,0.42745697498321533,0.3635469079017639,1.0,0.22049929201602936,0.4248143136501312,0.4739971458911896,0.5829201340675354,0.2806392312049866,0.733189046382904,1.0,0.30198320746421814,0.733189046382904,0.5829201340675354,0.2905151844024658,0.24928659200668335,0.22068053483963013
language,0.28220435976982117,0.1446886658668518,0.30198320746421814,0.2307090163230896,0.2154676616191864,0.23522019386291504,0.21064592897891998,0.14422479271888733,0.25272229313850403,0.30198320746421814,0.9999998807907104,0.25272229313850403,0.21064592897891998,0.19254478812217712,0.2543520927429199,0.25349316000938416
are,0.29724663496017456,0.39387544989585876,0.40399202704429626,0.24573048949241638,0.5556803941726685,0.3895993232727051,0.265255331993103,0.16299262642860413,0.39081433415412903,0.40399202704429626,0.26836323738098145,0.39081433415412903,0.265255331993103,0.1736466884613037,0.2619974911212921,0.24591213464736938
instances,0.37020906805992126,0.3644683063030243,0.33414426445961,0.32361456751823425,0.451374888420105,0.38144540786743164,0.3550227880477905,0.07670459151268005,0.305372416973114,0.33414426445961,0.16921959817409515,0.305372416973114,0.3550227880477905,0.2981245219707489,0.3573509752750397,0.3098512887954712
whose,0.22831642627716064,0.22814451158046722,0.38253846764564514,0.10242018848657608,0.26299139857292175,0.22978365421295166,0.3225097060203552,0.22956198453903198,0.37058958411216736,0.38253846764564514,0.1519080549478531,0.37058958411216736,0.3225097060203552,0.11470504105091095,0.1399022936820984,0.16990536451339722
output,0.25545787811279297,0.3752593398094177,0.22049929201602936,0.9999999403953552,0.3304102122783661,0.23403237760066986,0.17850732803344727,0.07888998836278915,0.15243679285049438,0.22049929201602936,0.2307090163230896,0.15243679285049438,0.17850732803344727,0.2298634648323059,0.24181972444057465,0.16760045289993286
is,0.28837618231773376,0.3723262846469879,0.5823672413825989,0.2423316091299057,0.4819129705429077,0.43268078565597534,0.658733606338501,0.2522773742675781,0.4854315221309662,0.5823672413825989,0.270936518907547,0.4854315221309662,0.658733606338501,0.2514069080352783,0.23238427937030792,0.22961433231830597
yes,0.35806095600128174,0.32066085934638977,0.17053739726543427,0.2520117461681366,0.23966220021247864,0.20450380444526672,0.21635428071022034,0.1268884241580963,0.09911797195672989,0.17053739726543427,0.19625845551490784,0.09911797195672989,0.21635428071022034,0.221101313829422,0.31176358461380005,0.3918913006782532
",",0.3087472915649414,0.29706671833992004,0.4933079481124878,0.20966894924640656,0.39254459738731384,0.4464869201183319,0.427140474319458,0.25757819414138794,0.4946078956127167,0.4933079481124878,0.2694627344608307,0.4946078956127167,0.427140474319458,0.2818170189857483,0.23938199877738953,0.31091248989105225
and,0.31309178471565247,0.35983073711395264,0.5171257257461548,0.2404075562953949,0.41766801476478577,0.5064792633056641,0.3739250600337982,0.28606608510017395,0.5116966962814331,0.5171257257461548,0.24699117243289948,0.5116966962814331,0.3739250600337982,0.20328959822654724,0.24328261613845825,0.20544172823429108
the,0.42745697498321533,0.3635469079017639,1.0,0.22049929201602936,0.4248143136501312,0.4739971458911896,0.5829201340675354,0.2806392312049866,0.733189046382904,1.0,0.30198320746421814,0.733189046382904,0.5829201340675354,0.2905151844024658,0.24928659200668335,0.22068053483963013
non-members,0.27560991048812866,0.2649311125278473,0.30064693093299866,0.1720549464225769,0.2656213343143463,0.2874227464199066,0.2280493527650833,0.5364124178886414,0.2605647146701813,0.30064693093299866,0.18345344066619873,0.2605647146701813,0.2280493527650833,0.2690635323524475,0.19106943905353546,0.21481387317180634
are,0.29724663496017456,0.39387544989585876,0.40399202704429626,0.24573048949241638,0.5556803941726685,0.3895993232727051,0.265255331993103,0.16299262642860413,0.39081433415412903,0.40399202704429626,0.26836323738098145,0.39081433415412903,0.265255331993103,0.1736466884613037,0.2619974911212921,0.24591213464736938
those,0.44466671347618103,0.36064663529396057,0.42861196398735046,0.1999940276145935,0.4287525415420532,0.3446582555770874,0.24251152575016022,0.12225697934627533,0.37935635447502136,0.42861196398735046,0.2895885407924652,0.37935635447502136,0.24251152575016022,0.21524262428283691,0.300702840089798,0.3328189253807068
instances,0.37020906805992126,0.3644683063030243,0.33414426445961,0.32361456751823425,0.451374888420105,0.38144540786743164,0.3550227880477905,0.07670459151268005,0.305372416973114,0.33414426445961,0.16921959817409515,0.305372416973114,0.3550227880477905,0.2981245219707489,0.3573509752750397,0.3098512887954712
whose,0.22831642627716064,0.22814451158046722,0.38253846764564514,0.10242018848657608,0.26299139857292175,0.22978365421295166,0.3225097060203552,0.22956198453903198,0.37058958411216736,0.38253846764564514,0.1519080549478531,0.37058958411216736,0.3225097060203552,0.11470504105091095,0.1399022936820984,0.16990536451339722
output,0.25545787811279297,0.3752593398094177,0.22049929201602936,0.9999999403953552,0.3304102122783661,0.23403237760066986,0.17850732803344727,0.07888998836278915,0.15243679285049438,0.22049929201602936,0.2307090163230896,0.15243679285049438,0.17850732803344727,0.2298634648323059,0.24181972444057465,0.16760045289993286
is,0.28837618231773376,0.3723262846469879,0.5823672413825989,0.2423316091299057,0.4819129705429077,0.43268078565597534,0.658733606338501,0.2522773742675781,0.4854315221309662,0.5823672413825989,0.270936518907547,0.4854315221309662,0.658733606338501,0.2514069080352783,0.23238427937030792,0.22961433231830597
no,0.339326947927475,0.2797577977180481,0.3461136817932129,0.19820328056812286,0.4173688292503357,0.306581974029541,0.26280897855758667,0.09536696970462799,0.24809792637825012,0.3461136817932129,0.15846380591392517,0.24809792637825012,0.26280897855758667,0.22718845307826996,0.34181922674179077,0.32165053486824036
.,0.3567904531955719,0.33682769536972046,0.5934505462646484,0.22474192082881927,0.4383580684661865,0.4726039469242096,0.50484299659729,0.19907453656196594,0.5352458953857422,0.5934505462646484,0.2506868243217468,0.5352458953857422,0.50484299659729,0.3103445768356323,0.22562150657176971,0.4130953550338745
