,the,inland,delta,at,the,mouth,of,the,rhine,is,with,what,lake,?
inland,0.28756555914878845,1.0000001192092896,0.3055308163166046,0.24200333654880524,0.28756555914878845,0.30955177545547485,0.2589372992515564,0.28756555914878845,0.24103295803070068,0.17835117876529694,0.2225460410118103,0.17397060990333557,0.41285714507102966,0.1506642997264862
delta,0.22022446990013123,0.3055308163166046,1.0000001192092896,0.1374879777431488,0.22022446990013123,0.2508765459060669,0.20736707746982574,0.22022446990013123,0.21930839121341705,0.22409643232822418,0.15502384305000305,0.11423289775848389,0.20466861128807068,0.14208948612213135
.,0.5934505462646484,0.280521422624588,0.20923152565956116,0.4549728035926819,0.5934505462646484,0.24325765669345856,0.5352458953857422,0.5934505462646484,0.2089352011680603,0.4569662809371948,0.4446153938770294,0.3567904531955719,0.18603695929050446,0.4130953550338745
,the,inland,delta,at,the,mouth,of,the,rhine,is,with,what,lake,?
the,1.0,0.28756555914878845,0.22022446990013123,0.457212895154953,1.0,0.3073960244655609,0.733189046382904,1.0,0.30735138058662415,0.5823672413825989,0.4223487675189972,0.42745697498321533,0.24325428903102875,0.22068053483963013
delta,0.22022446990013123,0.3055308163166046,1.0000001192092896,0.1374879777431488,0.22022446990013123,0.2508765459060669,0.20736707746982574,0.22022446990013123,0.21930839121341705,0.22409643232822418,0.15502384305000305,0.11423289775848389,0.20466861128807068,0.14208948612213135
is,0.5823672413825989,0.17835117876529694,0.22409643232822418,0.25906258821487427,0.5823672413825989,0.2722901999950409,0.4854315221309662,0.5823672413825989,0.15617261826992035,1.0,0.3250955045223236,0.28837618231773376,0.22300897538661957,0.22961433231830597
delimited,0.3047758936882019,0.14500927925109863,0.1613478809595108,0.13711345195770264,0.3047758936882019,0.0676521435379982,0.3004198372364044,0.3047758936882019,0.12452429533004761,0.15257690846920013,0.30259037017822266,0.2781156897544861,0.08988965302705765,0.19262272119522095
in,0.6662389636039734,0.24078893661499023,0.21061979234218597,0.4374977946281433,0.6662389636039734,0.2779791057109833,0.5696388483047485,0.6662389636039734,0.24648422002792358,0.5394441485404968,0.4080928862094879,0.30808621644973755,0.260087251663208,0.20430970191955566
the,1.0,0.28756555914878845,0.22022446990013123,0.457212895154953,1.0,0.3073960244655609,0.733189046382904,1.0,0.30735138058662415,0.5823672413825989,0.4223487675189972,0.42745697498321533,0.24325428903102875,0.22068053483963013
west,0.32918402552604675,0.3453251123428345,0.2580733597278595,0.24495752155780792,0.32918402552604675,0.24168476462364197,0.2891985774040222,0.32918402552604675,0.3360097110271454,0.25201764702796936,0.16849102079868317,0.1946573108434677,0.22227589786052704,0.12088293582201004
by,0.4408751428127289,0.15595044195652008,0.10674521327018738,0.2368064820766449,0.4408751428127289,0.15675337612628937,0.3646814823150635,0.4408751428127289,0.18456800282001495,0.3899846076965332,0.39731505513191223,0.2455483376979828,0.17407365143299103,0.17966607213020325
the,1.0,0.28756555914878845,0.22022446990013123,0.457212895154953,1.0,0.3073960244655609,0.733189046382904,1.0,0.30735138058662415,0.5823672413825989,0.4223487675189972,0.42745697498321533,0.24325428903102875,0.22068053483963013
alter,0.2655624747276306,0.10947396606206894,0.03124316595494747,0.12239310890436172,0.2655624747276306,0.12136415392160416,0.2027089148759842,0.2655624747276306,0.19194811582565308,0.19399669766426086,0.19253110885620117,0.22912855446338654,0.17235985398292542,0.22885844111442566
rhein,0.2614726424217224,0.17227312922477722,0.2226947396993637,0.15001380443572998,0.2614726424217224,0.24517939984798431,0.24313244223594666,0.2614726424217224,0.6607828736305237,0.2335740327835083,0.1889200061559677,0.15212267637252808,0.21124298870563507,0.2176131010055542
(,0.33289089798927307,0.13851013779640198,0.15024615824222565,0.23315078020095825,0.33289089798927307,0.15250803530216217,0.35032153129577637,0.33289089798927307,0.12381801009178162,0.35393038392066956,0.29503780603408813,0.2411840260028839,0.14248812198638916,0.40561532974243164
``,0.029072100296616554,-0.0165395550429821,0.043367963284254074,-0.07642947137355804,0.029072100296616554,0.08542824536561966,0.06780257821083069,0.029072100296616554,0.031863048672676086,0.058766357600688934,0.08974023163318634,0.008517155423760414,-0.05009271577000618,0.0685480609536171
old,0.31849798560142517,0.16687466204166412,0.14766593277454376,0.17987459897994995,0.31849798560142517,0.17035207152366638,0.30522194504737854,0.31849798560142517,0.18212221562862396,0.24332627654075623,0.20720098912715912,0.22117848694324493,0.11347294598817825,0.20577076077461243
rhine,0.30735138058662415,0.24103295803070068,0.21930839121341705,0.19469857215881348,0.30735138058662415,0.2271108478307724,0.2548927664756775,0.30735138058662415,1.0,0.15617261826992035,0.18184249103069305,0.16475653648376465,0.22246339917182922,0.13754533231258392
'',0.041273195296525955,-0.021850483492016792,-0.07746187597513199,0.04379578307271004,0.041273195296525955,-0.08755738288164139,0.13035868108272552,0.041273195296525955,-0.003653771709650755,0.0793738141655922,0.07907696813344955,0.08143015950918198,-0.009126919321715832,0.018684765323996544
),0.3456730246543884,0.13400417566299438,0.1587669551372528,0.23338089883327484,0.3456730246543884,0.1643022745847702,0.3680361211299896,0.3456730246543884,0.12686386704444885,0.37732169032096863,0.3069596290588379,0.26259949803352356,0.16115246713161469,0.42300865054130554
and,0.5171257257461548,0.3125506639480591,0.21133051812648773,0.3571503460407257,0.5171257257461548,0.2073371261358261,0.5116966962814331,0.5171257257461548,0.22029656171798706,0.3859752118587494,0.5477725267410278,0.31309178471565247,0.234501451253891,0.20544172823429108
in,0.6662389636039734,0.24078893661499023,0.21061979234218597,0.4374977946281433,0.6662389636039734,0.2779791057109833,0.5696388483047485,0.6662389636039734,0.24648422002792358,0.5394441485404968,0.4080928862094879,0.30808621644973755,0.260087251663208,0.20430970191955566
the,1.0,0.28756555914878845,0.22022446990013123,0.457212895154953,1.0,0.3073960244655609,0.733189046382904,1.0,0.30735138058662415,0.5823672413825989,0.4223487675189972,0.42745697498321533,0.24325428903102875,0.22068053483963013
east,0.3383176326751709,0.3906520903110504,0.20314067602157593,0.25603312253952026,0.3383176326751709,0.23687633872032166,0.314786434173584,0.3383176326751709,0.35140636563301086,0.2596127688884735,0.18583141267299652,0.19840149581432343,0.26460370421409607,0.10070597380399704
by,0.4408751428127289,0.15595044195652008,0.10674521327018738,0.2368064820766449,0.4408751428127289,0.15675337612628937,0.3646814823150635,0.4408751428127289,0.18456800282001495,0.3899846076965332,0.39731505513191223,0.2455483376979828,0.17407365143299103,0.17966607213020325
a,0.5829201340675354,0.20193709433078766,0.20749913156032562,0.3095070421695709,0.5829201340675354,0.22701963782310486,0.5052502155303955,0.5829201340675354,0.1823403388261795,0.658733606338501,0.3783375024795532,0.3320399522781372,0.20924630761146545,0.23916715383529663
modern,0.3283970355987549,0.18323998153209686,0.16566325724124908,0.20050804316997528,0.3283970355987549,0.19841623306274414,0.3482828736305237,0.3283970355987549,0.15564224123954773,0.24170172214508057,0.17969171702861786,0.2655639946460724,0.14164385199546814,0.12475407868623734
canalized,0.25636258721351624,0.1711018979549408,0.24589835107326508,0.1373550295829773,0.25636258721351624,0.2707841694355011,0.21655438840389252,0.25636258721351624,0.18137802183628082,0.18612587451934814,0.26953285932540894,0.1253306120634079,0.16900549829006195,0.09231747686862946
section,0.3365345895290375,0.17418673634529114,0.08838100731372833,0.2070581018924713,0.3365345895290375,0.13555991649627686,0.21215301752090454,0.3365345895290375,0.15145494043827057,0.22237545251846313,0.18969540297985077,0.28602200746536255,0.09565012156963348,0.2733710706233978
.,0.5934505462646484,0.280521422624588,0.20923152565956116,0.4549728035926819,0.5934505462646484,0.24325765669345856,0.5352458953857422,0.5934505462646484,0.2089352011680603,0.4569662809371948,0.4446153938770294,0.3567904531955719,0.18603695929050446,0.4130953550338745
