,what,is,the,profession,of,jake,rosenfield,?
united,0.20036718249320984,0.22408509254455566,0.34367692470550537,0.2412448674440384,0.3187655806541443,0.19592148065567017,0.3650255799293518,0.17266890406608582
states,0.21526020765304565,0.21939043700695038,0.3463578522205353,0.24653983116149902,0.30884552001953125,0.20428045094013214,0.2846601903438568,0.16272737085819244
has,0.20338068902492523,0.5668748617172241,0.4177538752555847,0.16537095606327057,0.3909035325050354,0.16017261147499084,0.15829835832118988,0.15994466841220856
played,0.14831039309501648,0.2258751392364502,0.2603478729724884,0.19178806245326996,0.21120788156986237,0.23842333257198334,0.2726796567440033,0.14096300303936005
a,0.3320399522781372,0.658733606338501,0.5829201340675354,0.3185056746006012,0.5052502155303955,0.19892047345638275,0.23328417539596558,0.23916715383529663
more,0.3484537899494171,0.2946030795574188,0.39758381247520447,0.19881202280521393,0.30478984117507935,0.09731724858283997,0.18960784375667572,0.27894994616508484
significant,0.24268144369125366,0.2283884435892105,0.35524800419807434,0.1827140897512436,0.318554162979126,0.07895513623952866,0.12055270373821259,0.18679562211036682
role,0.22614215314388275,0.20847192406654358,0.26607486605644226,0.21607184410095215,0.1797693818807602,0.1927746832370758,0.20979948341846466,0.18676944077014923
in,0.30808621644973755,0.5394441485404968,0.6662389636039734,0.16790467500686646,0.5696388483047485,0.1564447581768036,0.28140541911125183,0.20430970191955566
expanding,0.34628334641456604,0.23664098978042603,0.3361387550830841,0.18438254296779633,0.2904873490333557,0.04691476747393608,0.12226207554340363,0.23633244633674622
the,0.42745697498321533,0.5823672413825989,1.0,0.17655403912067413,0.733189046382904,0.12908777594566345,0.23885850608348846,0.22068053483963013
income,0.21837803721427917,0.14559021592140198,0.23699946701526642,0.25499868392944336,0.2581324577331543,0.07949922233819962,0.12368813902139664,0.14935168623924255
gap,0.17691411077976227,0.19868990778923035,0.27986636757850647,0.0953378975391388,0.2172139286994934,0.17679554224014282,0.1320512890815735,0.09251954406499863
than,0.29388150572776794,0.2839990258216858,0.3227543234825134,0.16498103737831116,0.33036211133003235,0.12153240293264389,0.16929492354393005,0.24917294085025787
technological,0.22749881446361542,0.2530370056629181,0.27225103974342346,0.3174293637275696,0.32200396060943604,0.1584336906671524,0.21697551012039185,0.1312418282032013
changes,0.2740466892719269,0.23356598615646362,0.3427845537662506,0.1385943591594696,0.25827232003211975,0.11701266467571259,0.14409859478473663,0.21264225244522095
and,0.31309178471565247,0.3859752118587494,0.5171257257461548,0.2738117277622223,0.5116966962814331,0.1864749640226364,0.34807753562927246,0.20544172823429108
globalization,0.23963014781475067,0.18569506704807281,0.2319410741329193,0.3084847629070282,0.27303043007850647,0.16875135898590088,0.17013317346572876,0.2572137415409088
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.28053703904151917,0.4946078956127167,0.18174459040164948,0.37577369809150696,0.31091248989105225
which,0.5261979103088379,0.4457404911518097,0.6521818041801453,0.184076189994812,0.5011631846427917,0.12533843517303467,0.1725960075855255,0.25814583897590637
were,0.22298263013362885,0.29386836290359497,0.3906462490558624,0.1000848263502121,0.34038281440734863,0.08687003701925278,0.22044110298156738,0.17890112102031708
also,0.42747777700424194,0.5012649297714233,0.6021018624305725,0.2645009160041809,0.4924938678741455,0.1770174354314804,0.20456290245056152,0.21848613023757935
experienced,0.37686559557914734,0.21743546426296234,0.26857760548591614,0.2923631966114044,0.2707912027835846,0.11798865348100662,0.17953409254550934,0.23420310020446777
by,0.2455483376979828,0.3899846076965332,0.4408751428127289,0.18375752866268158,0.3646814823150635,0.1450374871492386,0.21845169365406036,0.17966607213020325
other,0.341873437166214,0.25895947217941284,0.44152235984802246,0.17025798559188843,0.38583824038505554,0.1423036903142929,0.16896583139896393,0.24682199954986572
industrialized,0.1756548136472702,0.2339412122964859,0.30628761649131775,0.2999248802661896,0.30613189935684204,0.07170944660902023,0.2618192136287689,0.07084181904792786
nations,0.19211222231388092,0.19151805341243744,0.3506215214729309,0.2470526397228241,0.27521562576293945,0.15703144669532776,0.2333398312330246,0.20999202132225037
that,0.6297725439071655,0.3995479643344879,0.5473989248275757,0.24653634428977966,0.41498205065727234,0.12187686562538147,0.19389323890209198,0.32716336846351624
did,0.4259131848812103,0.19247472286224365,0.34736719727516174,0.15804319083690643,0.2513895630836487,0.14029322564601898,0.1665063351392746,0.3023456633090973
n't,-0.07036374509334564,0.028099019080400467,-0.11449059844017029,0.17795142531394958,-0.021397603675723076,0.008897850289940834,0.13724765181541443,0.07068326324224472
experience,0.3894727826118469,0.19130541384220123,0.21682339906692505,0.31952905654907227,0.228313148021698,0.2035466730594635,0.181362584233284,0.25203612446784973
steep,0.16902941465377808,0.2139909267425537,0.23276886343955994,0.1467921882867813,0.17447429895401,0.14223402738571167,0.2420223206281662,0.08240659534931183
surges,0.2037314474582672,0.19405779242515564,0.33724135160446167,0.21026711165905,0.26077601313591003,0.1287630796432495,0.19333189725875854,0.07646527886390686
in,0.30808621644973755,0.5394441485404968,0.6662389636039734,0.16790467500686646,0.5696388483047485,0.1564447581768036,0.28140541911125183,0.20430970191955566
inequality,0.30072227120399475,0.1953488290309906,0.23508106172084808,0.2936093807220459,0.27910974621772766,0.09960269927978516,0.20023119449615479,0.23619021475315094
.,0.3567904531955719,0.4569662809371948,0.5934505462646484,0.23688457906246185,0.5352458953857422,0.16661110520362854,0.310683935880661,0.4130953550338745
