,how,many,of,the,remaining,launches,were,successful,?
explosion,0.15349295735359192,0.19129356741905212,0.2521720826625824,0.2702338993549347,0.2366693764925003,0.32807493209838867,0.20327135920524597,0.15254299342632294,0.14159642159938812
in,0.2601168751716614,0.41474202275276184,0.5696388483047485,0.6662389636039734,0.3161192238330841,0.19319167733192444,0.3815755248069763,0.2864660918712616,0.20430970191955566
transit,0.16626155376434326,0.1466836929321289,0.2233203798532486,0.23945073783397675,0.16847430169582367,0.20109114050865173,0.11178267747163773,0.08550840616226196,0.186569482088089
to,0.44169697165489197,0.40243685245513916,0.41548454761505127,0.535392165184021,0.3465334177017212,0.2060823142528534,0.31913647055625916,0.2317596971988678,0.29463258385658264
the,0.33890387415885925,0.4335206151008606,0.733189046382904,1.0,0.45105910301208496,0.26606911420822144,0.3906462490558624,0.31354787945747375,0.22068053483963013
moon,0.209036186337471,0.14061444997787476,0.18815091252326965,0.23613092303276062,0.1406722515821457,0.32028067111968994,0.15599286556243896,0.134836345911026,0.1442703753709793
",",0.22659391164779663,0.40610817074775696,0.4946078956127167,0.4933079481124878,0.2946331799030304,0.18217921257019043,0.36755475401878357,0.28826844692230225,0.31091248989105225
which,0.4852597713470459,0.5168171525001526,0.5011631846427917,0.6521818041801453,0.33581429719924927,0.1912434697151184,0.2807837128639221,0.27150410413742065,0.25814583897590637
disabled,0.18237116932868958,0.20754563808441162,0.1733492761850357,0.1687239110469818,0.2054899036884308,0.15470440685749054,0.16539624333381653,0.17255280911922455,0.20987746119499207
the,0.33890387415885925,0.4335206151008606,0.733189046382904,1.0,0.45105910301208496,0.26606911420822144,0.3906462490558624,0.31354787945747375,0.22068053483963013
command,0.17853301763534546,0.17804791033267975,0.23060646653175354,0.27488255500793457,0.25770139694213867,0.3504631519317627,0.14736711978912354,0.16744489967823029,0.13402260839939117
spacecraft,0.22779840230941772,0.15773004293441772,0.16566437482833862,0.21476294100284576,0.1593751758337021,0.5969063639640808,0.17363768815994263,0.20422878861427307,0.17708687484264374
's,-0.026164190843701363,0.01698932610452175,-0.03817026689648628,-0.01540423184633255,0.03188075125217438,-0.020807655528187752,0.007088581565767527,-0.01727212779223919,-0.023395681753754616
propulsion,0.23599031567573547,0.20593814551830292,0.22784428298473358,0.2493213713169098,0.18329985439777374,0.36273688077926636,0.20003508031368256,0.22822844982147217,0.14722804725170135
and,0.33647966384887695,0.5296266674995422,0.5116966962814331,0.5171257257461548,0.34621065855026245,0.20145733654499054,0.42175528407096863,0.2795376479625702,0.20544172823429108
life,0.24822278320789337,0.291175901889801,0.2788603901863098,0.23528170585632324,0.16583076119422913,0.14170487225055695,0.1938122808933258,0.17305652797222137,0.21677987277507782
support,0.28316521644592285,0.25043240189552307,0.2307697981595993,0.22984638810157776,0.2691630721092224,0.2211350053548813,0.2020559310913086,0.2417590171098709,0.22626608610153198
.,0.3287222981452942,0.3974229395389557,0.5352458953857422,0.5934505462646484,0.27891913056373596,0.19127623736858368,0.3378238379955292,0.361310213804245,0.4130953550338745
