,common,sense,realism,of,what,scottish,philosophers,did,agassiz,incorporate,in,his,dual,view,of,knowedge,?
teachings,0.16531357169151306,0.23751679062843323,0.3942353129386902,0.27638328075408936,0.3166578412055969,0.06858815997838974,0.47476497292518616,0.25051647424697876,0.23223114013671875,0.25278952717781067,0.19091618061065674,0.3083688020706177,0.10386918485164642,0.253339022397995,0.27638328075408936,0.2707611918449402,0.2220720499753952
of,0.2949881851673126,0.19666431844234467,0.20264233648777008,1.0,0.33290785551071167,0.1698460429906845,0.2105230838060379,0.2513895630836487,0.2634037733078003,0.2722231447696686,0.5696388483047485,0.38364991545677185,0.19118990004062653,0.21446028351783752,1.0,0.30374667048454285,0.1826142966747284
common,0.9999998807907104,0.3617488145828247,0.20517119765281677,0.2949881851673126,0.19989867508411407,0.11463308334350586,0.20740798115730286,0.12848728895187378,0.15724124014377594,0.15984156727790833,0.23149342834949493,0.12126853317022324,0.1645381897687912,0.1631746143102646,0.2949881851673126,0.2854360044002533,0.20434872806072235
sense,0.3617488145828247,0.9999998807907104,0.31446775794029236,0.19666431844234467,0.3673125207424164,0.14893582463264465,0.2637622058391571,0.21181362867355347,0.10973727703094482,0.2115689367055893,0.19032785296440125,0.19159705936908722,0.11417417973279953,0.200370192527771,0.19666431844234467,0.36519452929496765,0.25268280506134033
realism,0.20517119765281677,0.31446775794029236,1.0,0.20264233648777008,0.33449432253837585,0.11584401875734329,0.49136948585510254,0.2420981526374817,0.2244408279657364,0.216201514005661,0.1951829195022583,0.2910778224468231,0.11573871225118637,0.24544163048267365,0.20264233648777008,0.29367682337760925,0.13895580172538757
derived,0.28024181723594666,0.18429632484912872,0.1814344823360443,0.28474852442741394,0.20143714547157288,0.08718447387218475,0.2234257310628891,0.13302093744277954,0.19009347259998322,0.24095962941646576,0.17734654247760773,0.15693919360637665,0.1625707894563675,0.1222880631685257,0.28474852442741394,0.3106516897678375,0.1241099163889885
from,0.1902724653482437,0.1463984102010727,0.19464676082134247,0.4249346852302551,0.2737620174884796,0.15378767251968384,0.21688930690288544,0.20248863101005554,0.2028566151857376,0.1911584436893463,0.4274188280105591,0.3195365369319916,0.17302526533603668,0.2224287986755371,0.4249346852302551,0.2443460375070572,0.19969791173934937
scottish,0.11463308334350586,0.14893582463264465,0.11584401875734329,0.1698460429906845,0.13777151703834534,1.0000001192092896,0.1810414046049118,0.1726994663476944,0.17120352387428284,0.11091525107622147,0.16512006521224976,0.17533840239048004,0.21682050824165344,0.11727941036224365,0.1698460429906845,0.3019829988479614,0.06442669779062271
philosophers,0.20740798115730286,0.2637622058391571,0.49136948585510254,0.2105230838060379,0.34606775641441345,0.1810414046049118,1.0,0.23326945304870605,0.3432127833366394,0.16245214641094208,0.22073392570018768,0.22468934953212738,0.1452362984418869,0.21546809375286102,0.2105230838060379,0.3088034987449646,0.20820924639701843
thomas,0.1814960241317749,0.18926620483398438,0.20256184041500092,0.18699592351913452,0.1806955188512802,0.2626116871833801,0.2012760192155838,0.20728807151317596,0.2151205688714981,0.07324373722076416,0.21133768558502197,0.20028819143772125,0.09844125062227249,0.15638700127601624,0.18699592351913452,0.30120810866355896,0.16133050620555878
reid,0.09397299587726593,0.12554201483726501,0.17991934716701508,0.22006885707378387,0.14470411837100983,0.31477370858192444,0.16577789187431335,0.14446698129177094,0.24491773545742035,0.13740141689777374,0.21090175211429596,0.24085286259651184,0.15062159299850464,0.06993500143289566,0.22006885707378387,0.3034861981868744,0.17025253176689148
and,0.229714497923851,0.2834228277206421,0.20094095170497894,0.5116966962814331,0.31309178471565247,0.2972351908683777,0.24866017699241638,0.34479495882987976,0.24042153358459473,0.2605700194835663,0.4954058527946472,0.4234102666378021,0.2248772829771042,0.19056165218353271,0.5116966962814331,0.38034743070602417,0.20544172823429108
dugald,0.17279386520385742,0.09077323973178864,0.22129829227924347,0.2629643380641937,0.21859702467918396,0.3759464919567108,0.26182821393013,0.25069817900657654,0.4346243143081665,0.07804891467094421,0.254019558429718,0.3260379731655121,0.17455418407917023,0.19968461990356445,0.2629643380641937,0.38059303164482117,0.21228724718093872
stewart,0.10120513290166855,0.11928477138280869,0.1048855111002922,0.19252897799015045,0.11413726210594177,0.3869103193283081,0.137454554438591,0.21499890089035034,0.22818802297115326,0.14465393126010895,0.2197740226984024,0.2502935528755188,0.15557385981082916,0.09100392460823059,0.19252897799015045,0.38932517170906067,0.11473192274570465
",",0.2497023195028305,0.27551719546318054,0.17850267887115479,0.4946078956127167,0.3087472915649414,0.21369139850139618,0.25358667969703674,0.3015086054801941,0.28871119022369385,0.28912562131881714,0.5201468467712402,0.3378419280052185,0.17898842692375183,0.216712087392807,0.4946078956127167,0.39204904437065125,0.31091248989105225
whose,0.17278148233890533,0.23968902230262756,0.16600526869297028,0.37058958411216736,0.22831642627716064,0.16443532705307007,0.22027605772018433,0.197230726480484,0.17069149017333984,0.1552489697933197,0.23496666550636292,0.39010414481163025,0.187990203499794,0.10724009573459625,0.37058958411216736,0.2763918936252594,0.16990536451339722
works,0.1719173789024353,0.21368975937366486,0.2773318886756897,0.1964656114578247,0.2418437898159027,0.1339583396911621,0.2469133734703064,0.17949827015399933,0.13357847929000854,0.21037182211875916,0.2656683027744293,0.32648009061813354,0.14268015325069427,0.10445757210254669,0.1964656114578247,0.23637014627456665,0.19597402215003967
were,0.14443030953407288,0.11267241090536118,0.1807374507188797,0.34038281440734863,0.22298263013362885,0.15377677977085114,0.23575957119464874,0.4162326455116272,0.21642142534255981,0.17384955286979675,0.3815755248069763,0.3142043352127075,0.13564640283584595,0.13278506696224213,0.34038281440734863,0.2555035650730133,0.17890112102031708
part,0.20455682277679443,0.22416062653064728,0.201743021607399,0.452393114566803,0.3476244807243347,0.08492352068424225,0.1596037596464157,0.23558001220226288,0.04135047644376755,0.2806408703327179,0.4499994218349457,0.22525446116924286,0.15658847987651825,0.22148454189300537,0.452393114566803,0.26262593269348145,0.08557961881160736
of,0.2949881851673126,0.19666431844234467,0.20264233648777008,1.0,0.33290785551071167,0.1698460429906845,0.2105230838060379,0.2513895630836487,0.2634037733078003,0.2722231447696686,0.5696388483047485,0.38364991545677185,0.19118990004062653,0.21446028351783752,1.0,0.30374667048454285,0.1826142966747284
the,0.2705984115600586,0.23180550336837769,0.18624071776866913,0.733189046382904,0.42745697498321533,0.21724988520145416,0.21667663753032684,0.34736719727516174,0.19301146268844604,0.2866564989089966,0.6662389636039734,0.4394008219242096,0.18420051038265228,0.25610461831092834,0.733189046382904,0.3946232497692108,0.22068053483963013
harvard,0.14824369549751282,0.1302153319120407,0.2294100970029831,0.25842633843421936,0.2177114188671112,0.1342262327671051,0.2805652320384979,0.12897181510925293,0.31212523579597473,0.16378460824489594,0.26072487235069275,0.22736528515815735,0.10084661096334457,0.1737586110830307,0.25842633843421936,0.21420340240001678,0.11685016006231308
curriculum,0.19685585796833038,0.20238937437534332,0.20895788073539734,0.2513495087623596,0.21728472411632538,0.11767418682575226,0.3004700541496277,0.16556061804294586,0.16872483491897583,0.1837514042854309,0.2303178757429123,0.16726943850517273,0.17744307219982147,0.10674411803483963,0.2513495087623596,0.20740778744220734,0.24092517793178558
at,0.10125654935836792,0.10367236286401749,0.0763026624917984,0.42558613419532776,0.2838611304759979,0.14378440380096436,0.10818139463663101,0.28390252590179443,0.1687222719192505,0.11947153508663177,0.4374977946281433,0.27659502625465393,0.13813312351703644,0.26496005058288574,0.42558613419532776,0.2361929565668106,0.21978627145290375
the,0.2705984115600586,0.23180550336837769,0.18624071776866913,0.733189046382904,0.42745697498321533,0.21724988520145416,0.21667663753032684,0.34736719727516174,0.19301146268844604,0.2866564989089966,0.6662389636039734,0.4394008219242096,0.18420051038265228,0.25610461831092834,0.733189046382904,0.3946232497692108,0.22068053483963013
time,0.1746874898672104,0.21745862066745758,0.2071622610092163,0.35127586126327515,0.36319252848625183,0.15791401267051697,0.23803776502609253,0.3567926585674286,0.20741204917430878,0.14943398535251617,0.3431483507156372,0.3553589880466461,0.12999962270259857,0.1708688735961914,0.35127586126327515,0.3191733956336975,0.27391523122787476
.,0.21817955374717712,0.23940077424049377,0.17997245490550995,0.5352458953857422,0.3567904531955719,0.20125295221805573,0.19786393642425537,0.35288307070732117,0.23902593553066254,0.25452208518981934,0.5591574311256409,0.3119256794452667,0.17115114629268646,0.23733025789260864,0.5352458953857422,0.3278794586658478,0.4130953550338745
