,where,and,when,did,the,investigation,of,the,plague,pathogen,begin,?
yersin,0.25439751148223877,0.26323506236076355,0.3312782049179077,0.16809611022472382,0.2993939220905304,0.2430768460035324,0.25973260402679443,0.2993939220905304,0.36617663502693176,0.5152745842933655,0.20971307158470154,0.2174769639968872
",",0.3149496018886566,0.6633074283599854,0.36674630641937256,0.3015086054801941,0.4933079481124878,0.23980677127838135,0.4946078956127167,0.4933079481124878,0.2630122900009155,0.16548964381217957,0.27304404973983765,0.31091248989105225
after,0.31753596663475037,0.3765919506549835,0.5331412553787231,0.30330467224121094,0.4565047025680542,0.2658800780773163,0.3867455720901489,0.4565047025680542,0.26564955711364746,0.19195015728473663,0.4157010316848755,0.16608688235282898
whom,0.3098810315132141,0.3148667514324188,0.34392476081848145,0.3024649918079376,0.23752936720848083,0.2121249884366989,0.2070929855108261,0.23752936720848083,0.14074385166168213,0.13332785665988922,0.08651738613843918,0.222135990858078
the,0.5003893971443176,0.5171257257461548,0.5091903209686279,0.34736719727516174,1.0,0.2993324100971222,0.733189046382904,1.0,0.2537761330604553,0.21664372086524963,0.34293439984321594,0.22068053483963013
pathogen,0.1486886888742447,0.16291935741901398,0.22033041715621948,0.16602759063243866,0.21664372086524963,0.283396452665329,0.22046351432800293,0.21664372086524963,0.3807348310947418,0.9999999403953552,0.20870643854141235,0.1893778294324875
was,0.20731619000434875,0.3740963041782379,0.37326499819755554,0.41399896144866943,0.48711544275283813,0.27696651220321655,0.4069072902202606,0.48711544275283813,0.24312011897563934,0.13435368239879608,0.17294162511825562,0.18412111699581146
named,0.19565314054489136,0.23097854852676392,0.2802571952342987,0.1507878601551056,0.3521348536014557,0.15043814480304718,0.2820465862751007,0.3521348536014557,0.1305045634508133,0.08851857483386993,0.14794114232063293,0.1297498345375061
yersinia,0.20498590171337128,0.2126704752445221,0.2913760542869568,0.17139646410942078,0.26242390275001526,0.22496025264263153,0.26018857955932617,0.26242390275001526,0.4461015462875366,0.5760546922683716,0.19735923409461975,0.22753337025642395
pestis,0.23489247262477875,0.21790508925914764,0.2564457058906555,0.14983123540878296,0.23376873135566711,0.23435643315315247,0.19618989527225494,0.23376873135566711,0.5067715644836426,0.5520470142364502,0.1606523096561432,0.2471543848514557
.,0.41390106081962585,0.588965117931366,0.475719153881073,0.35288307070732117,0.5934505462646484,0.26891666650772095,0.5352458953857422,0.5934505462646484,0.2547653317451477,0.20811253786087036,0.24827922880649567,0.4130953550338745
