,when,there,are,many,workers,competing,for,a,few,jobs,its,considered,as,what,?
(,0.2459595799446106,0.22351126372814178,0.23263892531394958,0.1455259770154953,0.11125283688306808,0.07787986099720001,0.3357032239437103,0.3206180930137634,0.18040570616722107,0.1140080988407135,0.1924784928560257,0.22818490862846375,0.32029855251312256,0.2411840260028839,0.40561532974243164
high,0.20577524602413177,0.21173454821109772,0.21708175539970398,0.27441489696502686,0.14008451998233795,0.1905594915151596,0.1925620585680008,0.22865821421146393,0.18966971337795258,0.22693783044815063,0.23626497387886047,0.17948123812675476,0.23253053426742554,0.20466077327728271,0.11137914657592773
supply,0.30050337314605713,0.2964252829551697,0.22798548638820648,0.23471170663833618,0.22504031658172607,0.17425671219825745,0.2697718143463135,0.2115103155374527,0.26632386445999146,0.20151390135288239,0.26599693298339844,0.2507668733596802,0.22979837656021118,0.20549191534519196,0.14298182725906372
),0.2538422644138336,0.24042794108390808,0.2373749315738678,0.16602720320224762,0.1238962784409523,0.07620151340961456,0.3639558255672455,0.3640355169773102,0.19473251700401306,0.1404641568660736,0.20629894733428955,0.2430245578289032,0.32161882519721985,0.26259949803352356,0.42300865054130554
competing,0.21754589676856995,0.23167842626571655,0.27214378118515015,0.3291480243206024,0.2097894698381424,1.0000001192092896,0.2876717746257782,0.18894045054912567,0.219071164727211,0.2144141048192978,0.1778384894132614,0.1924438327550888,0.27776309847831726,0.24616995453834534,0.1428171843290329
for,0.43402108550071716,0.3728419542312622,0.3895993232727051,0.40972793102264404,0.2527289092540741,0.2876717746257782,0.9999999403953552,0.44038116931915283,0.34910818934440613,0.3127319812774658,0.2992613911628723,0.3214476406574249,0.44774648547172546,0.3017193675041199,0.264628142118454
a,0.44397395849227905,0.4214206337928772,0.265255331993103,0.2872205972671509,0.25033822655677795,0.18894045054912567,0.44038116931915283,1.0,0.2765968441963196,0.23724274337291718,0.4424409866333008,0.36109375953674316,0.39550232887268066,0.3320399522781372,0.23916715383529663
job,0.29622912406921387,0.19662681221961975,0.17699533700942993,0.25484973192214966,0.32602551579475403,0.19132445752620697,0.3520078659057617,0.2834402620792389,0.18540124595165253,0.6616148352622986,0.18168118596076965,0.16687807440757751,0.2932385802268982,0.29268908500671387,0.22160480916500092
that,0.5860282182693481,0.6006520986557007,0.45265161991119385,0.5391656160354614,0.22227567434310913,0.3444405496120453,0.4137635827064514,0.47537946701049805,0.3973994851112366,0.2788684070110321,0.416561484336853,0.37593913078308105,0.4735107421875,0.6297725439071655,0.32716336846351624
few,0.3844998776912689,0.4346017837524414,0.43078693747520447,0.5883727073669434,0.20546524226665497,0.219071164727211,0.34910818934440613,0.2765968441963196,1.0,0.2192603498697281,0.25522467494010925,0.25966766476631165,0.2811742126941681,0.2780759632587433,0.2334265559911728
require,0.19148588180541992,0.34947407245635986,0.388192743062973,0.26421883702278137,0.21597722172737122,0.20305854082107544,0.33956968784332275,0.24720792472362518,0.21677635610103607,0.25893762707710266,0.20398852229118347,0.23032090067863464,0.23686568439006805,0.2487315833568573,0.2463286817073822
(,0.2459595799446106,0.22351126372814178,0.23263892531394958,0.1455259770154953,0.11125283688306808,0.07787986099720001,0.3357032239437103,0.3206180930137634,0.18040570616722107,0.1140080988407135,0.1924784928560257,0.22818490862846375,0.32029855251312256,0.2411840260028839,0.40561532974243164
low,0.23078076541423798,0.20811671018600464,0.23422758281230927,0.2921038866043091,0.1825234442949295,0.19869264960289001,0.19718985259532928,0.24393533170223236,0.2664473354816437,0.19815102219581604,0.26468348503112793,0.18651999533176422,0.22321817278862,0.20743566751480103,0.10658930987119675
demand,0.2882395088672638,0.2776997983455658,0.20284822583198547,0.27046534419059753,0.2342347502708435,0.21221187710762024,0.3395264446735382,0.2180943340063095,0.24848248064517975,0.2195117026567459,0.2719878852367401,0.20661307871341705,0.21706032752990723,0.2007312774658203,0.13359291851520538
),0.2538422644138336,0.24042794108390808,0.2373749315738678,0.16602720320224762,0.1238962784409523,0.07620151340961456,0.3639558255672455,0.3640355169773102,0.19473251700401306,0.1404641568660736,0.20629894733428955,0.2430245578289032,0.32161882519721985,0.26259949803352356,0.42300865054130554
will,0.42625120282173157,0.3024239242076874,0.39387544989585876,0.2847830653190613,0.2307453602552414,0.21165211498737335,0.3647450804710388,0.3401327431201935,0.30544739961624146,0.21912331879138947,0.26816651225090027,0.21823614835739136,0.3047071695327759,0.3510494530200958,0.35046905279159546
result,0.32054403424263,0.2712252736091614,0.18835392594337463,0.2120126336812973,0.15530286729335785,0.1306685358285904,0.2445775717496872,0.2767398953437805,0.1901324987411499,0.14744912087917328,0.21931473910808563,0.3008725643157959,0.2939164340496063,0.19945499300956726,0.17218433320522308
in,0.4431333839893341,0.5361666083335876,0.3841303884983063,0.41474202275276184,0.2254374474287033,0.24096709489822388,0.4322226941585541,0.539380669593811,0.3588411808013916,0.25891396403312683,0.3793783485889435,0.28591203689575195,0.3887844979763031,0.30808621644973755,0.20430970191955566
a,0.44397395849227905,0.4214206337928772,0.265255331993103,0.2872205972671509,0.25033822655677795,0.18894045054912567,0.44038116931915283,1.0,0.2765968441963196,0.23724274337291718,0.4424409866333008,0.36109375953674316,0.39550232887268066,0.3320399522781372,0.23916715383529663
low,0.23078076541423798,0.20811671018600464,0.23422758281230927,0.2921038866043091,0.1825234442949295,0.19869264960289001,0.19718985259532928,0.24393533170223236,0.2664473354816437,0.19815102219581604,0.26468348503112793,0.18651999533176422,0.22321817278862,0.20743566751480103,0.10658930987119675
wage,0.1803869605064392,0.20923499763011932,0.12379942089319229,0.1523624062538147,0.4480087161064148,0.21621085703372955,0.29112204909324646,0.22897930443286896,0.17330779135227203,0.3405515253543854,0.16141507029533386,0.1693810075521469,0.24059410393238068,0.25473552942276,0.21983641386032104
for,0.43402108550071716,0.3728419542312622,0.3895993232727051,0.40972793102264404,0.2527289092540741,0.2876717746257782,0.9999999403953552,0.44038116931915283,0.34910818934440613,0.3127319812774658,0.2992613911628723,0.3214476406574249,0.44774648547172546,0.3017193675041199,0.264628142118454
that,0.5860282182693481,0.6006520986557007,0.45265161991119385,0.5391656160354614,0.22227567434310913,0.3444405496120453,0.4137635827064514,0.47537946701049805,0.3973994851112366,0.2788684070110321,0.416561484336853,0.37593913078308105,0.4735107421875,0.6297725439071655,0.32716336846351624
job,0.29622912406921387,0.19662681221961975,0.17699533700942993,0.25484973192214966,0.32602551579475403,0.19132445752620697,0.3520078659057617,0.2834402620792389,0.18540124595165253,0.6616148352622986,0.18168118596076965,0.16687807440757751,0.2932385802268982,0.29268908500671387,0.22160480916500092
.,0.475719153881073,0.43897318840026855,0.3452940285205841,0.3974229395389557,0.17509925365447998,0.18471822142601013,0.4726039469242096,0.50484299659729,0.31739792227745056,0.27586984634399414,0.3566088080406189,0.29356086254119873,0.515582263469696,0.3567904531955719,0.4130953550338745
