,gamma,delta,t,cells,rearrange,tcr,genes,to,produce,what,?
of,0.18485099077224731,0.20736707746982574,0.14617829024791718,0.21305565536022186,0.22733861207962036,0.20970454812049866,0.20000982284545898,0.41548454761505127,0.19541172683238983,0.33290785551071167,0.1826142966747284
adaptive,0.27399682998657227,0.1557006984949112,0.1490013301372528,0.3719173073768616,0.30475351214408875,0.3234567940235138,0.4010309875011444,0.23363445699214935,0.29602086544036865,0.22806508839130402,0.12147218734025955
immunity,0.15785463154315948,0.046364713460206985,0.22658170759677887,0.3603610694408417,0.18433542549610138,0.17403091490268707,0.3359048664569855,0.23462912440299988,0.19203080236911774,0.21864116191864014,0.16423189640045166
as,0.2033286690711975,0.15640535950660706,0.2405824363231659,0.2328435331583023,0.2564457654953003,0.2546892762184143,0.18802227079868317,0.42092081904411316,0.26654115319252014,0.31749409437179565,0.27043893933296204
they,0.20206362009048462,0.1312236189842224,0.3427780866622925,0.3539968729019165,0.2486591637134552,0.2859638035297394,0.2828957140445709,0.5452046394348145,0.30373209714889526,0.4431931674480438,0.2753053903579712
rearrange,0.19673959910869598,0.12709684669971466,0.2809329330921173,0.3569484055042267,1.0,0.39188075065612793,0.318501353263855,0.2940022051334381,0.3391943871974945,0.29838690161705017,0.19985303282737732
tcr,0.3296441435813904,0.19257427752017975,0.3235938847064972,0.32322657108306885,0.39188075065612793,1.0,0.3786519467830658,0.3426332473754883,0.2716993987560272,0.33426550030708313,0.31027549505233765
genes,0.28320059180259705,0.10394004732370377,0.21887516975402832,0.4727623164653778,0.318501353263855,0.3786519467830658,0.9999999403953552,0.22930821776390076,0.306994765996933,0.2555708885192871,0.19798170030117035
to,0.15385806560516357,0.16459326446056366,0.30417174100875854,0.26320719718933105,0.2940022051334381,0.3426332473754883,0.22930821776390076,1.0,0.30018290877342224,0.455847829580307,0.29463258385658264
produce,0.26150593161582947,0.17106716334819794,0.22578568756580353,0.38649609684944153,0.3391943871974945,0.2716993987560272,0.306994765996933,0.30018290877342224,1.0,0.1685742735862732,0.19229066371917725
receptor,0.3249748945236206,0.15440990030765533,0.22843964397907257,0.5432859659194946,0.3332511782646179,0.3046633005142212,0.4535053074359894,0.20206627249717712,0.2970186471939087,0.19285786151885986,0.10260391980409622
diversity,0.12444344907999039,0.16640494763851166,0.13736914098262787,0.20843905210494995,0.2348717302083969,0.26476383209228516,0.29847943782806396,0.23632267117500305,0.1944582760334015,0.2244141548871994,0.057167764753103256
and,0.16247797012329102,0.21133051812648773,0.25205641984939575,0.24033623933792114,0.1825428307056427,0.24688763916492462,0.19939002394676208,0.48971283435821533,0.2701570689678192,0.31309178471565247,0.20544172823429108
can,0.2542612552642822,0.1631595641374588,0.39557120203971863,0.32483595609664917,0.3020799160003662,0.2784044146537781,0.2746211886405945,0.4979398250579834,0.3511185944080353,0.34502777457237244,0.3226337134838104
also,0.23854582011699677,0.17184317111968994,0.273290753364563,0.20753082633018494,0.2064218968153,0.24366825819015503,0.23524045944213867,0.5348826050758362,0.31644847989082336,0.42747777700424194,0.21848613023757935
develop,0.19090498983860016,0.11538171023130417,0.1482495218515396,0.2764504551887512,0.19066664576530457,0.20642216503620148,0.32235246896743774,0.3375980854034424,0.41298696398735046,0.20962175726890564,0.15784582495689392
a,0.28735125064849854,0.20749913156032562,0.2456076741218567,0.2297232300043106,0.26125437021255493,0.2230403572320938,0.17779681086540222,0.45503583550453186,0.2757846415042877,0.3320399522781372,0.23916715383529663
memory,0.1317632645368576,0.10102333128452301,0.1367805302143097,0.2407664954662323,0.18574665486812592,0.27272722125053406,0.20756350457668304,0.19370511174201965,0.09522774070501328,0.20690667629241943,0.1397676020860672
phenotype,0.3095356523990631,0.16471397876739502,0.25278812646865845,0.39627283811569214,0.35509589314460754,0.393030047416687,0.5942858457565308,0.20025372505187988,0.3638681471347809,0.22708988189697266,0.23586498200893402
.,0.25448304414749146,0.20923152565956116,0.3410096764564514,0.2868211269378662,0.26112574338912964,0.31167182326316833,0.24675390124320984,0.4645031690597534,0.2587496340274811,0.3567904531955719,0.4130953550338745
