,what,were,the,origins,of,the,raouliii,family,?
the,0.42745697498321533,0.3906462490558624,1.0,0.2890577018260956,0.733189046382904,1.0,0.2576092481613159,0.2394849956035614,0.22068053483963013
comnenian,0.21490493416786194,0.1855502873659134,0.2633216679096222,0.22368495166301727,0.26879507303237915,0.2633216679096222,0.4603080153465271,0.15892888605594635,0.2571628987789154
restoration,0.26403358578681946,0.26159101724624634,0.3766564130783081,0.2306211292743683,0.3782297372817993,0.3766564130783081,0.1789660006761551,0.1279020458459854,0.16668665409088135
",",0.3087472915649414,0.36755475401878357,0.4933079481124878,0.257002055644989,0.4946078956127167,0.4933079481124878,0.3752804100513458,0.22142739593982697,0.31091248989105225
when,0.4700249433517456,0.29649975895881653,0.5091903209686279,0.11178483814001083,0.3757161796092987,0.5091903209686279,0.2525608539581299,0.2021179050207138,0.22841128706932068
byzantine,0.14889906346797943,0.19073346257209778,0.20800244808197021,0.14924770593643188,0.20621167123317719,0.20800244808197021,0.34669941663742065,0.09591154754161835,0.21581105887889862
emperors,0.2092321366071701,0.32265302538871765,0.3175390362739563,0.18994131684303284,0.3114609718322754,0.3175390362739563,0.25459378957748413,0.21903668344020844,0.20214810967445374
were,0.22298263013362885,1.0000001192092896,0.3906462490558624,0.18461564183235168,0.34038281440734863,0.3906462490558624,0.2511219382286072,0.19354695081710815,0.17890112102031708
seeking,0.20790332555770874,0.11754942685365677,0.27082350850105286,0.2542562782764435,0.2694380283355713,0.27082350850105286,0.1122250109910965,0.08446823060512543,0.21199938654899597
out,0.3633197546005249,0.3354760408401489,0.39404502511024475,0.19261370599269867,0.34176841378211975,0.39404502511024475,0.18546812236309052,0.11229555308818817,0.22020699083805084
western,0.2454150915145874,0.22601988911628723,0.37920868396759033,0.1505306363105774,0.32974064350128174,0.37920868396759033,0.201114684343338,0.16642962396144867,0.17439141869544983
european,0.15324164927005768,0.21272888779640198,0.3423081040382385,0.29651275277137756,0.2507138252258301,0.3423081040382385,0.23914657533168793,0.2228943109512329,0.14560863375663757
warriors,0.1467517614364624,0.2614244818687439,0.25818830728530884,0.19383244216442108,0.1841460019350052,0.25818830728530884,0.16419297456741333,0.05777857452630997,0.10605888813734055
.,0.3567904531955719,0.3378238379955292,0.5934505462646484,0.1620374470949173,0.5352458953857422,0.5934505462646484,0.32263296842575073,0.24114800989627838,0.4130953550338745
,what,were,the,origins,of,the,raouliii,family,?
the,0.42745697498321533,0.3906462490558624,1.0,0.2890577018260956,0.733189046382904,1.0,0.2576092481613159,0.2394849956035614,0.22068053483963013
raoulii,0.14081116020679474,0.22751031816005707,0.23945730924606323,0.20459185540676117,0.25118494033813477,0.23945730924606323,0.9666297435760498,0.2884499132633209,0.17619171738624573
were,0.22298263013362885,1.0000001192092896,0.3906462490558624,0.18461564183235168,0.34038281440734863,0.3906462490558624,0.2511219382286072,0.19354695081710815,0.17890112102031708
descended,0.20182840526103973,0.31485551595687866,0.2755005657672882,0.42966392636299133,0.3058927059173584,0.2755005657672882,0.26316770911216736,0.3332773447036743,0.1283303201198578
from,0.2737620174884796,0.29991888999938965,0.40150508284568787,0.20566615462303162,0.4249346852302551,0.40150508284568787,0.20154748857021332,0.20632237195968628,0.19969791173934937
an,0.2821882665157318,0.08893381804227829,0.4207492768764496,0.157449409365654,0.32280945777893066,0.4207492768764496,0.28869855403900146,0.12101688235998154,0.19793890416622162
italo-norman,0.18220755457878113,0.24834397435188293,0.3058348000049591,0.3418734073638916,0.2726858854293823,0.3058348000049591,0.4420774281024933,0.25608116388320923,0.18864989280700684
named,0.1525408923625946,0.20632974803447723,0.3521348536014557,0.13814318180084229,0.2820465862751007,0.3521348536014557,0.28720682859420776,0.1738094985485077,0.1297498345375061
raoul,0.10912086814641953,0.19011852145195007,0.16875003278255463,0.167541965842247,0.18400339782238007,0.16875003278255463,0.8018763065338135,0.18757203221321106,0.1258176863193512
",",0.3087472915649414,0.36755475401878357,0.4933079481124878,0.257002055644989,0.4946078956127167,0.4933079481124878,0.3752804100513458,0.22142739593982697,0.31091248989105225
the,0.42745697498321533,0.3906462490558624,1.0,0.2890577018260956,0.733189046382904,1.0,0.2576092481613159,0.2394849956035614,0.22068053483963013
petraliphae,0.23110462725162506,0.24021553993225098,0.28451353311538696,0.24491684138774872,0.3052644431591034,0.28451353311538696,0.4470648467540741,0.22268907725811005,0.2398582249879837
were,0.22298263013362885,1.0000001192092896,0.3906462490558624,0.18461564183235168,0.34038281440734863,0.3906462490558624,0.2511219382286072,0.19354695081710815,0.17890112102031708
descended,0.20182840526103973,0.31485551595687866,0.2755005657672882,0.42966392636299133,0.3058927059173584,0.2755005657672882,0.26316770911216736,0.3332773447036743,0.1283303201198578
from,0.2737620174884796,0.29991888999938965,0.40150508284568787,0.20566615462303162,0.4249346852302551,0.40150508284568787,0.20154748857021332,0.20632237195968628,0.19969791173934937
a,0.3320399522781372,0.17203083634376526,0.5829201340675354,0.1583317220211029,0.5052502155303955,0.5829201340675354,0.29078710079193115,0.24362227320671082,0.23916715383529663
pierre,0.129045307636261,0.152438685297966,0.19442830979824066,0.1374993473291397,0.16238592565059662,0.19442830979824066,0.4196507930755615,0.10674837976694107,0.16526779532432556
d'aulps,0.2833036482334137,0.3196815848350525,0.3114627003669739,0.09731833636760712,0.22386889159679413,0.3114627003669739,0.32038065791130066,0.15736037492752075,0.2785091698169708
",",0.3087472915649414,0.36755475401878357,0.4933079481124878,0.257002055644989,0.4946078956127167,0.4933079481124878,0.3752804100513458,0.22142739593982697,0.31091248989105225
and,0.31309178471565247,0.42175528407096863,0.5171257257461548,0.21966230869293213,0.5116966962814331,0.5171257257461548,0.28356751799583435,0.23506124317646027,0.20544172823429108
that,0.6297725439071655,0.35517072677612305,0.5473989248275757,0.2644680440425873,0.41498205065727234,0.5473989248275757,0.1725544035434723,0.2221977561712265,0.32716336846351624
group,0.2114069163799286,0.2810588777065277,0.30795547366142273,0.2009701281785965,0.25542253255844116,0.30795547366142273,0.200525164604187,0.303510457277298,0.13827809691429138
of,0.33290785551071167,0.34038281440734863,0.733189046382904,0.2670811712741852,1.0,0.733189046382904,0.2739048898220062,0.1893671154975891,0.1826142966747284
albanian,0.09770507365465164,0.13111960887908936,0.19345451891422272,0.1841752678155899,0.2092045396566391,0.19345451891422272,0.26944586634635925,0.11397965252399445,0.10622511059045792
clans,0.21558311581611633,0.2857859432697296,0.3148679733276367,0.33778804540634155,0.2845551371574402,0.3148679733276367,0.20803698897361755,0.21457436680793762,0.1368861049413681
known,0.20381177961826324,0.2330206036567688,0.3624623417854309,0.2869893014431,0.35814476013183594,0.3624623417854309,0.2985388934612274,0.20550952851772308,0.18314571678638458
as,0.31749409437179565,0.3025437891483307,0.48381632566452026,0.21491949260234833,0.3886612355709076,0.48381632566452026,0.2849673628807068,0.21415938436985016,0.27043893933296204
the,0.42745697498321533,0.3906462490558624,1.0,0.2890577018260956,0.733189046382904,1.0,0.2576092481613159,0.2394849956035614,0.22068053483963013
maniakates,0.29415279626846313,0.23037493228912354,0.29612836241722107,0.21828971803188324,0.25952786207199097,0.29612836241722107,0.2915734648704529,0.3051694929599762,0.2725397050380707
were,0.22298263013362885,1.0000001192092896,0.3906462490558624,0.18461564183235168,0.34038281440734863,0.3906462490558624,0.2511219382286072,0.19354695081710815,0.17890112102031708
descended,0.20182840526103973,0.31485551595687866,0.2755005657672882,0.42966392636299133,0.3058927059173584,0.2755005657672882,0.26316770911216736,0.3332773447036743,0.1283303201198578
from,0.2737620174884796,0.29991888999938965,0.40150508284568787,0.20566615462303162,0.4249346852302551,0.40150508284568787,0.20154748857021332,0.20632237195968628,0.19969791173934937
normans,0.15760394930839539,0.3239026367664337,0.2781367897987366,0.23379889130592346,0.2173461765050888,0.2781367897987366,0.364359050989151,0.18786297738552094,0.12354589998722076
who,0.40942975878715515,0.3188014328479767,0.3733934462070465,0.12711016833782196,0.2827862501144409,0.3733934462070465,0.3215310275554657,0.23428858816623688,0.26220351457595825
served,0.1271134465932846,0.22793364524841309,0.25209251046180725,0.12046371400356293,0.2967056334018707,0.25209251046180725,0.2265125960111618,0.11706506460905075,0.117141492664814
under,0.20154598355293274,0.28293636441230774,0.3348022699356079,0.12861379981040955,0.32766106724739075,0.3348022699356079,0.20414982736110687,0.1224670484662056,0.18233340978622437
george,0.22000353038311005,0.1725086271762848,0.2510760426521301,0.09121667593717575,0.22097964584827423,0.2510760426521301,0.3094567060470581,0.15185387432575226,0.1479024887084961
maniaces,0.15813182294368744,0.21026426553726196,0.2743891179561615,0.1935926228761673,0.2644639313220978,0.2743891179561615,0.39108455181121826,0.24036042392253876,0.21247419714927673
in,0.30808621644973755,0.3815755248069763,0.6662389636039734,0.21701936423778534,0.5696388483047485,0.6662389636039734,0.2438686043024063,0.2165997177362442,0.20430970191955566
the,0.42745697498321533,0.3906462490558624,1.0,0.2890577018260956,0.733189046382904,1.0,0.2576092481613159,0.2394849956035614,0.22068053483963013
sicilian,0.10597997158765793,0.11017058789730072,0.21240513026714325,0.24296869337558746,0.23206602036952972,0.21240513026714325,0.3340964913368225,0.2183639258146286,0.12409627437591553
expedition,0.19300568103790283,0.19459939002990723,0.26213887333869934,0.1557224690914154,0.18468376994132996,0.26213887333869934,0.27550408244132996,0.14596083760261536,0.10355690121650696
of,0.33290785551071167,0.34038281440734863,0.733189046382904,0.2670811712741852,1.0,0.733189046382904,0.2739048898220062,0.1893671154975891,0.1826142966747284
1038,0.11447738856077194,-0.035472143441438675,0.03338164463639259,0.046407196670770645,0.04083589091897011,0.03338164463639259,0.07701186090707779,0.026524808257818222,0.1687714010477066
.,0.3567904531955719,0.3378238379955292,0.5934505462646484,0.1620374470949173,0.5352458953857422,0.5934505462646484,0.32263296842575073,0.24114800989627838,0.4130953550338745
