,when,was,the,edict,of,worms,presented,?
his,0.37120407819747925,0.4405253231525421,0.4394008219242096,0.19334572553634644,0.38364991545677185,0.13887657225131989,0.27206429839134216,0.18075084686279297
literature,0.177263081073761,0.22508908808231354,0.2611817419528961,0.1656453013420105,0.25150051712989807,0.05345262587070465,0.2428549975156784,0.2043706774711609
",",0.36674630641937256,0.45456063747406006,0.4933079481124878,0.14357776939868927,0.4946078956127167,0.25400060415267944,0.28443270921707153,0.31091248989105225
and,0.4716290831565857,0.3740963041782379,0.5171257257461548,0.1510496437549591,0.5116966962814331,0.21296177804470062,0.26139622926712036,0.20544172823429108
requiring,0.22690659761428833,0.06839247047901154,0.23401294648647308,0.18193747103214264,0.26946085691452026,0.13432084023952484,0.19531624019145966,0.19080378115177155
his,0.37120407819747925,0.4405253231525421,0.4394008219242096,0.19334572553634644,0.38364991545677185,0.13887657225131989,0.27206429839134216,0.18075084686279297
arrest,0.20088283717632294,0.2724606692790985,0.20406219363212585,0.27454280853271484,0.21176666021347046,0.08646124601364136,0.13983653485774994,0.1830197125673294
:,-0.04432349652051926,0.002802103292196989,-0.03403344005346298,-0.06543267518281937,-0.08807745575904846,-0.0861433744430542,-0.005494259297847748,-0.07156077772378922
``,0.07174111902713776,-0.012679691426455975,0.029072100296616554,0.04171961545944214,0.06780257821083069,0.052946798503398895,-0.09873887151479721,0.0685480609536171
we,0.30587899684906006,0.16542018949985504,0.3206169009208679,0.19693998992443085,0.2769293785095215,0.16545653343200684,0.19398409128189087,0.535264790058136
want,0.3301641345024109,0.21886487305164337,0.3003826439380646,0.17001649737358093,0.2645295262336731,0.17106038331985474,0.16708685457706451,0.44783785939216614
him,0.4087010324001312,0.3675798773765564,0.39213326573371887,0.24606303870677948,0.2764812409877777,0.15958890318870544,0.2363734245300293,0.23943768441677094
to,0.5423505902290344,0.3636345863342285,0.535392165184021,0.22104638814926147,0.41548454761505127,0.18428558111190796,0.24592746794223785,0.29463258385658264
be,0.4451393485069275,0.42228707671165466,0.4248143136501312,0.20309337973594666,0.33904364705085754,0.21445894241333008,0.23645514249801636,0.3324260413646698
apprehended,0.19186612963676453,0.3157327473163605,0.24449101090431213,0.2838725745677948,0.22145986557006836,0.10162360966205597,0.3016206622123718,0.20402367413043976
and,0.4716290831565857,0.3740963041782379,0.5171257257461548,0.1510496437549591,0.5116966962814331,0.21296177804470062,0.26139622926712036,0.20544172823429108
punished,0.264311283826828,0.2231297343969345,0.21386884152889252,0.31676167249679565,0.19932740926742554,0.17929130792617798,0.20605406165122986,0.23893512785434723
as,0.4437963366508484,0.3677520453929901,0.48381632566452026,0.1445269137620926,0.3886612355709076,0.14256945252418518,0.27148348093032837,0.27043893933296204
a,0.44397395849227905,0.4508470594882965,0.5829201340675354,0.08005005121231079,0.5052502155303955,0.24081920087337494,0.24034897983074188,0.23916715383529663
notorious,0.17934803664684296,0.2070370465517044,0.23117510974407196,0.16059748828411102,0.22960858047008514,0.1468057483434677,0.19017629325389862,0.21345876157283783
heretic,0.20668448507785797,0.243241086602211,0.24499306082725525,0.4286843240261078,0.22094519436359406,0.2550789415836334,0.07331296801567078,0.1706521213054657
.,0.475719153881073,0.40146201848983765,0.5934505462646484,0.1859036087989807,0.5352458953857422,0.24195295572280884,0.2494649887084961,0.4130953550338745
'',-0.07688097655773163,0.04456103965640068,0.041273195296525955,0.07895470410585403,0.13035868108272552,-0.06263914704322815,-0.02615985833108425,0.018684765323996544
