,which,group,has,two,layers,of,cells,with,a,middle,layer,of,mesoglea,?
in,0.4840516746044159,0.2304753065109253,0.4173259735107422,0.36463531851768494,0.1537681668996811,0.5696388483047485,0.1711641103029251,0.4080928862094879,0.539380669593811,0.26767921447753906,0.17848193645477295,0.5696388483047485,0.23383210599422455,0.20430970191955566
cnidarians,0.38001200556755066,0.3440832495689392,0.17727592587471008,0.2748662829399109,0.3724480867385864,0.2785923480987549,0.47849786281585693,0.2120993435382843,0.25800085067749023,0.22126635909080505,0.2857544720172882,0.2785923480987549,0.49225127696990967,0.18796975910663605
and,0.506277859210968,0.3510662019252777,0.43716782331466675,0.4671151638031006,0.2688858211040497,0.5116966962814331,0.24033623933792114,0.5477725267410278,0.3739250600337982,0.2514324486255646,0.2740338444709778,0.5116966962814331,0.3101946711540222,0.20544172823429108
ctenophores,0.37328192591667175,0.28355246782302856,0.16783113777637482,0.21687746047973633,0.3478063941001892,0.2626190483570099,0.5050276517868042,0.17838598787784576,0.25153061747550964,0.21558667719364166,0.3644670248031616,0.2626190483570099,0.54264235496521,0.2054179310798645
;,-0.01244901679456234,0.10666380822658539,0.05589579790830612,0.04032390937209129,0.027483511716127396,0.054534342139959335,0.02023681066930294,0.12944702804088593,-0.02122584730386734,0.08150403946638107,0.05403910204768181,0.054534342139959335,0.07954824715852737,0.10349778085947037
more,0.4639437198638916,0.22754761576652527,0.3442428410053253,0.36959168314933777,0.21397578716278076,0.30478984117507935,0.23931537568569183,0.3535402715206146,0.3452818691730499,0.14178451895713806,0.19720125198364258,0.30478984117507935,0.24682138860225677,0.27894994616508484
complex,0.36717817187309265,0.17428533732891083,0.2333638072013855,0.21275268495082855,0.26621878147125244,0.24271073937416077,0.2291174829006195,0.20446904003620148,0.26552852988243103,0.1001058891415596,0.18998439610004425,0.24271073937416077,0.2697288691997528,0.17752902209758759
animals,0.34123191237449646,0.231040358543396,0.19832547008991241,0.20801381766796112,0.23814770579338074,0.2599885165691376,0.37981998920440674,0.22077065706253052,0.2420264482498169,0.14227084815502167,0.21331822872161865,0.2599885165691376,0.37399622797966003,0.16430135071277618
have,0.49652695655822754,0.3034582734107971,0.6353569626808167,0.4498785734176636,0.2891051769256592,0.3802283704280853,0.294906347990036,0.48046383261680603,0.338716596364975,0.2068544626235962,0.2182634174823761,0.3802283704280853,0.3461840748786926,0.32991164922714233
three,0.40919098258018494,0.27374130487442017,0.3388388752937317,0.8359169363975525,0.1842283010482788,0.3844621181488037,0.1782200038433075,0.35964319109916687,0.3025658130645752,0.21246233582496643,0.13295996189117432,0.3844621181488037,0.17460015416145325,0.20928427577018738
main,0.37042954564094543,0.20057010650634766,0.26405781507492065,0.3178617060184479,0.17058615386486053,0.3177044689655304,0.12159634381532669,0.1962798684835434,0.27217230200767517,0.2865397036075592,0.12014645338058472,0.3177044689655304,0.17001645267009735,0.1665669083595276
cell,0.26335951685905457,0.16424009203910828,0.11774510145187378,0.19977085292339325,0.2760987877845764,0.18332023918628693,0.7729857563972473,0.21242906153202057,0.21525812149047852,0.11736270040273666,0.3455114960670471,0.18332023918628693,0.283915251493454,0.2058541625738144
layers,0.36429905891418457,0.165462926030159,0.1652018427848816,0.22482997179031372,0.9999999403953552,0.24201519787311554,0.38396668434143066,0.22246935963630676,0.22045712172985077,0.23006600141525269,0.7790859341621399,0.24201519787311554,0.42062070965766907,0.09622068703174591
and,0.506277859210968,0.3510662019252777,0.43716782331466675,0.4671151638031006,0.2688858211040497,0.5116966962814331,0.24033623933792114,0.5477725267410278,0.3739250600337982,0.2514324486255646,0.2740338444709778,0.5116966962814331,0.3101946711540222,0.20544172823429108
no,0.32479003071784973,0.17740367352962494,0.2747333347797394,0.2451084703207016,0.15079276263713837,0.24809792637825012,0.17989303171634674,0.24678650498390198,0.26280897855758667,0.13431201875209808,0.132449209690094,0.24809792637825012,0.21766690909862518,0.32165053486824036
intermediate,0.39997056126594543,0.2959151268005371,0.16484735906124115,0.30905881524086,0.24564407765865326,0.3218260109424591,0.2851589024066925,0.2877047657966614,0.287841260433197,0.2657224237918854,0.2218020260334015,0.3218260109424591,0.38154226541519165,0.11814447492361069
jelly-like,0.34890639781951904,0.30099305510520935,0.20778684318065643,0.2927282452583313,0.2691308259963989,0.2562723159790039,0.33205050230026245,0.30742347240448,0.29739120602607727,0.21372349560260773,0.30042824149131775,0.2562723159790039,0.36178699135780334,0.22595955431461334
layer,0.31222137808799744,0.14739614725112915,0.17893092334270477,0.15363800525665283,0.7790859341621399,0.19074802100658417,0.3699508011341095,0.19762569665908813,0.2366863191127777,0.20802466571331024,0.9999998807907104,0.19074802100658417,0.3790416121482849,0.11266916990280151
.,0.45942068099975586,0.27268800139427185,0.4105546176433563,0.3524959683418274,0.16325189173221588,0.5352458953857422,0.2868211269378662,0.4446153938770294,0.50484299659729,0.2989427447319031,0.18235068023204803,0.5352458953857422,0.2893419861793518,0.4130953550338745
