,who,was,responsible,for,the,decorations,of,the,grill,room,?
consist,0.07726648449897766,0.147686168551445,0.2638418972492218,0.24294069409370422,0.2698076069355011,0.22142848372459412,0.34433460235595703,0.2698076069355011,0.16350696980953217,0.14470142126083374,0.04707268625497818
of,0.2827862501144409,0.4069072902202606,0.37070101499557495,0.4185989499092102,0.733189046382904,0.29008445143699646,1.0,0.733189046382904,0.11435924470424652,0.15195634961128235,0.1826142966747284
blue,0.1325749307870865,0.15539668500423431,0.11504872888326645,0.20842581987380981,0.2734997570514679,0.23323340713977814,0.23528409004211426,0.2734997570514679,0.18767139315605164,0.18859486281871796,0.15668673813343048
and,0.41279885172843933,0.3740963041782379,0.29945531487464905,0.5064792633056641,0.5171257257461548,0.3069160282611847,0.5116966962814331,0.5171257257461548,0.23996113240718842,0.2611854374408722,0.20544172823429108
white,0.19768168032169342,0.17150278389453888,0.15708211064338684,0.17847545444965363,0.25492873787879944,0.22272470593452454,0.23826628923416138,0.25492873787879944,0.18960519134998322,0.21775978803634644,0.124679796397686
tiles,0.18393318355083466,0.12181083112955093,0.08809065818786621,0.28305238485336304,0.2661578357219696,0.48081204295158386,0.23073488473892212,0.2661578357219696,0.26038694381713867,0.3405955135822296,0.15223388373851776
with,0.3282766342163086,0.27411898970603943,0.1930297166109085,0.39140474796295166,0.4223487675189972,0.25542816519737244,0.41827285289764404,0.4223487675189972,0.2131642997264862,0.27120691537857056,0.2433311939239502
various,0.21537287533283234,0.14120686054229736,0.2007424384355545,0.3578505516052246,0.3235042691230774,0.39822453260421753,0.3196488320827484,0.3235042691230774,0.2292151153087616,0.18257100880146027,0.12823495268821716
figures,0.2154833972454071,0.22765325009822845,0.19840049743652344,0.20523646473884583,0.2664589285850525,0.39184755086898804,0.2761554718017578,0.2664589285850525,0.12116575986146927,0.16472338140010834,0.15584851801395416
and,0.41279885172843933,0.3740963041782379,0.29945531487464905,0.5064792633056641,0.5171257257461548,0.3069160282611847,0.5116966962814331,0.5171257257461548,0.23996113240718842,0.2611854374408722,0.20544172823429108
foliage,0.11168088018894196,0.04525384679436684,0.11655973643064499,0.14486122131347656,0.22486385703086853,0.29548799991607666,0.22030767798423767,0.22486385703086853,0.27410778403282166,0.22241367399692535,0.20550402998924255
enclosed,0.04782070592045784,0.11202684044837952,0.1370181441307068,0.16304820775985718,0.2709352374076843,0.31955328583717346,0.20824147760868073,0.2709352374076843,0.2172597050666809,0.23433434963226318,0.10430170595645905
by,0.39727845788002014,0.4752357602119446,0.3226776123046875,0.3248702883720398,0.4408751428127289,0.22825977206230164,0.3646814823150635,0.4408751428127289,0.15681138634681702,0.17154745757579803,0.17966607213020325
wood,0.14688429236412048,0.19174276292324066,0.10759079456329346,0.199520543217659,0.23035094141960144,0.28058940172195435,0.22215111553668976,0.23035094141960144,0.27762454748153687,0.17632126808166504,0.1346656233072281
panelling,0.2831772267818451,0.28775086998939514,0.2549041211605072,0.3125331997871399,0.3170285224914551,0.2968297302722931,0.290462464094162,0.3170285224914551,0.2978527545928955,0.3868062496185303,0.2005821317434311
",",0.3365725874900818,0.45456063747406006,0.2192283272743225,0.4464869201183319,0.4933079481124878,0.2831108868122101,0.4946078956127167,0.4933079481124878,0.26493722200393677,0.1888306885957718,0.31091248989105225
above,0.1116432398557663,0.11464940011501312,0.12637226283550262,0.23925727605819702,0.33988961577415466,0.2593774199485779,0.24890293180942535,0.33988961577415466,0.14836490154266357,0.20214448869228363,0.2521739900112152
there,0.2844357192516327,0.24909798800945282,0.22266890108585358,0.3728419542312622,0.47025805711746216,0.1944667398929596,0.44397735595703125,0.47025805711746216,0.14545823633670807,0.28043049573898315,0.29405656456947327
are,0.27294138073921204,0.3076191842556,0.2889936864376068,0.3895993232727051,0.40399202704429626,0.2932407557964325,0.39081433415412903,0.40399202704429626,0.19207140803337097,0.16457562148571014,0.24591213464736938
large,0.20182651281356812,0.21717436611652374,0.18793490529060364,0.22967137396335602,0.3828733265399933,0.263195663690567,0.3569655418395996,0.3828733265399933,0.2878410220146179,0.24607756733894348,0.1355665624141693
tiled,0.1742691844701767,0.27021294832229614,0.15350474417209625,0.18007506430149078,0.24308207631111145,0.4362426996231079,0.24358338117599487,0.24308207631111145,0.30059313774108887,0.2941180467605591,0.13070428371429443
scenes,0.24678342044353485,0.2693714499473572,0.15098366141319275,0.21301479637622833,0.25766557455062866,0.27031320333480835,0.22366395592689514,0.25766557455062866,0.14704158902168274,0.2970151901245117,0.1263595074415207
with,0.3282766342163086,0.27411898970603943,0.1930297166109085,0.39140474796295166,0.4223487675189972,0.25542816519737244,0.41827285289764404,0.4223487675189972,0.2131642997264862,0.27120691537857056,0.2433311939239502
figures,0.2154833972454071,0.22765325009822845,0.19840049743652344,0.20523646473884583,0.2664589285850525,0.39184755086898804,0.2761554718017578,0.2664589285850525,0.12116575986146927,0.16472338140010834,0.15584851801395416
depicting,0.1765904426574707,0.1858387142419815,0.20251546800136566,0.21183045208454132,0.29021337628364563,0.34868884086608887,0.3379758298397064,0.29021337628364563,0.1589980274438858,0.14884935319423676,0.09648919850587845
the,0.3733934462070465,0.48711544275283813,0.3305104374885559,0.4739971458911896,1.0,0.30381208658218384,0.733189046382904,1.0,0.1894712597131729,0.2031363844871521,0.22068053483963013
four,0.1980169266462326,0.2866098880767822,0.2253807634115219,0.27783235907554626,0.40344667434692383,0.21181990206241608,0.36293646693229675,0.40344667434692383,0.15627247095108032,0.22075800597667694,0.14532537758350372
seasons,0.1471238136291504,0.24377715587615967,0.18118956685066223,0.26410943269729614,0.24226845800876617,0.1759393811225891,0.20746608078479767,0.24226845800876617,0.14839687943458557,0.2037358283996582,0.13766995072364807
and,0.41279885172843933,0.3740963041782379,0.29945531487464905,0.5064792633056641,0.5171257257461548,0.3069160282611847,0.5116966962814331,0.5171257257461548,0.23996113240718842,0.2611854374408722,0.20544172823429108
the,0.3733934462070465,0.48711544275283813,0.3305104374885559,0.4739971458911896,1.0,0.30381208658218384,0.733189046382904,1.0,0.1894712597131729,0.2031363844871521,0.22068053483963013
twelve,0.22181583940982819,0.2661028504371643,0.1705370396375656,0.19891567528247833,0.3255734145641327,0.16735786199569702,0.288763165473938,0.3255734145641327,0.11887034773826599,0.17299878597259521,0.06192852556705475
months,0.2560766637325287,0.30324822664260864,0.2081945389509201,0.32226935029029846,0.2680157423019409,0.1656549870967865,0.22298860549926758,0.2680157423019409,0.10232207179069519,0.18872661888599396,0.2804218530654907
these,0.34544891119003296,0.19784674048423767,0.3023015856742859,0.41566818952560425,0.49086877703666687,0.3747185468673706,0.42684608697891235,0.49086877703666687,0.18551334738731384,0.13142141699790955,0.2571668326854706
were,0.3188014328479767,0.590133786201477,0.2653166949748993,0.33592689037323,0.3906462490558624,0.3123782277107239,0.34038281440734863,0.3906462490558624,0.10341405123472214,0.18205173313617706,0.17890112102031708
painted,0.19521427154541016,0.2505439817905426,0.11326882243156433,0.17847150564193726,0.18695808947086334,0.3839215338230133,0.21165502071380615,0.18695808947086334,0.23004218935966492,0.2695990204811096,0.13457663357257843
by,0.39727845788002014,0.4752357602119446,0.3226776123046875,0.3248702883720398,0.4408751428127289,0.22825977206230164,0.3646814823150635,0.4408751428127289,0.15681138634681702,0.17154745757579803,0.17966607213020325
ladies,0.26430270075798035,0.20680278539657593,0.08608978986740112,0.22558343410491943,0.23744796216487885,0.28695252537727356,0.18976238369941711,0.23744796216487885,0.12019824981689453,0.26229673624038696,0.1680264174938202
from,0.27839982509613037,0.31171464920043945,0.23926092684268951,0.314039945602417,0.40150508284568787,0.1351204216480255,0.4249346852302551,0.40150508284568787,0.0982670858502388,0.1557224541902542,0.19969791173934937
the,0.3733934462070465,0.48711544275283813,0.3305104374885559,0.4739971458911896,1.0,0.30381208658218384,0.733189046382904,1.0,0.1894712597131729,0.2031363844871521,0.22068053483963013
art,0.14986436069011688,0.20564036071300507,0.12328383326530457,0.21690402925014496,0.20297785103321075,0.3187818229198456,0.22648051381111145,0.20297785103321075,0.18237383663654327,0.18311728537082672,0.138971745967865
school,0.21669194102287292,0.25740107893943787,0.15696056187152863,0.18618352711200714,0.22953221201896667,0.15342830121517181,0.2391800880432129,0.22953221201896667,0.16787856817245483,0.1817387491464615,0.15091250836849213
then,0.29952746629714966,0.27044644951820374,0.15271256864070892,0.3392637073993683,0.4297412931919098,0.14067895710468292,0.2937326431274414,0.4297412931919098,0.14415498077869415,0.24650372564792633,0.2884598970413208
based,0.20479141175746918,0.2870393395423889,0.22396846115589142,0.2761107087135315,0.29860720038414,0.08676325529813766,0.3033197224140167,0.29860720038414,0.11269344389438629,0.10629814863204956,0.134929820895195
in,0.2792111933231354,0.45514053106307983,0.24309778213500977,0.4322226941585541,0.6662389636039734,0.2234204262495041,0.5696388483047485,0.6662389636039734,0.13841138780117035,0.19083113968372345,0.20430970191955566
the,0.3733934462070465,0.48711544275283813,0.3305104374885559,0.4739971458911896,1.0,0.30381208658218384,0.733189046382904,1.0,0.1894712597131729,0.2031363844871521,0.22068053483963013
museum,0.14649315178394318,0.21266788244247437,0.10135886818170547,0.15718214213848114,0.24861779808998108,0.23085591197013855,0.23314370214939117,0.24861779808998108,0.1651114672422409,0.22069092094898224,0.14128351211547852
",",0.3365725874900818,0.45456063747406006,0.2192283272743225,0.4464869201183319,0.4933079481124878,0.2831108868122101,0.4946078956127167,0.4933079481124878,0.26493722200393677,0.1888306885957718,0.31091248989105225
the,0.3733934462070465,0.48711544275283813,0.3305104374885559,0.4739971458911896,1.0,0.30381208658218384,0.733189046382904,1.0,0.1894712597131729,0.2031363844871521,0.22068053483963013
windows,0.1621350347995758,0.19288912415504456,0.18304824829101562,0.23403164744377136,0.23561708629131317,0.3069518804550171,0.1744781881570816,0.23561708629131317,0.22690744698047638,0.3104577958583832,0.17412035167217255
are,0.27294138073921204,0.3076191842556,0.2889936864376068,0.3895993232727051,0.40399202704429626,0.2932407557964325,0.39081433415412903,0.40399202704429626,0.19207140803337097,0.16457562148571014,0.24591213464736938
also,0.47919341921806335,0.4032125174999237,0.2941048741340637,0.5373267531394958,0.6021018624305725,0.28202322125434875,0.4924938678741455,0.6021018624305725,0.24151824414730072,0.237842857837677,0.21848613023757935
stained,0.11618690937757492,0.28364697098731995,0.1272411197423935,0.21819286048412323,0.22115890681743622,0.357107549905777,0.26446273922920227,0.22115890681743622,0.21269722282886505,0.3165079653263092,0.12071109563112259
glass,0.19077414274215698,0.18738797307014465,0.1223769336938858,0.2755418121814728,0.20646950602531433,0.36345773935317993,0.24470314383506775,0.20646950602531433,0.27588075399398804,0.3513912260532379,0.1252557635307312
",",0.3365725874900818,0.45456063747406006,0.2192283272743225,0.4464869201183319,0.4933079481124878,0.2831108868122101,0.4946078956127167,0.4933079481124878,0.26493722200393677,0.1888306885957718,0.31091248989105225
there,0.2844357192516327,0.24909798800945282,0.22266890108585358,0.3728419542312622,0.47025805711746216,0.1944667398929596,0.44397735595703125,0.47025805711746216,0.14545823633670807,0.28043049573898315,0.29405656456947327
is,0.24293622374534607,0.5810302495956421,0.24123810231685638,0.43268078565597534,0.5823672413825989,0.14526095986366272,0.4854315221309662,0.5823672413825989,0.19920311868190765,0.21233920753002167,0.22961433231830597
an,0.2848317325115204,0.3694365322589874,0.20550402998924255,0.3236706852912903,0.4207492768764496,0.10614337772130966,0.32280945777893066,0.4207492768764496,0.1626761555671692,0.2011217176914215,0.19793890416622162
elaborate,0.12613192200660706,0.1542692482471466,0.18907403945922852,0.2565155327320099,0.19134382903575897,0.38080745935440063,0.17794083058834076,0.19134382903575897,0.23174305260181427,0.30362018942832947,0.25397607684135437
cast-iron,0.3291795551776886,0.32022807002067566,0.14818036556243896,0.2779364585876465,0.36279067397117615,0.16369344294071198,0.3165339231491089,0.36279067397117615,0.12447170168161392,0.18638737499713898,0.17416292428970337
grill,0.12926697731018066,0.15127204358577728,0.10619295388460159,0.17798912525177002,0.1894712597131729,0.27389785647392273,0.11435924470424652,0.1894712597131729,1.0,0.21476922929286957,0.18899814784526825
still,0.3870375156402588,0.3328092098236084,0.23477678000926971,0.37984156608581543,0.40142056345939636,0.2558373510837555,0.3288819193840027,0.40142056345939636,0.20010985434055328,0.22530293464660645,0.3039587736129761
in,0.2792111933231354,0.45514053106307983,0.24309778213500977,0.4322226941585541,0.6662389636039734,0.2234204262495041,0.5696388483047485,0.6662389636039734,0.13841138780117035,0.19083113968372345,0.20430970191955566
place,0.22742493450641632,0.26867109537124634,0.1930382251739502,0.3033463954925537,0.4179787337779999,0.18439023196697235,0.2685627043247223,0.4179787337779999,0.12449352443218231,0.28256601095199585,0.2455766350030899
.,0.3541337847709656,0.40146201848983765,0.2309054434299469,0.4726039469242096,0.5934505462646484,0.2727060914039612,0.5352458953857422,0.5934505462646484,0.17784498631954193,0.22915366291999817,0.4130953550338745
