,what,molecules,are,parts,of,the,body,of,an,organism,in,immunology,?
body,0.2143840193748474,0.3708445727825165,0.2451179027557373,0.3109573721885681,0.25063133239746094,0.31682634353637695,1.0,0.25063133239746094,0.22158053517341614,0.3914591073989868,0.2549867033958435,0.2798084318637848,0.20136451721191406
that,0.6297725439071655,0.29100579023361206,0.45265161991119385,0.3359212577342987,0.41498205065727234,0.5473989248275757,0.32291916012763977,0.41498205065727234,0.365763783454895,0.30370086431503296,0.435920387506485,0.23427093029022217,0.32716336846351624
can,0.34502777457237244,0.376198410987854,0.5408529043197632,0.29124873876571655,0.2603091299533844,0.312528520822525,0.2680990397930145,0.2603091299533844,0.23671309649944305,0.29884830117225647,0.26527702808380127,0.1873319447040558,0.3226337134838104
be,0.3929833769798279,0.307099312543869,0.5556803941726685,0.2912704348564148,0.33904364705085754,0.4248143136501312,0.28826382756233215,0.33904364705085754,0.33041056990623474,0.27493172883987427,0.3481820821762085,0.1855054348707199,0.3324260413646698
distinguished,0.1610289216041565,0.20882061123847961,0.20966103672981262,0.11510234326124191,0.2957158386707306,0.23548999428749084,0.17794544994831085,0.2957158386707306,0.17979346215724945,0.23262743651866913,0.23769603669643402,0.2737855017185211,0.08062640577554703
from,0.2737620174884796,0.19782225787639618,0.2674213647842407,0.2734678387641907,0.4249346852302551,0.40150508284568787,0.16964858770370483,0.4249346852302551,0.20876385271549225,0.16779635846614838,0.4274188280105591,0.15950441360473633,0.19969791173934937
foreign,0.1784719079732895,0.22043973207473755,0.18581871688365936,0.0708170235157013,0.25741127133369446,0.2946566939353943,0.17195117473602295,0.25741127133369446,0.17563144862651825,0.20188261568546295,0.23181180655956268,0.27049723267555237,0.13770383596420288
substances,0.2663726210594177,0.5941070318222046,0.38777267932891846,0.3455124497413635,0.2613070607185364,0.27348068356513977,0.3728868067264557,0.2613070607185364,0.1865035444498062,0.4642491936683655,0.2591451108455658,0.4443918764591217,0.19339443743228912
by,0.2455483376979828,0.22475433349609375,0.37842893600463867,0.233709454536438,0.3646814823150635,0.4408751428127289,0.23696592450141907,0.3646814823150635,0.2719563841819763,0.15555140376091003,0.370934396982193,0.17134758830070496,0.17966607213020325
the,0.42745697498321533,0.2374771386384964,0.40399202704429626,0.4042440354824066,0.733189046382904,1.0,0.31682634353637695,0.733189046382904,0.4207492768764496,0.23149779438972473,0.6662389636039734,0.20720413327217102,0.22068053483963013
immune,0.2410416603088379,0.3475925624370575,0.23878547549247742,0.1387539952993393,0.16620753705501556,0.21364226937294006,0.34409064054489136,0.16620753705501556,0.20370379090309143,0.46061697602272034,0.14682820439338684,0.6809859871864319,0.16080476343631744
system,0.23557309806346893,0.26136019825935364,0.21917270123958588,0.22400003671646118,0.25597915053367615,0.3233085572719574,0.2512437701225281,0.25597915053367615,0.17536801099777222,0.2959426939487457,0.21978288888931274,0.319486141204834,0.15556083619594574
.,0.3567904531955719,0.25748172402381897,0.3452940285205841,0.30755549669265747,0.5352458953857422,0.5934505462646484,0.29751062393188477,0.5352458953857422,0.3581749200820923,0.24682649970054626,0.5591574311256409,0.18007774651050568,0.4130953550338745
