,what,country,'s,schools,have,codes,of,behavior,that,are,very,strict,?
may,0.25739946961402893,0.18514569103717804,-0.07006479054689407,0.1841869205236435,0.35194188356399536,0.20526471734046936,0.26447007060050964,0.20875467360019684,0.4234136641025543,0.3162533640861511,0.2590051591396332,0.18565158545970917,0.2768254578113556
exceed,0.20080645382404327,0.10899097472429276,0.03280748426914215,0.16928735375404358,0.36107465624809265,0.09558746218681335,0.24056902527809143,0.1315675675868988,0.31123974919319153,0.30308470129966736,0.30225491523742676,0.3113242983818054,0.13049276173114777
those,0.44466671347618103,0.21360722184181213,0.10056424140930176,0.26943519711494446,0.5838188529014587,0.2771473228931427,0.37935635447502136,0.23279185593128204,0.5085503458976746,0.6012985706329346,0.37452787160873413,0.28619763255119324,0.3328189253807068
in,0.30808621644973755,0.3040012717247009,-0.037580832839012146,0.2632134258747101,0.36843645572662354,0.2638666331768036,0.5696388483047485,0.13157719373703003,0.435920387506485,0.3841303884983063,0.3209688663482666,0.1768643707036972,0.20430970191955566
western,0.2454150915145874,0.18683478236198425,0.06932425498962402,0.19855496287345886,0.21198882162570953,0.13085684180259705,0.32974064350128174,0.11453942209482193,0.21672776341438293,0.19592507183551788,0.12892098724842072,0.1567671298980713,0.17439141869544983
countries,0.22319257259368896,0.5439597368240356,0.04551587626338005,0.3294385075569153,0.3603367507457733,0.284012109041214,0.2800094783306122,0.16021910309791565,0.31063947081565857,0.35174399614334106,0.2635948657989502,0.2379683256149292,0.15128466486930847
",",0.3087472915649414,0.27878350019454956,-0.0016132977325469255,0.2760516405105591,0.3541618287563324,0.2278735190629959,0.4946078956127167,0.1586613655090332,0.4137537479400635,0.4062570035457611,0.34709087014198303,0.2564427852630615,0.31091248989105225
classroom,0.2124699205160141,0.12205691635608673,-0.04378679767251015,0.43781036138534546,0.2586585581302643,0.23544031381607056,0.18854095041751862,0.2975311875343323,0.2551419138908386,0.2517373561859131,0.18244542181491852,0.20587243139743805,0.23190370202064514
discipline,0.2522185742855072,0.26778045296669006,0.10321207344532013,0.30685627460479736,0.15976078808307648,0.24090194702148438,0.2260950356721878,0.30839651823043823,0.273926705121994,0.12893009185791016,0.25611764192581177,0.3146241307258606,0.06836310029029846
and,0.31309178471565247,0.30884742736816406,0.06895173341035843,0.29319998621940613,0.4711785912513733,0.23982839286327362,0.5116966962814331,0.22840261459350586,0.4731321930885315,0.48576638102531433,0.4546867609024048,0.29981738328933716,0.20544172823429108
behavior,0.3737046718597412,0.1167820617556572,-0.0314609557390213,0.17527413368225098,0.3061774671077728,0.12958383560180664,0.1818811446428299,0.9999999403953552,0.3315574526786804,0.24308620393276215,0.24483096599578857,0.25795596837997437,0.20805177092552185
is,0.28837618231773376,0.24409033358097076,0.02396530658006668,0.2022145688533783,0.3613572418689728,0.23655110597610474,0.4854315221309662,0.194302499294281,0.3995479643344879,0.5330929756164551,0.3671363294124603,0.24165970087051392,0.22961433231830597
highly,0.22724121809005737,0.10938099771738052,0.01938221976161003,0.1664852797985077,0.30218270421028137,0.14240990579128265,0.21906863152980804,0.24051527678966522,0.33355817198753357,0.3284640908241272,0.4806808531284332,0.27155381441116333,0.1542806625366211
problematic,0.45097509026527405,0.1610989272594452,-0.06220944970846176,0.1782936453819275,0.4410446286201477,0.2767406702041626,0.235416978597641,0.39956244826316833,0.4655032753944397,0.32127559185028076,0.3690159022808075,0.30222028493881226,0.3816973865032196
.,0.3567904531955719,0.26130348443984985,-0.003708066651597619,0.2752705216407776,0.41614407300949097,0.22005680203437805,0.5352458953857422,0.262289822101593,0.4460422694683075,0.3452940285205841,0.3872767388820648,0.21986082196235657,0.4130953550338745
