,what,is,the,scottish,parliament,currently,in,the,fourth,of,?
tourism,0.09624189138412476,0.22605954110622406,0.26230889558792114,0.07058506458997726,0.18390610814094543,0.09338288009166718,0.2723471224308014,0.26230889558792114,0.0852365791797638,0.2838558554649353,0.08465105295181274
;,0.10986888408660889,0.05324986204504967,0.09152708947658539,0.01846458949148655,0.03756367042660713,0.02652585878968239,0.092739537358284,0.09152708947658539,0.10649053007364273,0.054534342139959335,0.10349778085947037
education,0.19940856099128723,0.18778188526630402,0.23982903361320496,0.11289883404970169,0.26985180377960205,0.12224594503641129,0.2654339671134949,0.23982903361320496,0.1863071173429489,0.3015166223049164,0.18067774176597595
and,0.31309178471565247,0.3859752118587494,0.5171257257461548,0.2972351908683777,0.26227831840515137,0.2922934591770172,0.4954058527946472,0.5171257257461548,0.27958914637565613,0.5116966962814331,0.20544172823429108
culture,0.22475376725196838,0.22229626774787903,0.27157285809516907,0.14020276069641113,0.2020578384399414,0.048481401056051254,0.2512284517288208,0.27157285809516907,0.09181870520114899,0.27266472578048706,0.13093146681785583
;,0.10986888408660889,0.05324986204504967,0.09152708947658539,0.01846458949148655,0.03756367042660713,0.02652585878968239,0.092739537358284,0.09152708947658539,0.10649053007364273,0.054534342139959335,0.10349778085947037
health,0.21460163593292236,0.1864514946937561,0.2340974360704422,0.12566733360290527,0.20528440177440643,0.1553603559732437,0.2500189542770386,0.2340974360704422,0.13870367407798767,0.28076469898223877,0.16094304621219635
and,0.31309178471565247,0.3859752118587494,0.5171257257461548,0.2972351908683777,0.26227831840515137,0.2922934591770172,0.4954058527946472,0.5171257257461548,0.27958914637565613,0.5116966962814331,0.20544172823429108
sport,0.1305270493030548,0.1922176480293274,0.15650692582130432,0.11387508362531662,0.107172392308712,0.18501195311546326,0.2268456369638443,0.15650692582130432,0.11707977205514908,0.17918744683265686,0.0972188338637352
;,0.10986888408660889,0.05324986204504967,0.09152708947658539,0.01846458949148655,0.03756367042660713,0.02652585878968239,0.092739537358284,0.09152708947658539,0.10649053007364273,0.054534342139959335,0.10349778085947037
justice,0.21462921798229218,0.18458157777786255,0.23470892012119293,0.1432131975889206,0.3090222179889679,0.1380816549062729,0.2678598463535309,0.23470892012119293,0.17758890986442566,0.2658293545246124,0.19269752502441406
;,0.10986888408660889,0.05324986204504967,0.09152708947658539,0.01846458949148655,0.03756367042660713,0.02652585878968239,0.092739537358284,0.09152708947658539,0.10649053007364273,0.054534342139959335,0.10349778085947037
local,0.18981902301311493,0.13173899054527283,0.2130540907382965,0.22555412352085114,0.21984748542308807,0.19223512709140778,0.2223825752735138,0.2130540907382965,0.021274259313941002,0.20668989419937134,0.15022775530815125
government,0.28074538707733154,0.20343491435050964,0.31798112392425537,0.17260609567165375,0.5386218428611755,0.20752812922000885,0.3066793978214264,0.31798112392425537,0.11988157778978348,0.3475167155265808,0.18851417303085327
and,0.31309178471565247,0.3859752118587494,0.5171257257461548,0.2972351908683777,0.26227831840515137,0.2922934591770172,0.4954058527946472,0.5171257257461548,0.27958914637565613,0.5116966962814331,0.20544172823429108
regeneration,0.22060240805149078,0.20627576112747192,0.3351733982563019,0.12363714724779129,0.21148259937763214,0.21084928512573242,0.19745036959648132,0.3351733982563019,0.27786684036254883,0.32214465737342834,0.13848066329956055
;,0.10986888408660889,0.05324986204504967,0.09152708947658539,0.01846458949148655,0.03756367042660713,0.02652585878968239,0.092739537358284,0.09152708947658539,0.10649053007364273,0.054534342139959335,0.10349778085947037
rural,0.19569969177246094,0.2128623127937317,0.18905460834503174,0.16757003962993622,0.2315036952495575,0.13096609711647034,0.31192100048065186,0.18905460834503174,0.08959793299436569,0.23932546377182007,0.11320571601390839
affairs,0.15737071633338928,0.12986713647842407,0.22447159886360168,0.21799065172672272,0.35968029499053955,0.16778337955474854,0.1845564991235733,0.22447159886360168,0.09728571027517319,0.24955187737941742,0.11928717792034149
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.21369139850139618,0.25442883372306824,0.33041635155677795,0.5201468467712402,0.4933079481124878,0.271299809217453,0.4946078956127167,0.31091248989105225
climate,0.2854173183441162,0.26601269841194153,0.2693597674369812,0.02556079439818859,0.13371306657791138,0.1396835446357727,0.24209141731262207,0.2693597674369812,0.09246397018432617,0.25840428471565247,0.19998492300510406
change,0.3690716028213501,0.33028605580329895,0.3641999065876007,0.08757258951663971,0.1613956242799759,0.17713187634944916,0.2510564923286438,0.3641999065876007,0.15160220861434937,0.2569013833999634,0.24115969240665436
and,0.31309178471565247,0.3859752118587494,0.5171257257461548,0.2972351908683777,0.26227831840515137,0.2922934591770172,0.4954058527946472,0.5171257257461548,0.27958914637565613,0.5116966962814331,0.20544172823429108
environment,0.213022843003273,0.2787531912326813,0.25819888710975647,0.1794285923242569,0.20187470316886902,0.1921113133430481,0.2854640781879425,0.25819888710975647,0.0704994946718216,0.2659151554107666,0.19478057324886322
;,0.10986888408660889,0.05324986204504967,0.09152708947658539,0.01846458949148655,0.03756367042660713,0.02652585878968239,0.092739537358284,0.09152708947658539,0.10649053007364273,0.054534342139959335,0.10349778085947037
welfare,0.24410170316696167,0.16746699810028076,0.26062023639678955,0.13254791498184204,0.28291842341423035,0.1413005292415619,0.19487927854061127,0.26062023639678955,0.25353744626045227,0.31598109006881714,0.17747683823108673
reform,0.20049384236335754,0.188787043094635,0.28116169571876526,0.19127392768859863,0.3529011607170105,0.1440487951040268,0.22404487431049347,0.28116169571876526,0.18772706389427185,0.28063878417015076,0.14216484129428864
;,0.10986888408660889,0.05324986204504967,0.09152708947658539,0.01846458949148655,0.03756367042660713,0.02652585878968239,0.092739537358284,0.09152708947658539,0.10649053007364273,0.054534342139959335,0.10349778085947037
and,0.31309178471565247,0.3859752118587494,0.5171257257461548,0.2972351908683777,0.26227831840515137,0.2922934591770172,0.4954058527946472,0.5171257257461548,0.27958914637565613,0.5116966962814331,0.20544172823429108
infrastructure,0.23299327492713928,0.20160584151744843,0.255354642868042,0.14399580657482147,0.20993666350841522,0.24318626523017883,0.27765583992004395,0.255354642868042,0.12706515192985535,0.27721908688545227,0.15828795731067657
and,0.31309178471565247,0.3859752118587494,0.5171257257461548,0.2972351908683777,0.26227831840515137,0.2922934591770172,0.4954058527946472,0.5171257257461548,0.27958914637565613,0.5116966962814331,0.20544172823429108
capital,0.17967931926250458,0.2849797308444977,0.3049491047859192,0.027450215071439743,0.24260909855365753,0.14821426570415497,0.3233928978443146,0.3049491047859192,0.1565600484609604,0.30823585391044617,0.0907452180981636
investment,0.21795563399791718,0.22608432173728943,0.20950904488563538,0.1227850466966629,0.2410152554512024,0.25618448853492737,0.19176560640335083,0.20950904488563538,0.13890153169631958,0.24637944996356964,0.17811161279678345
.,0.3567904531955719,0.4569662809371948,0.5934505462646484,0.20125295221805573,0.23747818171977997,0.29744869470596313,0.5591574311256409,0.5934505462646484,0.27895694971084595,0.5352458953857422,0.4130953550338745
