,what,is,negatively,correlated,to,the,duration,of,economic,growth,?
with,0.2464839518070221,0.3250955045223236,0.27348387241363525,0.26813820004463196,0.4239959120750427,0.4223487675189972,0.23110812902450562,0.41827285289764404,0.21086382865905762,0.1721288114786148,0.2433311939239502
the,0.42745697498321533,0.5823672413825989,0.2790641486644745,0.2541837692260742,0.535392165184021,1.0,0.31192225217819214,0.733189046382904,0.282455176115036,0.2912366986274719,0.22068053483963013
duration,0.29509851336479187,0.19252122938632965,0.23125462234020233,0.3063669800758362,0.2971265912055969,0.31192225217819214,0.9999998807907104,0.24461549520492554,0.1813521534204483,0.23411346971988678,0.24553591012954712
of,0.33290785551071167,0.4854315221309662,0.18762752413749695,0.24420642852783203,0.41548454761505127,0.733189046382904,0.24461549520492554,1.0,0.3030148148536682,0.2679378092288971,0.1826142966747284
economic,0.18082544207572937,0.21102669835090637,0.18638533353805542,0.17818936705589294,0.26856908202171326,0.282455176115036,0.1813521534204483,0.3030148148536682,0.9999999403953552,0.4732155203819275,0.1206481084227562
growth,0.1739405393600464,0.2256266176700592,0.2923332452774048,0.21406449377536774,0.2701800763607025,0.2912366986274719,0.23411346971988678,0.2679378092288971,0.4732155203819275,1.0000001192092896,0.07547862827777863
spells,0.20871296525001526,0.235303595662117,0.16717912256717682,0.09228911250829697,0.27482840418815613,0.2517777681350708,0.15057572722434998,0.2445135861635208,0.15030312538146973,0.16175420582294464,0.13459892570972443
(,0.2411840260028839,0.35393038392066956,0.14068885147571564,0.17634426057338715,0.30882009863853455,0.33289089798927307,0.2199917584657669,0.35032153129577637,0.12015148252248764,0.15381410717964172,0.40561532974243164
not,0.5449194312095642,0.3776007890701294,0.3423633873462677,0.3308328092098236,0.5149973034858704,0.4310511648654938,0.3310384750366211,0.3307090103626251,0.15982478857040405,0.22978122532367706,0.41942933201789856
the,0.42745697498321533,0.5823672413825989,0.2790641486644745,0.2541837692260742,0.535392165184021,1.0,0.31192225217819214,0.733189046382904,0.282455176115036,0.2912366986274719,0.22068053483963013
rate,0.21845893561840057,0.24290183186531067,0.2623485326766968,0.40024763345718384,0.28584644198417664,0.24881242215633392,0.333441823720932,0.24132871627807617,0.2195093035697937,0.46715715527534485,0.1308269053697586
of,0.33290785551071167,0.4854315221309662,0.18762752413749695,0.24420642852783203,0.41548454761505127,0.733189046382904,0.24461549520492554,1.0,0.3030148148536682,0.2679378092288971,0.1826142966747284
growth,0.1739405393600464,0.2256266176700592,0.2923332452774048,0.21406449377536774,0.2701800763607025,0.2912366986274719,0.23411346971988678,0.2679378092288971,0.4732155203819275,1.0000001192092896,0.07547862827777863
),0.26259949803352356,0.37732169032096863,0.1456528902053833,0.1410238891839981,0.31236231327056885,0.3456730246543884,0.2090960443019867,0.3680361211299896,0.14061136543750763,0.14860999584197998,0.42300865054130554
.,0.3567904531955719,0.4569662809371948,0.23670132458209991,0.1955120861530304,0.4645031690597534,0.5934505462646484,0.24705183506011963,0.5352458953857422,0.22435031831264496,0.2825547754764557,0.4130953550338745
