,what,is,used,to,figure,the,relative,strengh,of,gravity,?
this,0.5489566326141357,0.480927973985672,0.3996967375278473,0.5759071707725525,0.19691656529903412,0.6274310946464539,0.28579673171043396,0.2742590010166168,0.45148900151252747,0.3038611114025116,0.3155723512172699
equation,0.281838983297348,0.2610480785369873,0.17316001653671265,0.2338794618844986,0.21910728514194489,0.2096533477306366,0.3269953727722168,0.1711462289094925,0.18257875740528107,0.43362072110176086,0.22958515584468842
",",0.3087472915649414,0.4691906273365021,0.3120402991771698,0.44245919585227966,0.2352312207221985,0.4933079481124878,0.21147610247135162,0.3180902600288391,0.4946078956127167,0.18731217086315155,0.31091248989105225
a,0.3320399522781372,0.658733606338501,0.3864384889602661,0.45503583550453186,0.2584710121154785,0.5829201340675354,0.3016895651817322,0.2666965126991272,0.5052502155303955,0.18152470886707306,0.23916715383529663
dimensional,0.2632436156272888,0.2354373186826706,0.3030627369880676,0.24173980951309204,0.2803722620010376,0.1910637617111206,0.32059144973754883,0.13799309730529785,0.25377845764160156,0.3770608901977539,0.21201439201831818
constant,0.22559526562690735,0.1972285658121109,0.2370898425579071,0.26379308104515076,0.12627971172332764,0.2037150114774704,0.4503496587276459,0.2144126296043396,0.25393494963645935,0.34506893157958984,0.14516431093215942
is,0.28837618231773376,1.0,0.3288823366165161,0.42745086550712585,0.24901244044303894,0.5823672413825989,0.23987647891044617,0.17798684537410736,0.4854315221309662,0.2301630824804306,0.22961433231830597
used,0.27546408772468567,0.3288823366165161,0.9999998807907104,0.40058770775794983,0.13841450214385986,0.3718377649784088,0.20500415563583374,0.18685078620910645,0.3075267970561981,0.20177605748176575,0.22430120408535004
to,0.455847829580307,0.42745086550712585,0.40058770775794983,1.0,0.24264496564865112,0.535392165184021,0.283727765083313,0.29883819818496704,0.41548454761505127,0.23946231603622437,0.29463258385658264
describe,0.3217031955718994,0.27898338437080383,0.49394431710243225,0.3167092204093933,0.24231941998004913,0.26495152711868286,0.3312775194644928,0.20848789811134338,0.2764313519001007,0.294025719165802,0.15151022374629974
the,0.42745697498321533,0.5823672413825989,0.3718377649784088,0.535392165184021,0.24786046147346497,1.0,0.24540278315544128,0.26989006996154785,0.733189046382904,0.22609853744506836,0.22068053483963013
relative,0.24426062405109406,0.23987647891044617,0.20500415563583374,0.283727765083313,0.16462960839271545,0.24540278315544128,1.0000001192092896,0.21059438586235046,0.32158899307250977,0.34691137075424194,0.1457768678665161
strength,0.23972263932228088,0.17222268879413605,0.2487746626138687,0.2638579308986664,0.16970029473304749,0.22000056505203247,0.26266154646873474,0.742343544960022,0.2074614018201828,0.3032298982143402,0.09558156877756119
of,0.33290785551071167,0.4854315221309662,0.3075267970561981,0.41548454761505127,0.21327486634254456,0.733189046382904,0.32158899307250977,0.2559767961502075,1.0,0.17525646090507507,0.1826142966747284
gravity,0.259439080953598,0.2301630824804306,0.20177605748176575,0.23946231603622437,0.1746300458908081,0.22609853744506836,0.34691137075424194,0.21609580516815186,0.17525646090507507,0.9999999403953552,0.18354056775569916
.,0.3567904531955719,0.4569662809371948,0.33111312985420227,0.4645031690597534,0.24939633905887604,0.5934505462646484,0.21581801772117615,0.2821159362792969,0.5352458953857422,0.19336320459842682,0.4130953550338745
