,who,was,the,leader,of,russia,in,the,1960,'s,?
called,0.3151143789291382,0.33927658200263977,0.489897221326828,0.21002903580665588,0.4222904443740845,0.16940338909626007,0.40847352147102356,0.489897221326828,0.11437330394983292,-0.021773243322968483,0.18963319063186646
the,0.3733934462070465,0.48711544275283813,1.0,0.27799519896507263,0.733189046382904,0.2746676802635193,0.6662389636039734,1.0,0.038049813359975815,-0.01540423184633255,0.22068053483963013
``,0.02397952415049076,-0.012679691426455975,0.029072100296616554,0.11118976026773453,0.06780257821083069,0.060360196977853775,0.04765888676047325,0.029072100296616554,-0.019283877685666084,-0.03416389226913452,0.0685480609536171
thaw,0.22774067521095276,0.21038511395454407,0.2769094705581665,0.1780848503112793,0.21128563582897186,0.17236438393592834,0.24360552430152893,0.2769094705581665,0.03498443588614464,0.04455040395259857,0.19085456430912018
'',0.024401003494858742,0.04456103965640068,0.041273195296525955,0.05775728076696396,0.13035868108272552,0.002305893460288644,0.07432962208986282,0.041273195296525955,-0.04607989266514778,-0.04859459400177002,0.018684765323996544
",",0.3365725874900818,0.45456063747406006,0.4933079481124878,0.23893310129642487,0.4946078956127167,0.2660351097583771,0.5201468467712402,0.4933079481124878,0.07487643510103226,-0.0016132977325469255,0.31091248989105225
in,0.2792111933231354,0.45514053106307983,0.6662389636039734,0.22669851779937744,0.5696388483047485,0.2859639823436737,1.0,0.6662389636039734,0.03880028799176216,-0.037580832839012146,0.20430970191955566
the,0.3733934462070465,0.48711544275283813,1.0,0.27799519896507263,0.733189046382904,0.2746676802635193,0.6662389636039734,1.0,0.038049813359975815,-0.01540423184633255,0.22068053483963013
late,0.19296042621135712,0.4393066465854645,0.31481194496154785,0.20868872106075287,0.21690747141838074,0.14758235216140747,0.3439198434352875,0.31481194496154785,0.020458107814192772,0.013811700977385044,0.11339222639799118
1950s,0.3127519488334656,0.2797155976295471,0.3424292504787445,0.10065007209777832,0.2965795397758484,0.08824360370635986,0.26312577724456787,0.3424292504787445,-0.08023636788129807,-0.019477833062410355,0.16557677090168
",",0.3365725874900818,0.45456063747406006,0.4933079481124878,0.23893310129642487,0.4946078956127167,0.2660351097583771,0.5201468467712402,0.4933079481124878,0.07487643510103226,-0.0016132977325469255,0.31091248989105225
the,0.3733934462070465,0.48711544275283813,1.0,0.27799519896507263,0.733189046382904,0.2746676802635193,0.6662389636039734,1.0,0.038049813359975815,-0.01540423184633255,0.22068053483963013
new,0.2378052920103073,0.2748313844203949,0.3845241069793701,0.19141700863838196,0.343457967042923,0.19918635487556458,0.3758552670478821,0.3845241069793701,-0.005861292593181133,-0.008355522528290749,0.14782847464084625
political,0.24357503652572632,0.24282537400722504,0.20477235317230225,0.3489210307598114,0.27319738268852234,0.23765699565410614,0.22136160731315613,0.20477235317230225,0.006042253691703081,0.04151610657572746,0.17130474746227264
leader,0.31168457865715027,0.3073844909667969,0.27799519896507263,1.0,0.24122127890586853,0.1501724272966385,0.22669851779937744,0.27799519896507263,0.07810041308403015,0.01118219830095768,0.09527933597564697
nikita,0.23749738931655884,0.22864973545074463,0.1983182579278946,0.30901408195495605,0.15825338661670685,0.3429009020328522,0.19114765524864197,0.1983182579278946,0.05843498185276985,0.0527711845934391,0.11108250916004181
khrushchev,0.1876792013645172,0.18671610951423645,0.2294180691242218,0.3209999203681946,0.18277838826179504,0.4758606255054474,0.1814688891172409,0.2294180691242218,-0.0017301407642662525,0.02122325263917446,0.1250452995300293
put,0.25223246216773987,0.24684612452983856,0.34150463342666626,0.174272358417511,0.3247257471084595,0.1049744263291359,0.26728662848472595,0.34150463342666626,-0.043860387057065964,0.006688596680760384,0.2993032932281494
even,0.33644744753837585,0.27441510558128357,0.37996912002563477,0.13200892508029938,0.34735506772994995,0.19140036404132843,0.29146435856819153,0.37996912002563477,-0.14897361397743225,0.0353488028049469,0.30082517862319946
more,0.31567877531051636,0.21525104343891144,0.39758381247520447,0.19099368155002594,0.30478984117507935,0.16516295075416565,0.32563260197639465,0.39758381247520447,-0.050147801637649536,0.032942235469818115,0.27894994616508484
pressure,0.14312592148780823,0.17634209990501404,0.28285476565361023,0.18954433500766754,0.22627468407154083,0.12441816926002502,0.16116683185100555,0.28285476565361023,0.0067151919938623905,0.024452058598399162,0.142023503780365
on,0.2340552806854248,0.3909217119216919,0.5107308030128479,0.13550986349582672,0.3966929316520691,0.19655920565128326,0.46853652596473694,0.5107308030128479,-0.039851151406764984,0.0026888418942689896,0.2714994251728058
the,0.3733934462070465,0.48711544275283813,1.0,0.27799519896507263,0.733189046382904,0.2746676802635193,0.6662389636039734,1.0,0.038049813359975815,-0.01540423184633255,0.22068053483963013
soviet-american,0.311001718044281,0.39553388953208923,0.3360251784324646,0.29148435592651367,0.2701551914215088,0.4427332580089569,0.32376766204833984,0.3360251784324646,-0.007310172077268362,0.09569741040468216,0.21315571665763855
relations,0.23041707277297974,0.21032914519309998,0.2259310483932495,0.21582795679569244,0.272710919380188,0.21690160036087036,0.22494478523731232,0.2259310483932495,-0.04362563416361809,-0.023132214322686195,0.13942402601242065
starting,0.18984614312648773,0.26083552837371826,0.37272053956985474,0.13476797938346863,0.23960795998573303,0.16170582175254822,0.3013272285461426,0.37272053956985474,-0.004133147653192282,-0.013342699967324734,0.19133803248405457
a,0.36608949303627014,0.4508470594882965,0.5829201340675354,0.21384623646736145,0.5052502155303955,0.18307989835739136,0.539380669593811,0.5829201340675354,0.06404880434274673,0.04866964742541313,0.23916715383529663
new,0.2378052920103073,0.2748313844203949,0.3845241069793701,0.19141700863838196,0.343457967042923,0.19918635487556458,0.3758552670478821,0.3845241069793701,-0.005861292593181133,-0.008355522528290749,0.14782847464084625
wave,0.1285056322813034,0.16078074276447296,0.23117129504680634,0.09843520075082779,0.2050720453262329,0.08186383545398712,0.21569965779781342,0.23117129504680634,0.011258389800786972,0.004561342764645815,0.19408074021339417
of,0.2827862501144409,0.4069072902202606,0.733189046382904,0.24122127890586853,1.0,0.23331232368946075,0.5696388483047485,0.733189046382904,0.05807475745677948,-0.03817026689648628,0.1826142966747284
anti-imperialist,0.2387210875749588,0.30997562408447266,0.2819041609764099,0.3065483570098877,0.27687084674835205,0.3130236566066742,0.21924011409282684,0.2819041609764099,0.0186593197286129,-0.016610443592071533,0.13791649043560028
propaganda,0.22327837347984314,0.24901580810546875,0.23970472812652588,0.29058894515037537,0.23603281378746033,0.25224775075912476,0.18540550768375397,0.23970472812652588,-0.07399748265743256,0.15231414139270782,0.24190068244934082
.,0.3541337847709656,0.40146201848983765,0.5934505462646484,0.21285216510295868,0.5352458953857422,0.2664543688297272,0.5591574311256409,0.5934505462646484,0.051420908421278,-0.003708066651597619,0.4130953550338745
