,what,was,the,north,american,portion,of,war,of,austrian,succession,?
in,0.30808621644973755,0.45514053106307983,0.6662389636039734,0.39050599932670593,0.22871561348438263,0.2811550498008728,0.5696388483047485,0.29904094338417053,0.5696388483047485,0.16418905556201935,0.2511105239391327,0.20430970191955566
1748,0.19236686825752258,0.0636105015873909,0.1408766657114029,0.15534111857414246,0.06935025751590729,0.08935827761888504,0.13088567554950714,0.08387972414493561,0.13088567554950714,0.1503698080778122,0.20313125848770142,0.21631641685962677
with,0.2464839518070221,0.27411898970603943,0.4223487675189972,0.185934916138649,0.20245933532714844,0.2707788050174713,0.41827285289764404,0.20580904185771942,0.41827285289764404,0.14593905210494995,0.19093501567840576,0.2433311939239502
the,0.42745697498321533,0.48711544275283813,1.0,0.36298373341560364,0.24562937021255493,0.42017096281051636,0.733189046382904,0.366199791431427,0.733189046382904,0.23007287085056305,0.3133684992790222,0.22068053483963013
signing,0.2526516616344452,0.19628414511680603,0.3163802921772003,0.12794296443462372,0.17005734145641327,0.12704934179782867,0.2501838505268097,0.24651086330413818,0.2501838505268097,0.1640966236591339,0.2661190330982208,0.15776143968105316
of,0.33290785551071167,0.4069072902202606,0.733189046382904,0.3604778051376343,0.22180068492889404,0.31845465302467346,1.0,0.31680163741111755,1.0,0.16766223311424255,0.3265681266784668,0.1826142966747284
the,0.42745697498321533,0.48711544275283813,1.0,0.36298373341560364,0.24562937021255493,0.42017096281051636,0.733189046382904,0.366199791431427,0.733189046382904,0.23007287085056305,0.3133684992790222,0.22068053483963013
treaty,0.17237819731235504,0.2409621626138687,0.2690109610557556,0.2429315149784088,0.09202565997838974,0.14800050854682922,0.2602092921733856,0.412763386964798,0.2602092921733856,0.1424666792154312,0.33126723766326904,0.1174844279885292
of,0.33290785551071167,0.4069072902202606,0.733189046382904,0.3604778051376343,0.22180068492889404,0.31845465302467346,1.0,0.31680163741111755,1.0,0.16766223311424255,0.3265681266784668,0.1826142966747284
aix-la-chapelle,0.14690403640270233,0.23206311464309692,0.25615760684013367,0.2931981086730957,0.13644269108772278,0.15693940222263336,0.24525727331638336,0.2497602254152298,0.24525727331638336,0.22137632966041565,0.1905549317598343,0.10066978633403778
.,0.3567904531955719,0.40146201848983765,0.5934505462646484,0.3171539604663849,0.29108086228370667,0.23307131230831146,0.5352458953857422,0.3000848889350891,0.5352458953857422,0.20832042396068573,0.19792039692401886,0.4130953550338745
