,what,part,of,the,rhine,flows,west,at,katwijk,?
is,0.28837618231773376,0.4582172930240631,0.4854315221309662,0.5823672413825989,0.15617261826992035,0.3137552738189697,0.25201764702796936,0.25906258821487427,0.19955098628997803,0.22961433231830597
called,0.3235960602760315,0.4405199885368347,0.4222904443740845,0.489897221326828,0.14562174677848816,0.20558235049247742,0.1848684400320053,0.23534239828586578,0.16743060946464539,0.18963319063186646
kromme,0.11894065141677856,0.20787842571735382,0.17954999208450317,0.22960209846496582,0.38311272859573364,0.13320335745811462,0.200927734375,0.17925474047660828,0.431014746427536,0.16753874719142914
rijn,0.12599071860313416,0.13255493342876434,0.20357760787010193,0.15022686123847961,0.41360682249069214,0.21252547204494476,0.1962747871875763,0.1500675231218338,0.6180256009101868,0.15792600810527802
(,0.2411840260028839,0.2208257019519806,0.35032153129577637,0.33289089798927307,0.12381801009178162,0.15787149965763092,0.17718875408172607,0.23315078020095825,0.20148788392543793,0.40561532974243164
``,0.008517155423760414,0.08985232561826706,0.06780257821083069,0.029072100296616554,0.031863048672676086,0.05612363666296005,0.07479795068502426,-0.07642947137355804,0.13417626917362213,0.0685480609536171
bent,0.1956503838300705,0.1041717380285263,0.21264435350894928,0.24187809228897095,0.12679092586040497,0.2287542074918747,0.170492023229599,0.21624718606472015,0.18459512293338776,0.2079613208770752
rhine,0.16475653648376465,0.23044916987419128,0.2548927664756775,0.30735138058662415,1.0,0.2871347963809967,0.3360097110271454,0.19469857215881348,0.46572384238243103,0.13754533231258392
'',0.08143015950918198,0.011256706900894642,0.13035868108272552,0.041273195296525955,-0.003653771709650755,-0.06962639838457108,0.013031438924372196,0.04379578307271004,0.007461875211447477,0.018684765323996544
),0.26259949803352356,0.24734117090702057,0.3680361211299896,0.3456730246543884,0.12686386704444885,0.1646219789981842,0.17997638881206512,0.23338089883327484,0.21168234944343567,0.42300865054130554
past,0.3538547456264496,0.18120726943016052,0.27417802810668945,0.2747827172279358,0.16504746675491333,0.17915277183055878,0.1763169765472412,0.16058006882667542,0.21014350652694702,0.2598046660423279
utrecht,0.20980913937091827,0.18198756873607635,0.2735368013381958,0.20970290899276733,0.4250553548336029,0.11266149580478668,0.28186115622520447,0.23135794699192047,0.5263710618019104,0.1335899382829666
",",0.3087472915649414,0.3376222252845764,0.4946078956127167,0.4933079481124878,0.167837992310524,0.2638954818248749,0.28857502341270447,0.38314947485923767,0.29594147205352783,0.31091248989105225
first,0.28086137771606445,0.2607765197753906,0.3536086082458496,0.49448907375335693,0.13051658868789673,0.08375296741724014,0.24142304062843323,0.3138778805732727,0.20325897634029388,0.18701928853988647
leidse,0.22438755631446838,0.20375636219978333,0.28607386350631714,0.2816234230995178,0.3112286329269409,0.19636736810207367,0.2799643278121948,0.2615131437778473,0.4229251444339752,0.24026302993297577
rijn,0.12599071860313416,0.13255493342876434,0.20357760787010193,0.15022686123847961,0.41360682249069214,0.21252547204494476,0.1962747871875763,0.1500675231218338,0.6180256009101868,0.15792600810527802
(,0.2411840260028839,0.2208257019519806,0.35032153129577637,0.33289089798927307,0.12381801009178162,0.15787149965763092,0.17718875408172607,0.23315078020095825,0.20148788392543793,0.40561532974243164
``,0.008517155423760414,0.08985232561826706,0.06780257821083069,0.029072100296616554,0.031863048672676086,0.05612363666296005,0.07479795068502426,-0.07642947137355804,0.13417626917362213,0.0685480609536171
rhine,0.16475653648376465,0.23044916987419128,0.2548927664756775,0.30735138058662415,1.0,0.2871347963809967,0.3360097110271454,0.19469857215881348,0.46572384238243103,0.13754533231258392
of,0.33290785551071167,0.452393114566803,1.0,0.733189046382904,0.2548927664756775,0.25574392080307007,0.2891985774040222,0.42558613419532776,0.2413279414176941,0.1826142966747284
leiden,0.20495037734508514,0.122773177921772,0.24980205297470093,0.19021131098270416,0.2448798418045044,0.08559561520814896,0.20852555334568024,0.1970900148153305,0.440778523683548,0.15920168161392212
'',0.08143015950918198,0.011256706900894642,0.13035868108272552,0.041273195296525955,-0.003653771709650755,-0.06962639838457108,0.013031438924372196,0.04379578307271004,0.007461875211447477,0.018684765323996544
),0.26259949803352356,0.24734117090702057,0.3680361211299896,0.3456730246543884,0.12686386704444885,0.1646219789981842,0.17997638881206512,0.23338089883327484,0.21168234944343567,0.42300865054130554
and,0.31309178471565247,0.35301485657691956,0.5116966962814331,0.5171257257461548,0.22029656171798706,0.2396772801876068,0.273951917886734,0.3571503460407257,0.2700827717781067,0.20544172823429108
then,0.4072686731815338,0.28885555267333984,0.2937326431274414,0.4297412931919098,0.18961727619171143,0.25397923588752747,0.2196020781993866,0.3363982141017914,0.1603199690580368,0.2884598970413208
",",0.3087472915649414,0.3376222252845764,0.4946078956127167,0.4933079481124878,0.167837992310524,0.2638954818248749,0.28857502341270447,0.38314947485923767,0.29594147205352783,0.31091248989105225
oude,0.14733420312404633,0.20544585585594177,0.19248037040233612,0.18701069056987762,0.44803887605667114,0.28987717628479004,0.2947101891040802,0.1351940631866455,0.5611690878868103,0.12360787391662598
rijn,0.12599071860313416,0.13255493342876434,0.20357760787010193,0.15022686123847961,0.41360682249069214,0.21252547204494476,0.1962747871875763,0.1500675231218338,0.6180256009101868,0.15792600810527802
(,0.2411840260028839,0.2208257019519806,0.35032153129577637,0.33289089798927307,0.12381801009178162,0.15787149965763092,0.17718875408172607,0.23315078020095825,0.20148788392543793,0.40561532974243164
``,0.008517155423760414,0.08985232561826706,0.06780257821083069,0.029072100296616554,0.031863048672676086,0.05612363666296005,0.07479795068502426,-0.07642947137355804,0.13417626917362213,0.0685480609536171
old,0.22117848694324493,0.22097529470920563,0.30522194504737854,0.31849798560142517,0.18212221562862396,0.14821463823318481,0.17172345519065857,0.17987459897994995,0.24247828125953674,0.20577076077461243
rhine,0.16475653648376465,0.23044916987419128,0.2548927664756775,0.30735138058662415,1.0,0.2871347963809967,0.3360097110271454,0.19469857215881348,0.46572384238243103,0.13754533231258392
'',0.08143015950918198,0.011256706900894642,0.13035868108272552,0.041273195296525955,-0.003653771709650755,-0.06962639838457108,0.013031438924372196,0.04379578307271004,0.007461875211447477,0.018684765323996544
),0.26259949803352356,0.24734117090702057,0.3680361211299896,0.3456730246543884,0.12686386704444885,0.1646219789981842,0.17997638881206512,0.23338089883327484,0.21168234944343567,0.42300865054130554
.,0.3567904531955719,0.32817673683166504,0.5352458953857422,0.5934505462646484,0.2089352011680603,0.19567762315273285,0.2804967761039734,0.4549728035926819,0.25007739663124084,0.4130953550338745
