,who,conquered,much,of,england,after,the,end,of,roman,imperial,rule,?
migrated,0.23714479804039001,0.4061257243156433,0.2639029026031494,0.22638455033302307,0.1832117736339569,0.1643233299255371,0.2544929087162018,0.10316664725542068,0.22638455033302307,0.13648854196071625,0.06426890939474106,0.22836068272590637,0.10196463763713837
to,0.42656609416007996,0.2174634039402008,0.40610215067863464,0.41548454761505127,0.27769553661346436,0.37890323996543884,0.535392165184021,0.3229445815086365,0.41548454761505127,0.24710409343242645,0.20807525515556335,0.2587790787220001,0.29463258385658264
and,0.41279885172843933,0.28165748715400696,0.38395699858665466,0.5116966962814331,0.35173749923706055,0.3765919506549835,0.5171257257461548,0.24708716571331024,0.5116966962814331,0.2730041444301605,0.20855538547039032,0.22522340714931488,0.20544172823429108
conquered,0.24472782015800476,1.0,0.2299109697341919,0.30313581228256226,0.24148714542388916,0.29821351170539856,0.3127642273902893,0.18753190338611603,0.30313581228256226,0.36013543605804443,0.23261494934558868,0.42569202184677124,0.12499574571847916
much,0.2998695373535156,0.2299109697341919,0.9999998807907104,0.2671096920967102,0.21085163950920105,0.19944456219673157,0.35023224353790283,0.20683908462524414,0.2671096920967102,0.19004762172698975,0.12198206782341003,0.18138273060321808,0.23442231118679047
of,0.2827862501144409,0.30313581228256226,0.2671096920967102,1.0,0.24624483287334442,0.3867455720901489,0.733189046382904,0.2215006798505783,1.0,0.31028008460998535,0.3205159604549408,0.25175079703330994,0.1826142966747284
england,0.23733465373516083,0.24148714542388916,0.21085163950920105,0.24624483287334442,0.9999998807907104,0.24485193192958832,0.28280043601989746,0.23767276108264923,0.24624483287334442,0.2238256186246872,0.1268511265516281,0.15705366432666779,0.13436897099018097
after,0.32549580931663513,0.29821351170539856,0.19944456219673157,0.3867455720901489,0.24485193192958832,1.0,0.4565047025680542,0.34383532404899597,0.3867455720901489,0.15456973016262054,0.1541828066110611,0.22583918273448944,0.16608688235282898
the,0.3733934462070465,0.3127642273902893,0.35023224353790283,0.733189046382904,0.28280043601989746,0.4565047025680542,1.0,0.39658910036087036,0.733189046382904,0.2862859070301056,0.3074202835559845,0.29894936084747314,0.22068053483963013
end,0.15423893928527832,0.18753190338611603,0.20683908462524414,0.2215006798505783,0.23767276108264923,0.34383532404899597,0.39658910036087036,1.0,0.2215006798505783,0.11521133780479431,0.14037948846817017,0.2244129478931427,0.12543344497680664
of,0.2827862501144409,0.30313581228256226,0.2671096920967102,1.0,0.24624483287334442,0.3867455720901489,0.733189046382904,0.2215006798505783,1.0,0.31028008460998535,0.3205159604549408,0.25175079703330994,0.1826142966747284
roman,0.1856684684753418,0.36013543605804443,0.19004762172698975,0.31028008460998535,0.2238256186246872,0.15456973016262054,0.2862859070301056,0.11521133780479431,0.31028008460998535,1.0,0.2851242125034332,0.19801828265190125,0.1663191318511963
imperial,0.11028370261192322,0.23261494934558868,0.12198206782341003,0.3205159604549408,0.1268511265516281,0.1541828066110611,0.3074202835559845,0.14037948846817017,0.3205159604549408,0.2851242125034332,1.0,0.22830450534820557,0.10900196433067322
rule,0.31803420186042786,0.42569202184677124,0.18138273060321808,0.25175079703330994,0.15705366432666779,0.22583918273448944,0.29894936084747314,0.2244129478931427,0.25175079703330994,0.19801828265190125,0.22830450534820557,1.0,0.1955260932445526
.,0.3541337847709656,0.21604345738887787,0.3374604284763336,0.5352458953857422,0.31012484431266785,0.35870397090911865,0.5934505462646484,0.26526886224746704,0.5352458953857422,0.27629324793815613,0.259955495595932,0.2436654418706894,0.4130953550338745
