,what,is,the,maximum,square,miles,did,betty,meggers,claim,that,can,be,sustained,in,the,rainforest,?
that,0.6297725439071655,0.3995479643344879,0.5473989248275757,0.2725290358066559,0.19798488914966583,0.16484005749225616,0.47518548369407654,0.15872733294963837,0.2730470597743988,0.39801377058029175,1.0,0.4522190988063812,0.6036020517349243,0.2464008927345276,0.435920387506485,0.5473989248275757,0.22076080739498138,0.32716336846351624
can,0.34502777457237244,0.44256699085235596,0.312528520822525,0.3128964602947235,0.1677469164133072,0.14296101033687592,0.32383522391319275,0.09730498492717743,0.22190868854522705,0.17684704065322876,0.4522190988063812,1.0,0.5791122913360596,0.2175118774175644,0.26527702808380127,0.312528520822525,0.2311638742685318,0.3226337134838104
be,0.3929833769798279,0.4819129705429077,0.4248143136501312,0.24469514191150665,0.1619751900434494,0.10245644301176071,0.22657383978366852,0.12810645997524261,0.24847930669784546,0.2544366419315338,0.6036020517349243,0.5791122913360596,1.0,0.20863908529281616,0.3481820821762085,0.4248143136501312,0.16418099403381348,0.3324260413646698
sustained,0.19234944880008698,0.1520625203847885,0.2170950025320053,0.3841874897480011,0.13136525452136993,0.27562305331230164,0.223511204123497,0.14650177955627441,0.21041172742843628,0.1538802683353424,0.2464008927345276,0.2175118774175644,0.20863908529281616,1.0000001192092896,0.27417314052581787,0.2170950025320053,0.24381375312805176,0.16435115039348602
in,0.30808621644973755,0.5394441485404968,0.6662389636039734,0.18371941149234772,0.2193731665611267,0.22700901329517365,0.2593238651752472,0.17819830775260925,0.2737497389316559,0.16881313920021057,0.435920387506485,0.26527702808380127,0.3481820821762085,0.27417314052581787,1.0,0.6662389636039734,0.2207682877779007,0.20430970191955566
the,0.42745697498321533,0.5823672413825989,1.0,0.228700190782547,0.2809545397758484,0.25706055760383606,0.34736719727516174,0.15101419389247894,0.2656703293323517,0.25873351097106934,0.5473989248275757,0.312528520822525,0.4248143136501312,0.2170950025320053,0.6662389636039734,1.0,0.2571161389350891,0.22068053483963013
rainforest,0.22127854824066162,0.2674187123775482,0.2571161389350891,0.21575546264648438,0.23421312868595123,0.26837971806526184,0.0939265564084053,0.13209055364131927,0.20133766531944275,0.1631372570991516,0.22076080739498138,0.2311638742685318,0.16418099403381348,0.24381375312805176,0.2207682877779007,0.2571161389350891,1.0,0.1917492002248764
through,0.23167094588279724,0.27805060148239136,0.44071322679519653,0.15319211781024933,0.13574935495853424,0.2398795187473297,0.14190755784511566,0.08292344212532043,0.14206759631633759,0.13435108959674835,0.3152649402618408,0.33144164085388184,0.290402352809906,0.24006593227386475,0.38533157110214233,0.44071322679519653,0.21453380584716797,0.16913433372974396
hunting,0.21647632122039795,0.21004845201969147,0.2975936233997345,0.12389060854911804,0.033714499324560165,0.11617822200059891,0.2233138531446457,0.13419905304908752,0.2567221224308014,0.14339150488376617,0.260678768157959,0.18839292228221893,0.17332623898983002,0.19861119985580444,0.21091331541538239,0.2975936233997345,0.27453234791755676,0.1138605922460556
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.19527727365493774,0.2723195254802704,0.29495540261268616,0.3015086054801941,0.22387734055519104,0.34869658946990967,0.2664267122745514,0.4137537479400635,0.3139454126358032,0.39254459738731384,0.258950412273407,0.5201468467712402,0.4933079481124878,0.2737860679626465,0.31091248989105225
with,0.2464839518070221,0.3250955045223236,0.4223487675189972,0.1925959587097168,0.13722623884677887,0.12333415448665619,0.25472134351730347,0.12977300584316254,0.23529639840126038,0.16929714381694794,0.4154358208179474,0.3572797477245331,0.36101722717285156,0.26204779744148254,0.4080928862094879,0.4223487675189972,0.19804547727108002,0.2433311939239502
agriculture,0.18790777027606964,0.23420868813991547,0.29133129119873047,0.1671486347913742,0.10899268835783005,0.13310933113098145,0.10786198824644089,0.10692659020423889,0.16510799527168274,0.10280786454677582,0.20773056149482727,0.14481665194034576,0.185055673122406,0.25459375977516174,0.28221622109413147,0.29133129119873047,0.3259108066558838,0.11401621997356415
needed,0.3631289601325989,0.21605761349201202,0.3064746856689453,0.2787155210971832,0.15126578509807587,0.11205900460481644,0.40049824118614197,0.10952292382717133,0.1931082010269165,0.222671240568161,0.45214173197746277,0.49063631892204285,0.44150373339653015,0.2559053301811218,0.21117523312568665,0.3064746856689453,0.17154435813426971,0.2863257825374603
to,0.455847829580307,0.42745086550712585,0.535392165184021,0.27501562237739563,0.17897218465805054,0.2342754453420639,0.4452643394470215,0.1721314936876297,0.20903684198856354,0.324158638715744,0.5436353087425232,0.4979398250579834,0.4972836375236511,0.22967864573001862,0.45010748505592346,0.535392165184021,0.23412610590457916,0.29463258385658264
host,0.12779991328716278,0.18300022184848785,0.26909032464027405,0.126259908080101,0.10557588189840317,0.1131947934627533,0.08573058992624283,0.14950929582118988,0.2144984006881714,0.14751827716827393,0.18125994503498077,0.1460023820400238,0.15821070969104767,0.08021870255470276,0.21661671996116638,0.26909032464027405,0.15306136012077332,0.1021634042263031
a,0.3320399522781372,0.658733606338501,0.5829201340675354,0.24441662430763245,0.22548454999923706,0.23875154554843903,0.2552328109741211,0.18140161037445068,0.26613539457321167,0.19074557721614838,0.47537946701049805,0.3915780484676361,0.39883795380592346,0.30035990476608276,0.539380669593811,0.5829201340675354,0.2497720569372177,0.23916715383529663
larger,0.23663538694381714,0.24218857288360596,0.378620445728302,0.2316386103630066,0.2082177996635437,0.21325267851352692,0.17694389820098877,0.14814814925193787,0.22111466526985168,0.1477101892232895,0.3079192042350769,0.31163960695266724,0.319801926612854,0.1500551998615265,0.26689091324806213,0.378620445728302,0.19642405211925507,0.1602165699005127
population,0.2000674307346344,0.2727566361427307,0.32044094800949097,0.26572099328041077,0.36520883440971375,0.34828853607177734,0.0652005523443222,0.1598062813282013,0.14294515550136566,0.15026897192001343,0.20048558712005615,0.11169198900461197,0.15517795085906982,0.24135997891426086,0.3268454372882843,0.32044094800949097,0.28754767775535583,0.14449454843997955
.,0.3567904531955719,0.4569662809371948,0.5934505462646484,0.2106751948595047,0.2698345184326172,0.23885086178779602,0.35288307070732117,0.2075715959072113,0.334563285112381,0.24773532152175903,0.4460422694683075,0.35783761739730835,0.4383580684661865,0.22234973311424255,0.5591574311256409,0.5934505462646484,0.25713270902633667,0.4130953550338745
