,what,is,stage,1,in,the,life,of,a,bill,?
member,0.09932345896959305,0.2522773742675781,0.08389628678560257,-0.16539853811264038,0.20856694877147675,0.2806392312049866,0.11605516821146011,0.2701796889305115,0.24081070721149445,0.17437314987182617,0.06826172769069672
in,0.30808621644973755,0.5394441485404968,0.2011467069387436,-0.10660158097743988,1.0,0.6662389636039734,0.27054134011268616,0.5696388483047485,0.539380669593811,0.1447519063949585,0.20430970191955566
charge,0.23255030810832977,0.1743287295103073,0.08445531129837036,-0.19728705286979675,0.22046200931072235,0.2730984687805176,0.16980110108852386,0.27586498856544495,0.2415132075548172,0.08953560143709183,0.0958876758813858
of,0.33290785551071167,0.4854315221309662,0.1389172226190567,-0.09473495930433273,0.5696388483047485,0.733189046382904,0.2788603901863098,1.0,0.5052502155303955,0.17127205431461334,0.1826142966747284
the,0.42745697498321533,0.5823672413825989,0.22652170062065125,-0.1554475575685501,0.6662389636039734,1.0,0.23528170585632324,0.733189046382904,0.5829201340675354,0.24155211448669434,0.22068053483963013
bill,0.16425743699073792,0.16088230907917023,0.24478907883167267,-0.20772047340869904,0.1447519063949585,0.24155211448669434,0.06138730049133301,0.17127205431461334,0.24716360867023468,0.9999999403953552,0.12855131924152374
will,0.3510494530200958,0.3723262846469879,0.2407180219888687,-0.28675907850265503,0.2580665349960327,0.3635469079017639,0.2012300342321396,0.2473582625389099,0.3401327431201935,0.20950356125831604,0.35046905279159546
formally,0.19840256869792938,0.29369625449180603,0.2218395173549652,-0.16074053943157196,0.2996116280555725,0.3323594629764557,0.059374723583459854,0.3022876977920532,0.2875966727733612,0.17042818665504456,0.1371411830186844
introduce,0.2023693174123764,0.14672130346298218,0.036299385130405426,-0.32421207427978516,0.18157897889614105,0.22310380637645721,0.17344604432582855,0.2043139487504959,0.25808990001678467,0.21611514687538147,0.22698114812374115
it,0.45803478360176086,0.6328473687171936,0.17540708184242249,-0.14533983170986176,0.5130809545516968,0.6251175999641418,0.20706775784492493,0.38761502504348755,0.5452592968940735,0.164714053273201,0.25732165575027466
to,0.455847829580307,0.42745086550712585,0.1484832912683487,-0.2769182622432709,0.45010748505592346,0.535392165184021,0.24560359120368958,0.41548454761505127,0.45503583550453186,0.17981381714344025,0.29463258385658264
parliament,0.21650300920009613,0.19676777720451355,0.22801706194877625,-0.13962455093860626,0.2323146015405655,0.26521381735801697,0.13667459785938263,0.2885259687900543,0.22951169312000275,0.2732408940792084,0.1586504578590393
together,0.22179445624351501,0.1995578110218048,0.14928676187992096,-0.12585359811782837,0.3252169191837311,0.26662585139274597,0.16120818257331848,0.26678720116615295,0.25249844789505005,0.11639589816331863,0.1690303236246109
with,0.2464839518070221,0.3250955045223236,0.1076672300696373,-0.2545506954193115,0.4080928862094879,0.4223487675189972,0.21728253364562988,0.41827285289764404,0.3783375024795532,0.14591655135154724,0.2433311939239502
its,0.30393704771995544,0.4447362422943115,0.12744686007499695,-0.10031591355800629,0.3793783485889435,0.559237003326416,0.14865194261074066,0.48690423369407654,0.4424409866333008,0.18260256946086884,0.15103481709957123
accompanying,0.24260017275810242,0.20132537186145782,0.22694721817970276,-0.27665549516677856,0.2416074126958847,0.3379639685153961,0.24400174617767334,0.3065544068813324,0.257628858089447,0.09526066482067108,0.22333867847919464
documents,0.24864882230758667,0.17319220304489136,0.04655512794852257,-0.23766569793224335,0.24765178561210632,0.3147846758365631,0.25589773058891296,0.2674802839756012,0.20341899991035461,0.13047347962856293,0.19020383059978485
–,0.13008765876293182,0.1436920464038849,0.18926696479320526,-0.1551126092672348,0.23687128722667694,0.2607575058937073,0.16790218651294708,0.2799985408782959,0.1997407078742981,0.18511170148849487,0.2714554965496063
explanatory,0.3715243637561798,0.2164515256881714,0.11582744866609573,-0.3150431215763092,0.18485012650489807,0.21786241233348846,0.23621352016925812,0.1795770674943924,0.24248966574668884,0.09897066652774811,0.3119804859161377
notes,0.19507816433906555,0.18739700317382812,0.13063181936740875,-0.16942575573921204,0.1728639006614685,0.20623527467250824,0.1308659017086029,0.13280174136161804,0.20641949772834778,0.1408843994140625,0.23920853435993195
",",0.3087472915649414,0.4691906273365021,0.2630990147590637,-0.15742997825145721,0.5201468467712402,0.4933079481124878,0.24050940573215485,0.4946078956127167,0.427140474319458,0.2472437173128128,0.31091248989105225
a,0.3320399522781372,0.658733606338501,0.2036506086587906,-0.20817746222019196,0.539380669593811,0.5829201340675354,0.27076753973960876,0.5052502155303955,1.0,0.24716360867023468,0.23916715383529663
policy,0.3869883120059967,0.15952111780643463,0.07188721746206284,-0.20242466032505035,0.1459147185087204,0.2358427494764328,0.18312981724739075,0.24393197894096375,0.17720282077789307,0.17817780375480652,0.30462446808815
memorandum,0.23814423382282257,0.20589326322078705,0.14823007583618164,-0.2332603931427002,0.310710072517395,0.26992401480674744,0.14055019617080688,0.2745596468448639,0.24660269916057587,0.21382088959217072,0.19922512769699097
setting,0.287603497505188,0.18220333755016327,0.17888079583644867,-0.16457536816596985,0.2323552966117859,0.2991926074028015,0.25282859802246094,0.22114701569080353,0.3013681173324585,0.12809988856315613,0.16943378746509552
out,0.3633197546005249,0.2817855477333069,0.15037156641483307,-0.2081054449081421,0.3576207756996155,0.39404502511024475,0.18925857543945312,0.34176841378211975,0.34264278411865234,0.11102147400379181,0.22020699083805084
the,0.42745697498321533,0.5823672413825989,0.22652170062065125,-0.1554475575685501,0.6662389636039734,1.0,0.23528170585632324,0.733189046382904,0.5829201340675354,0.24155211448669434,0.22068053483963013
policy,0.3869883120059967,0.15952111780643463,0.07188721746206284,-0.20242466032505035,0.1459147185087204,0.2358427494764328,0.18312981724739075,0.24393197894096375,0.17720282077789307,0.17817780375480652,0.30462446808815
underlying,0.44977858662605286,0.2864342927932739,0.16658416390419006,-0.1555909812450409,0.2481892853975296,0.3030717074871063,0.2515491545200348,0.30307427048683167,0.26698967814445496,0.1466311663389206,0.2342413365840912
the,0.42745697498321533,0.5823672413825989,0.22652170062065125,-0.1554475575685501,0.6662389636039734,1.0,0.23528170585632324,0.733189046382904,0.5829201340675354,0.24155211448669434,0.22068053483963013
bill,0.16425743699073792,0.16088230907917023,0.24478907883167267,-0.20772047340869904,0.1447519063949585,0.24155211448669434,0.06138730049133301,0.17127205431461334,0.24716360867023468,0.9999999403953552,0.12855131924152374
",",0.3087472915649414,0.4691906273365021,0.2630990147590637,-0.15742997825145721,0.5201468467712402,0.4933079481124878,0.24050940573215485,0.4946078956127167,0.427140474319458,0.2472437173128128,0.31091248989105225
and,0.31309178471565247,0.3859752118587494,0.17654182016849518,-0.20516018569469452,0.4954058527946472,0.5171257257461548,0.26095253229141235,0.5116966962814331,0.3739250600337982,0.24696701765060425,0.20544172823429108
a,0.3320399522781372,0.658733606338501,0.2036506086587906,-0.20817746222019196,0.539380669593811,0.5829201340675354,0.27076753973960876,0.5052502155303955,1.0,0.24716360867023468,0.23916715383529663
financial,0.1900392472743988,0.1937110424041748,0.14710602164268494,-0.19122859835624695,0.23881284892559052,0.29952070116996765,0.22170794010162354,0.30178552865982056,0.2513774335384369,0.16628578305244446,0.06444920599460602
memorandum,0.23814423382282257,0.20589326322078705,0.14823007583618164,-0.2332603931427002,0.310710072517395,0.26992401480674744,0.14055019617080688,0.2745596468448639,0.24660269916057587,0.21382088959217072,0.19922512769699097
setting,0.287603497505188,0.18220333755016327,0.17888079583644867,-0.16457536816596985,0.2323552966117859,0.2991926074028015,0.25282859802246094,0.22114701569080353,0.3013681173324585,0.12809988856315613,0.16943378746509552
out,0.3633197546005249,0.2817855477333069,0.15037156641483307,-0.2081054449081421,0.3576207756996155,0.39404502511024475,0.18925857543945312,0.34176841378211975,0.34264278411865234,0.11102147400379181,0.22020699083805084
the,0.42745697498321533,0.5823672413825989,0.22652170062065125,-0.1554475575685501,0.6662389636039734,1.0,0.23528170585632324,0.733189046382904,0.5829201340675354,0.24155211448669434,0.22068053483963013
costs,0.21587958931922913,0.20090270042419434,0.11209046840667725,-0.19197799265384674,0.1732029914855957,0.2180386483669281,0.1935300976037979,0.1889231652021408,0.21436090767383575,0.12881195545196533,0.19150719046592712
and,0.31309178471565247,0.3859752118587494,0.17654182016849518,-0.20516018569469452,0.4954058527946472,0.5171257257461548,0.26095253229141235,0.5116966962814331,0.3739250600337982,0.24696701765060425,0.20544172823429108
savings,0.16976867616176605,0.20024260878562927,0.06532210111618042,-0.14964993298053741,0.21125531196594238,0.2851330041885376,0.3093046545982361,0.2767261564731598,0.21607469022274017,0.18579897284507751,0.1057102158665657
associated,0.15836219489574432,0.2300606518983841,0.1471162587404251,-0.10439170897006989,0.23328746855258942,0.2742886245250702,0.20148496329784393,0.3077163100242615,0.22056666016578674,0.061249010264873505,0.1453326791524887
with,0.2464839518070221,0.3250955045223236,0.1076672300696373,-0.2545506954193115,0.4080928862094879,0.4223487675189972,0.21728253364562988,0.41827285289764404,0.3783375024795532,0.14591655135154724,0.2433311939239502
it,0.45803478360176086,0.6328473687171936,0.17540708184242249,-0.14533983170986176,0.5130809545516968,0.6251175999641418,0.20706775784492493,0.38761502504348755,0.5452592968940735,0.164714053273201,0.25732165575027466
.,0.3567904531955719,0.4569662809371948,0.19994208216667175,-0.15870751440525055,0.5591574311256409,0.5934505462646484,0.3029138445854187,0.5352458953857422,0.50484299659729,0.2289014607667923,0.4130953550338745
