,who,other,than,tesla,did,westinghouse,consider,for,the,patents,?
field-based,0.2759825885295868,0.3283527195453644,0.19037945568561554,0.224070742726326,0.2593303322792053,0.31420454382896423,0.26903602480888367,0.3554988205432892,0.29417169094085693,0.25456055998802185,0.21916547417640686
induction,0.1360868364572525,0.15301048755645752,0.12753458321094513,0.3487966060638428,0.09851984679698944,0.3256383240222931,0.263051301240921,0.22771959006786346,0.26266005635261536,0.31096896529197693,0.1510571390390396
motor,0.1466689109802246,0.17381270229816437,0.09977952390909195,0.3617369830608368,0.13840025663375854,0.3054238557815552,0.058176565915346146,0.19755128026008606,0.26024484634399414,0.27180734276771545,0.0637441948056221
presented,0.19792668521404266,0.19186250865459442,0.16651909053325653,0.1576220542192459,0.24108581244945526,0.33489829301834106,0.25241589546203613,0.3429855704307556,0.3251480758190155,0.23730619251728058,0.17025142908096313
in,0.2792111933231354,0.39989137649536133,0.3270052373409271,0.17097744345664978,0.2593238651752472,0.2579890191555023,0.22423222661018372,0.4322226941585541,0.6662389636039734,0.20229753851890564,0.20430970191955566
a,0.36608949303627014,0.2806335389614105,0.3126874566078186,0.2211925983428955,0.2552328109741211,0.25513118505477905,0.308129221200943,0.44038116931915283,0.5829201340675354,0.2283138483762741,0.23916715383529663
paper,0.17045389115810394,0.21269722282886505,0.16386768221855164,0.25876089930534363,0.2034338414669037,0.1954914927482605,0.19754758477210999,0.22010697424411774,0.2077420949935913,0.3608003854751587,0.12693770229816437
in,0.2792111933231354,0.39989137649536133,0.3270052373409271,0.17097744345664978,0.2593238651752472,0.2579890191555023,0.22423222661018372,0.4322226941585541,0.6662389636039734,0.20229753851890564,0.20430970191955566
march,0.22332389652729034,0.15472091734409332,0.14832386374473572,0.1457514613866806,0.27992504835128784,0.20607790350914001,0.11534472554922104,0.2775171995162964,0.2680487632751465,0.14946027100086212,0.2802562415599823
1888,0.13229268789291382,0.08512981235980988,0.2621917724609375,0.12613868713378906,0.08121363818645477,0.05404873937368393,0.06665410846471786,0.11201612651348114,0.2002750039100647,0.036075741052627563,0.07625395059585571
by,0.39727845788002014,0.3321913778781891,0.2015816867351532,0.16513796150684357,0.18574509024620056,0.2823614776134491,0.2509215474128723,0.3248702883720398,0.4408751428127289,0.2412426620721817,0.17966607213020325
the,0.3733934462070465,0.44152235984802246,0.3227543234825134,0.1324402391910553,0.34736719727516174,0.3101098835468292,0.33438587188720703,0.4739971458911896,1.0,0.20236903429031372,0.22068053483963013
italian,0.2497793436050415,0.14456960558891296,0.1352665275335312,0.11990884691476822,0.16107788681983948,0.13960501551628113,0.1527748703956604,0.18703393638134003,0.19855095446109772,0.09650868922472,0.1156633123755455
physicist,0.2537946105003357,0.11257084459066391,0.08724401146173477,0.3627440333366394,0.1487301141023636,0.32296860218048096,0.15532973408699036,0.1361992359161377,0.14301171898841858,0.35622158646583557,0.1378137767314911
galileo,0.20970220863819122,0.13045145571231842,0.16141489148139954,0.26609447598457336,0.18615373969078064,0.16521055996418,0.13937021791934967,0.17925311625003815,0.21531248092651367,0.16573528945446014,0.1773405522108078
ferraris,0.23768959939479828,0.14223060011863708,0.17894679307937622,0.19162613153457642,0.1865224540233612,0.22936101257801056,0.17320144176483154,0.17784789204597473,0.18994256854057312,0.17668233811855316,0.11597006022930145
",",0.3365725874900818,0.4446498453617096,0.3371901512145996,0.20599327981472015,0.3015086054801941,0.277236670255661,0.30831751227378845,0.4464869201183319,0.4933079481124878,0.22191748023033142,0.31091248989105225
but,0.4487357437610626,0.5185769200325012,0.5279248356819153,0.1549924612045288,0.49033689498901367,0.15717637538909912,0.4545280635356903,0.45162561535835266,0.4859698414802551,0.1494915932416916,0.27921953797340393
decided,0.3009106516838074,0.2433459311723709,0.1856328397989273,0.12990914285182953,0.5689980983734131,0.19511377811431885,0.31903111934661865,0.2708965837955475,0.37534645199775696,0.14700396358966827,0.258772075176239
tesla,0.1520961970090866,0.11896419525146484,0.16368234157562256,0.9999999403953552,0.09757418930530548,0.35764777660369873,0.13731910288333893,0.13983871042728424,0.1324402391910553,0.352291464805603,0.10250775516033173
's,0.05599616840481758,0.04445967823266983,0.0585811510682106,0.06449045985937119,0.05069678649306297,-0.008012998849153519,0.000407230545533821,-0.07241261005401611,-0.01540423184633255,0.011529999785125256,-0.023395681753754616
patent,0.21797259151935577,0.17152690887451172,0.11344396322965622,0.3651154637336731,0.17086273431777954,0.3248586356639862,0.12205617129802704,0.23913012444972992,0.1728275567293167,0.8816136121749878,0.13298413157463074
would,0.3632977604866028,0.37565508484840393,0.3915237784385681,0.14290116727352142,0.6268245577812195,0.14934711158275604,0.4572678208351135,0.39877474308013916,0.4133751392364502,0.1621590405702591,0.37178951501846313
probably,0.3645188808441162,0.2761070430278778,0.34985148906707764,0.10795311629772186,0.29997241497039795,0.1514250934123993,0.3911629617214203,0.3415444791316986,0.3722526729106903,0.08657338470220566,0.3524723947048187
control,0.23970051109790802,0.2407509833574295,0.17750686407089233,0.17258068919181824,0.22942528128623962,0.247817263007164,0.1551475077867508,0.2014283388853073,0.32841500639915466,0.19844435155391693,0.1620711386203766
the,0.3733934462070465,0.44152235984802246,0.3227543234825134,0.1324402391910553,0.34736719727516174,0.3101098835468292,0.33438587188720703,0.4739971458911896,1.0,0.20236903429031372,0.22068053483963013
market,0.10590363293886185,0.19028928875923157,0.1700230985879898,0.18071511387825012,0.12897977232933044,0.25745609402656555,0.09569429606199265,0.20589932799339294,0.2041238248348236,0.1752135008573532,0.12805593013763428
.,0.3541337847709656,0.41511186957359314,0.3594527542591095,0.17949827015399933,0.35288307070732117,0.3097001910209656,0.26817744970321655,0.4726039469242096,0.5934505462646484,0.21918348968029022,0.4130953550338745
