,how,much,of,the,gdp,was,agriculture,in,2005,?
for,0.3308170735836029,0.2994346022605896,0.4185989499092102,0.4739971458911896,0.16771060228347778,0.3863949179649353,0.2550101578235626,0.4322226941585541,0.04140647128224373,0.264628142118454
24,-0.016954585909843445,-0.09701976180076599,-0.02356693148612976,0.009148004464805126,-0.06671321392059326,-0.06428006291389465,-0.08674121648073196,-0.0006371065974235535,-0.036343351006507874,0.016154835000634193
%,0.1237400695681572,0.26866111159324646,0.19953428208827972,0.21490740776062012,0.3315473198890686,0.11743833869695663,0.20654213428497314,0.19465309381484985,0.056141793727874756,0.21441808342933655
of,0.2480744868516922,0.2671096920967102,1.0,0.733189046382904,0.173078253865242,0.4069072902202606,0.3250654935836792,0.5696388483047485,0.017815761268138885,0.1826142966747284
gdp,0.24845188856124878,0.24348674714565277,0.173078253865242,0.16116170585155487,1.0000001192092896,0.10266599804162979,0.36818188428878784,0.17962713539600372,0.04792717844247818,0.232579305768013
",",0.22659391164779663,0.36182254552841187,0.4946078956127167,0.4933079481124878,0.17147020995616913,0.45456063747406006,0.30305367708206177,0.5201468467712402,0.11050146818161011,0.31091248989105225
as,0.33782753348350525,0.36514025926589966,0.3886612355709076,0.48381632566452026,0.12358562648296356,0.3677520453929901,0.226229727268219,0.3887844979763031,0.019447719678282738,0.27043893933296204
well,0.410734087228775,0.44768765568733215,0.3343164324760437,0.42630070447921753,0.1216663271188736,0.3130364418029785,0.2275993525981903,0.36612698435783386,0.11365191638469696,0.24815571308135986
as,0.33782753348350525,0.36514025926589966,0.3886612355709076,0.48381632566452026,0.12358562648296356,0.3677520453929901,0.226229727268219,0.3887844979763031,0.019447719678282738,0.27043893933296204
for,0.3308170735836029,0.2994346022605896,0.4185989499092102,0.4739971458911896,0.16771060228347778,0.3863949179649353,0.2550101578235626,0.4322226941585541,0.04140647128224373,0.264628142118454
18,-0.03501921147108078,0.011515788733959198,-0.09725122153759003,-0.07796193659305573,-0.09763047844171524,-0.1265212595462799,-0.027906598523259163,-0.061147160828113556,0.06459368765354156,-0.04919438064098358
%,0.1237400695681572,0.26866111159324646,0.19953428208827972,0.21490740776062012,0.3315473198890686,0.11743833869695663,0.20654213428497314,0.19465309381484985,0.056141793727874756,0.21441808342933655
of,0.2480744868516922,0.2671096920967102,1.0,0.733189046382904,0.173078253865242,0.4069072902202606,0.3250654935836792,0.5696388483047485,0.017815761268138885,0.1826142966747284
wage,0.2567095160484314,0.2255956083536148,0.18234474956989288,0.2281475067138672,0.38719117641448975,0.2125081568956375,0.3348332643508911,0.21568597853183746,0.02499527484178543,0.21983641386032104
employment,0.2789355516433716,0.20212173461914062,0.25652140378952026,0.22877080738544464,0.39921796321868896,0.17765623331069946,0.43171921372413635,0.24140112102031708,-0.008706648834049702,0.20128771662712097
and,0.33647966384887695,0.38395699858665466,0.5116966962814331,0.5171257257461548,0.16981810331344604,0.3740963041782379,0.2700258493423462,0.4954058527946472,0.05766887590289116,0.20544172823429108
50,0.014565115794539452,0.018970422446727753,0.006577443331480026,0.03602437674999237,-0.11958939582109451,-0.0011744623770937324,-0.016776567324995995,0.021892361342906952,0.004736469592899084,0.030512850731611252
%,0.1237400695681572,0.26866111159324646,0.19953428208827972,0.21490740776062012,0.3315473198890686,0.11743833869695663,0.20654213428497314,0.19465309381484985,0.056141793727874756,0.21441808342933655
of,0.2480744868516922,0.2671096920967102,1.0,0.733189046382904,0.173078253865242,0.4069072902202606,0.3250654935836792,0.5696388483047485,0.017815761268138885,0.1826142966747284
revenue,0.1878918707370758,0.23068547248840332,0.22400902211666107,0.22562649846076965,0.44782009720802307,0.18297357857227325,0.3058198094367981,0.18208861351013184,-0.03285251557826996,0.16413173079490662
from,0.22939439117908478,0.24480824172496796,0.4249346852302551,0.40150508284568787,0.1478024125099182,0.31171464920043945,0.21866300702095032,0.4274188280105591,0.05479402095079422,0.19969791173934937
exports,0.13328734040260315,0.2924918532371521,0.2727371156215668,0.23671451210975647,0.47124263644218445,0.1615455001592636,0.4754636287689209,0.20603567361831665,-0.018425488844513893,0.10682802647352219
.,0.3287222981452942,0.3374604284763336,0.5352458953857422,0.5934505462646484,0.17039258778095245,0.40146201848983765,0.29099151492118835,0.5591574311256409,0.0678042471408844,0.4130953550338745
