,_____,helps,the,biospher,from,uv,.
",",0.28135162591934204,0.2342686951160431,0.4933079481124878,0.18064579367637634,0.39760664105415344,0.1708429604768753,0.6812511086463928
but,0.24548985064029694,0.25888803601264954,0.4859698414802551,0.11947879940271378,0.3133932948112488,0.17150834202766418,0.46573564410209656
is,0.20232750475406647,0.27021104097366333,0.5823672413825989,0.26192155480384827,0.27355384826660156,0.22993582487106323,0.4569662809371948
a,0.2585112154483795,0.26026079058647156,0.5829201340675354,0.18700677156448364,0.322764128446579,0.21061740815639496,0.50484299659729
pollutant,0.20625528693199158,0.2808077037334442,0.2376914918422699,0.4180668294429779,0.2500339150428772,0.491327702999115,0.24049587547779083
near,0.12146367877721786,0.047171369194984436,0.2879819869995117,0.1968567967414856,0.2486431896686554,0.1952255666255951,0.2532462477684021
the,0.22620578110218048,0.28157877922058105,1.0,0.19876247644424438,0.40150508284568787,0.14861778914928436,0.5934505462646484
surface,0.14170804619789124,0.18151341378688812,0.2555135488510132,0.32064926624298096,0.15501615405082703,0.41479870676994324,0.2543797492980957
where,0.20313692092895508,0.20248009264469147,0.5003893971443176,0.1605527251958847,0.3713873624801636,0.19398388266563416,0.41390106081962585
it,0.1626187264919281,0.21008102595806122,0.6251175999641418,0.1870131641626358,0.325604110956192,0.2223520427942276,0.5593622326850891
is,0.20232750475406647,0.27021104097366333,0.5823672413825989,0.26192155480384827,0.27355384826660156,0.22993582487106323,0.4569662809371948
a,0.2585112154483795,0.26026079058647156,0.5829201340675354,0.18700677156448364,0.322764128446579,0.21061740815639496,0.50484299659729
by-product,0.31264498829841614,0.2314688116312027,0.2561787962913513,0.2783764898777008,0.17850038409233093,0.33443108201026917,0.26103875041007996
of,0.28392356634140015,0.22412827610969543,0.733189046382904,0.22006186842918396,0.4249346852302551,0.1472974270582199,0.5352458953857422
smog,0.24562068283557892,0.23227126896381378,0.19798199832439423,0.32416030764579773,0.1758560687303543,0.38024458289146423,0.2098662555217743
.,0.2909849286079407,0.24475505948066711,0.5934505462646484,0.16102978587150574,0.41536515951156616,0.24300219118595123,1.0000001192092896
