,what,was,the,resolution,of,the,cameras,used,in,the,eyevision,360,system,?
super,0.13651713728904724,0.21420986950397491,0.21959073841571808,0.15912146866321564,0.14718765020370483,0.21959073841571808,0.22082330286502838,0.18133796751499176,0.18576006591320038,0.21959073841571808,0.20276100933551788,0.15736791491508484,0.22042256593704224,0.166326642036438
bowl,0.15942467749118805,0.21915455162525177,0.21576224267482758,0.18330323696136475,0.2243070751428604,0.21576224267482758,0.19083669781684875,0.19533489644527435,0.17236235737800598,0.21576224267482758,0.20430096983909607,0.16395901143550873,0.13124065101146698,0.21118052303791046
xxxv,0.18331143260002136,0.3117193579673767,0.304460734128952,0.20227155089378357,0.2413904368877411,0.304460734128952,0.2480049431324005,0.12527410686016083,0.23692528903484344,0.304460734128952,0.29013267159461975,0.19195695221424103,0.2178315967321396,0.2121264934539795
;,0.10986888408660889,0.0754367932677269,0.09152708947658539,0.10480183362960815,0.054534342139959335,0.09152708947658539,0.0312536284327507,0.11651374399662018,0.092739537358284,0.09152708947658539,0.025679681450128555,0.09383568912744522,0.005605270154774189,0.10349778085947037
for,0.3017193675041199,0.3863949179649353,0.4739971458911896,0.20845364034175873,0.4185989499092102,0.4739971458911896,0.2902202010154724,0.4236139953136444,0.4322226941585541,0.4739971458911896,0.28675514459609985,0.08413305133581161,0.2630598843097687,0.264628142118454
super,0.13651713728904724,0.21420986950397491,0.21959073841571808,0.15912146866321564,0.14718765020370483,0.21959073841571808,0.22082330286502838,0.18133796751499176,0.18576006591320038,0.21959073841571808,0.20276100933551788,0.15736791491508484,0.22042256593704224,0.166326642036438
bowl,0.15942467749118805,0.21915455162525177,0.21576224267482758,0.18330323696136475,0.2243070751428604,0.21576224267482758,0.19083669781684875,0.19533489644527435,0.17236235737800598,0.21576224267482758,0.20430096983909607,0.16395901143550873,0.13124065101146698,0.21118052303791046
50,-0.04124141484498978,-0.0011744623770937324,0.03602437674999237,-0.015432833693921566,0.006577443331480026,0.03602437674999237,0.01168003398925066,-0.016424573957920074,0.021892361342906952,0.03602437674999237,0.02204144559800625,-0.09706341475248337,-0.0891985297203064,0.030512850731611252
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.18455472588539124,0.4946078956127167,0.4933079481124878,0.22994861006736755,0.3120402991771698,0.5201468467712402,0.4933079481124878,0.34547314047813416,0.1825614869594574,0.18439900875091553,0.31091248989105225
the,0.42745697498321533,0.48711544275283813,1.0,0.2488827407360077,0.733189046382904,1.0,0.2402329444885254,0.3718377649784088,0.6662389636039734,1.0,0.2950143814086914,0.22318391501903534,0.3233085572719574,0.22068053483963013
cameras,0.22978083789348602,0.1963709145784378,0.2402329444885254,0.33266958594322205,0.16742980480194092,0.2402329444885254,1.0000001192092896,0.3231108784675598,0.180817648768425,0.2402329444885254,0.39013251662254333,0.049492236226797104,0.2608259618282318,0.1492827832698822
were,0.22298263013362885,0.590133786201477,0.3906462490558624,0.12252607196569443,0.34038281440734863,0.3906462490558624,0.2703001797199249,0.27636459469795227,0.3815755248069763,0.3906462490558624,0.20221620798110962,0.1250448375940323,0.1800099015235901,0.17890112102031708
upgraded,0.14428594708442688,0.272203654050827,0.22829687595367432,0.12731222808361053,0.1943676620721817,0.22829687595367432,0.212727352976799,0.22734765708446503,0.1683087795972824,0.22829687595367432,0.23893709480762482,0.14535114169120789,0.26794689893722534,0.15831376612186432
to,0.455847829580307,0.3636345863342285,0.535392165184021,0.2805209159851074,0.41548454761505127,0.535392165184021,0.28243497014045715,0.40058770775794983,0.45010748505592346,0.535392165184021,0.2628280222415924,0.05747020244598389,0.26662686467170715,0.29463258385658264
5k,0.028302950784564018,0.02950470894575119,-0.09152332693338394,-0.007925080135464668,0.039611298590898514,-0.09152332693338394,0.005800780840218067,0.02938346192240715,-0.0397079735994339,-0.09152332693338394,0.009615836665034294,-0.09142175316810608,-0.003308210289105773,0.05601515993475914
resolution,0.2625337243080139,0.17136116325855255,0.2488827407360077,1.0,0.24433627724647522,0.2488827407360077,0.33266958594322205,0.19095972180366516,0.1619282215833664,0.2488827407360077,0.35879144072532654,0.018280087038874626,0.21927858889102936,0.223141148686409
.,0.3567904531955719,0.40146201848983765,0.5934505462646484,0.20347629487514496,0.5352458953857422,0.5934505462646484,0.21658402681350708,0.33111312985420227,0.5591574311256409,0.5934505462646484,0.3404518961906433,0.27954861521720886,0.2277725487947464,0.4130953550338745
),0.26259949803352356,0.3267642855644226,0.3456730246543884,0.217221200466156,0.3680361211299896,0.3456730246543884,0.19284851849079132,0.1905621439218521,0.3326910734176636,0.3456730246543884,0.3574897050857544,0.12310990691184998,0.15207810699939728,0.42300865054130554
