,what,side,effect,of,these,type,of,protests,is,unfortunate,?
of,0.33290785551071167,0.2452700436115265,0.24129827320575714,1.0,0.42684608697891235,0.18112817406654358,1.0,0.24181179702281952,0.4854315221309662,0.2881084978580475,0.1826142966747284
coercion,0.29042088985443115,0.1531987190246582,0.2976185083389282,0.2643294036388397,0.27801674604415894,0.19027461111545563,0.2643294036388397,0.3381975591182709,0.22823862731456757,0.21817411482334137,0.2442706823348999
by,0.2455483376979828,0.19597385823726654,0.21400253474712372,0.3646814823150635,0.33332425355911255,0.15232881903648376,0.3646814823150635,0.17826148867607117,0.3899846076965332,0.22475755214691162,0.17966607213020325
their,0.35142919421195984,0.2550533711910248,0.2470109611749649,0.4329940676689148,0.555290937423706,0.14413684606552124,0.4329940676689148,0.20692797005176544,0.2101074606180191,0.24288858473300934,0.1898253709077835
conscientious,0.3660549819469452,0.11940114945173264,0.26953354477882385,0.19853278994560242,0.2057124525308609,0.06113920360803604,0.19853278994560242,0.278942734003067,0.2201639711856842,0.34932398796081543,0.24232997000217438
aim,0.25839361548423767,0.163600891828537,0.1660294383764267,0.1749214082956314,0.22287657856941223,0.15428954362869263,0.1749214082956314,0.17242425680160522,0.19112542271614075,0.1453341245651245,0.14447996020317078
to,0.455847829580307,0.2686329185962677,0.2521958649158478,0.41548454761505127,0.46852558851242065,0.19930607080459595,0.41548454761505127,0.188382089138031,0.42745086550712585,0.29230910539627075,0.29463258385658264
engage,0.22919274866580963,0.2011619359254837,0.2649892270565033,0.16617678105831146,0.26912999153137207,0.13878434896469116,0.16617678105831146,0.22561785578727722,0.17552337050437927,0.26021867990493774,0.1593245565891266
in,0.30808621644973755,0.2626299262046814,0.25150683522224426,0.5696388483047485,0.3791837692260742,0.20604541897773743,0.5696388483047485,0.30384960770606995,0.5394441485404968,0.19609667360782623,0.20430970191955566
moral,0.3679145574569702,0.1610477715730667,0.17892210185527802,0.21832716464996338,0.25448301434516907,0.1470579206943512,0.21832716464996338,0.1601734608411789,0.1767876297235489,0.29554322361946106,0.2608962953090668
dialogue,0.28533935546875,0.1706608682870865,0.16076602041721344,0.1924532651901245,0.2507639527320862,0.11247052252292633,0.1924532651901245,0.1897563338279724,0.18723295629024506,0.20638896524906158,0.20502491295337677
",",0.3087472915649414,0.24522119760513306,0.2150653600692749,0.4946078956127167,0.37613096833229065,0.1804078221321106,0.4946078956127167,0.277413010597229,0.4691906273365021,0.2509552240371704,0.31091248989105225
nevertheless,0.3331672251224518,0.21411286294460297,0.2959890365600586,0.2589026987552643,0.38472864031791687,0.19136008620262146,0.2589026987552643,0.2333049327135086,0.21570613980293274,0.28650736808776855,0.12207362055778503
they,0.4431931674480438,0.2573937773704529,0.22173674404621124,0.3426007330417633,0.6480963826179504,0.1953689455986023,0.3426007330417633,0.2563529312610626,0.330102801322937,0.2493406981229782,0.2753053903579712
may,0.25739946961402893,0.164218470454216,0.25223419070243835,0.26447007060050964,0.31939980387687683,0.1642589271068573,0.26447007060050964,0.2143801599740982,0.322792649269104,0.24179531633853912,0.2768254578113556
find,0.3539876639842987,0.17408223450183868,0.18189838528633118,0.2276865392923355,0.26576027274131775,0.16839085519313812,0.2276865392923355,0.12221792340278625,0.25691378116607666,0.3914165794849396,0.30313602089881897
it,0.45803478360176086,0.2936079800128937,0.2770649194717407,0.38761502504348755,0.39955374598503113,0.22145579755306244,0.38761502504348755,0.17163406312465668,0.6328473687171936,0.24053581058979034,0.25732165575027466
necessary,0.3794087767601013,0.2011442333459854,0.34950709342956543,0.26879626512527466,0.42801618576049805,0.20152348279953003,0.26879626512527466,0.22327739000320435,0.23441283404827118,0.2915310263633728,0.3430270850658417
to,0.455847829580307,0.2686329185962677,0.2521958649158478,0.41548454761505127,0.46852558851242065,0.19930607080459595,0.41548454761505127,0.188382089138031,0.42745086550712585,0.29230910539627075,0.29463258385658264
employ,0.1849662810564041,0.13118122518062592,0.1506790965795517,0.23252986371517181,0.2845362722873688,0.1250753402709961,0.23252986371517181,0.2048695683479309,0.19906814396381378,0.21370255947113037,0.16813796758651733
limited,0.23110276460647583,0.20336733758449554,0.29455840587615967,0.3373238146305084,0.306464284658432,0.18099308013916016,0.3373238146305084,0.15954864025115967,0.17759747803211212,0.24055281281471252,0.09444807469844818
coercion,0.29042088985443115,0.1531987190246582,0.2976185083389282,0.2643294036388397,0.27801674604415894,0.19027461111545563,0.2643294036388397,0.3381975591182709,0.22823862731456757,0.21817411482334137,0.2442706823348999
in,0.30808621644973755,0.2626299262046814,0.25150683522224426,0.5696388483047485,0.3791837692260742,0.20604541897773743,0.5696388483047485,0.30384960770606995,0.5394441485404968,0.19609667360782623,0.20430970191955566
order,0.16634008288383484,0.09310098737478256,0.11397570371627808,0.31287699937820435,0.2744444012641907,0.10786867141723633,0.31287699937820435,0.10737420618534088,0.19403748214244843,0.16515080630779266,0.13725648820400238
to,0.455847829580307,0.2686329185962677,0.2521958649158478,0.41548454761505127,0.46852558851242065,0.19930607080459595,0.41548454761505127,0.188382089138031,0.42745086550712585,0.29230910539627075,0.29463258385658264
get,0.3490515947341919,0.20432554185390472,0.16241292655467987,0.26628199219703674,0.3668822646141052,0.16811636090278625,0.26628199219703674,0.16416035592556,0.29207053780555725,0.2602895498275757,0.3499825894832611
their,0.35142919421195984,0.2550533711910248,0.2470109611749649,0.4329940676689148,0.555290937423706,0.14413684606552124,0.4329940676689148,0.20692797005176544,0.2101074606180191,0.24288858473300934,0.1898253709077835
issue,0.32369524240493774,0.16874976456165314,0.269150972366333,0.2598971724510193,0.19943121075630188,0.19356516003608704,0.2598971724510193,0.1712316870689392,0.16218405961990356,0.3071101903915405,0.32172858715057373
onto,0.24182499945163727,0.3183577358722687,0.19687695801258087,0.18590226769447327,0.2697902321815491,0.17904070019721985,0.18590226769447327,0.10903692245483398,0.1889614462852478,0.1136234924197197,0.1694815307855606
the,0.42745697498321533,0.37146830558776855,0.2865084111690521,0.733189046382904,0.49086877703666687,0.21819381415843964,0.733189046382904,0.2566162943840027,0.5823672413825989,0.26357176899909973,0.22068053483963013
table,0.2240780144929886,0.19748473167419434,0.1568051427602768,0.20049740374088287,0.2287030965089798,0.1891743540763855,0.20049740374088287,0.08955197036266327,0.2049751877784729,0.16134998202323914,0.1782790720462799
.,0.3567904531955719,0.3030071258544922,0.2277858853340149,0.5352458953857422,0.3840779960155487,0.23195341229438782,0.5352458953857422,0.25785157084465027,0.4569662809371948,0.2612210810184479,0.4130953550338745
'',0.08143015950918198,0.04956745356321335,0.026487460359930992,0.13035868108272552,-0.010087166912853718,0.054222505539655685,0.13035868108272552,-0.053723689168691635,0.0793738141655922,0.06071741506457329,0.018684765323996544
,what,side,effect,of,these,type,of,protests,is,unfortunate,?
some,0.4491020441055298,0.23489588499069214,0.2883170247077942,0.4300730526447296,0.7490653991699219,0.2761056125164032,0.4300730526447296,0.2457205206155777,0.3038453459739685,0.31404706835746765,0.2562315762042999
forms,0.16334041953086853,0.19037111103534698,0.23224100470542908,0.33835989236831665,0.3417217433452606,0.3143154978752136,0.33835989236831665,0.15534740686416626,0.35419854521751404,0.08603458851575851,0.1196754202246666
of,0.33290785551071167,0.2452700436115265,0.24129827320575714,1.0,0.42684608697891235,0.18112817406654358,1.0,0.24181179702281952,0.4854315221309662,0.2881084978580475,0.1826142966747284
civil,0.15091551840305328,0.1248936578631401,0.14037711918354034,0.24698495864868164,0.17604097723960876,0.05067194625735283,0.24698495864868164,0.31896910071372986,0.16941262781620026,0.102256640791893,0.1494513899087906
disobedience,0.3298627436161041,0.13329462707042694,0.2656843960285187,0.31932318210601807,0.2914551794528961,0.13337014615535736,0.31932318210601807,0.4980515241622925,0.21453623473644257,0.276155024766922,0.19890835881233215
",",0.3087472915649414,0.24522119760513306,0.2150653600692749,0.4946078956127167,0.37613096833229065,0.1804078221321106,0.4946078956127167,0.277413010597229,0.4691906273365021,0.2509552240371704,0.31091248989105225
such,0.23989605903625488,0.219064399600029,0.2521497309207916,0.3209529519081116,0.5146667957305908,0.2636772096157074,0.3209529519081116,0.17212073504924774,0.23545363545417786,0.20107401907444,0.17851735651493073
as,0.31749409437179565,0.22120459377765656,0.23823627829551697,0.3886612355709076,0.3802948296070099,0.19307732582092285,0.3886612355709076,0.19268234074115753,0.43216490745544434,0.22270862758159637,0.27043893933296204
illegal,0.21956031024456024,0.18079780042171478,0.3004917800426483,0.19375135004520416,0.24881519377231598,0.1518467217683792,0.19375135004520416,0.30630549788475037,0.17237605154514313,0.1797856092453003,0.1562941074371338
boycotts,0.16994649171829224,0.17236833274364471,0.18772035837173462,0.19417281448841095,0.294350266456604,0.05579807981848717,0.19417281448841095,0.517245352268219,0.11944596469402313,0.17465461790561676,0.10877533257007599
",",0.3087472915649414,0.24522119760513306,0.2150653600692749,0.4946078956127167,0.37613096833229065,0.1804078221321106,0.4946078956127167,0.277413010597229,0.4691906273365021,0.2509552240371704,0.31091248989105225
refusals,0.33958330750465393,0.256024032831192,0.20761893689632416,0.30350348353385925,0.36252361536026,0.1362760215997696,0.30350348353385925,0.41633957624435425,0.18317797780036926,0.33364132046699524,0.20675933361053467
to,0.455847829580307,0.2686329185962677,0.2521958649158478,0.41548454761505127,0.46852558851242065,0.19930607080459595,0.41548454761505127,0.188382089138031,0.42745086550712585,0.29230910539627075,0.29463258385658264
pay,0.2870062291622162,0.12083688378334045,0.11974960565567017,0.1583462655544281,0.23125268518924713,0.045128464698791504,0.1583462655544281,0.2325236201286316,0.12657347321510315,0.37043333053588867,0.19821009039878845
taxes,0.2839719355106354,0.109163798391819,0.17876392602920532,0.24622385203838348,0.28098222613334656,0.0858200415968895,0.24622385203838348,0.31078583002090454,0.1368921399116516,0.20706690847873688,0.18323048949241638
",",0.3087472915649414,0.24522119760513306,0.2150653600692749,0.4946078956127167,0.37613096833229065,0.1804078221321106,0.4946078956127167,0.277413010597229,0.4691906273365021,0.2509552240371704,0.31091248989105225
draft,0.20352119207382202,0.08276867866516113,0.18022634088993073,0.1597527265548706,0.15466363728046417,0.13582545518875122,0.1597527265548706,0.17457152903079987,0.08928792178630829,0.17448680102825165,0.1941390335559845
dodging,0.27553412318229675,0.23603884875774384,0.18624421954154968,0.2930799126625061,0.3360960781574249,0.20212404429912567,0.2930799126625061,0.23106317222118378,0.26663339138031006,0.3070787191390991,0.21169091761112213
",",0.3087472915649414,0.24522119760513306,0.2150653600692749,0.4946078956127167,0.37613096833229065,0.1804078221321106,0.4946078956127167,0.277413010597229,0.4691906273365021,0.2509552240371704,0.31091248989105225
distributed,0.12753748893737793,0.13617336750030518,0.2523689866065979,0.239964559674263,0.2930058538913727,0.13325752317905426,0.239964559674263,0.11323689669370651,0.2017366737127304,0.17167668044567108,0.08428370952606201
denial-of-service,0.357603520154953,0.13602511584758759,0.23527619242668152,0.2185867875814438,0.2965817451477051,0.2015075832605362,0.2185867875814438,0.3151242136955261,0.23233865201473236,0.30841875076293945,0.3332744240760803
attacks,0.19946885108947754,0.23067247867584229,0.17691171169281006,0.18891674280166626,0.28856661915779114,0.16883105039596558,0.18891674280166626,0.35687097907066345,0.23290947079658508,0.21077261865139008,0.14532065391540527
",",0.3087472915649414,0.24522119760513306,0.2150653600692749,0.4946078956127167,0.37613096833229065,0.1804078221321106,0.4946078956127167,0.277413010597229,0.4691906273365021,0.2509552240371704,0.31091248989105225
and,0.31309178471565247,0.3098753094673157,0.23508284986019135,0.5116966962814331,0.5314885973930359,0.16898801922798157,0.5116966962814331,0.22497053444385529,0.3859752118587494,0.24699470400810242,0.20544172823429108
sit-ins,0.23901569843292236,0.3201461136341095,0.1552661806344986,0.29617971181869507,0.3020479679107666,0.1916610449552536,0.29617971181869507,0.28829237818717957,0.2979371249675751,0.19482149183750153,0.24522903561592102
",",0.3087472915649414,0.24522119760513306,0.2150653600692749,0.4946078956127167,0.37613096833229065,0.1804078221321106,0.4946078956127167,0.277413010597229,0.4691906273365021,0.2509552240371704,0.31091248989105225
make,0.3792211413383484,0.17434121668338776,0.3353469967842102,0.2912110388278961,0.464915931224823,0.24287153780460358,0.2912110388278961,0.13874608278274536,0.3331545889377594,0.2838855981826782,0.28314751386642456
it,0.45803478360176086,0.2936079800128937,0.2770649194717407,0.38761502504348755,0.39955374598503113,0.22145579755306244,0.38761502504348755,0.17163406312465668,0.6328473687171936,0.24053581058979034,0.25732165575027466
more,0.3484537899494171,0.25214603543281555,0.29258641600608826,0.30478984117507935,0.4663735330104828,0.2277899980545044,0.30478984117507935,0.22846168279647827,0.2946030795574188,0.24519610404968262,0.27894994616508484
difficult,0.37928828597068787,0.18768371641635895,0.26497501134872437,0.2539307773113251,0.3951566517353058,0.18718522787094116,0.2539307773113251,0.1765930950641632,0.29025518894195557,0.35093528032302856,0.20408590137958527
for,0.3017193675041199,0.14891928434371948,0.2288459986448288,0.4185989499092102,0.41566818952560425,0.20848464965820312,0.4185989499092102,0.19723562896251678,0.43268078565597534,0.25575020909309387,0.264628142118454
a,0.3320399522781372,0.29873180389404297,0.24771364033222198,0.5052502155303955,0.24380075931549072,0.3813284635543823,0.5052502155303955,0.21581970155239105,0.658733606338501,0.2234562188386917,0.23916715383529663
system,0.23557309806346893,0.10537710040807724,0.15654011070728302,0.25597915053367615,0.3248380720615387,0.24706636369228363,0.25597915053367615,0.14135093986988068,0.2282046526670456,0.1564512401819229,0.15556083619594574
to,0.455847829580307,0.2686329185962677,0.2521958649158478,0.41548454761505127,0.46852558851242065,0.19930607080459595,0.41548454761505127,0.188382089138031,0.42745086550712585,0.29230910539627075,0.29463258385658264
function,0.22155974805355072,0.1386181265115738,0.19681595265865326,0.16667552292346954,0.26955848932266235,0.21157948672771454,0.16667552292346954,0.03051835112273693,0.17586156725883484,0.16945402324199677,0.20672395825386047
.,0.3567904531955719,0.3030071258544922,0.2277858853340149,0.5352458953857422,0.3840779960155487,0.23195341229438782,0.5352458953857422,0.25785157084465027,0.4569662809371948,0.2612210810184479,0.4130953550338745
