,what,is,the,term,of,office,for,each,house,member,?
their,0.35142919421195984,0.2101074606180191,0.516537070274353,0.18210019171237946,0.4329940676689148,0.1276784986257553,0.3406745493412018,0.4487806558609009,0.16313053667545319,0.11408882588148117,0.1898253709077835
term,0.25282326340675354,0.270183801651001,0.2740369141101837,1.0,0.26047757267951965,0.2912762463092804,0.2766548991203308,0.18035899102687836,0.16486485302448273,0.15771128237247467,0.1901002675294876
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.26047757267951965,1.0,0.24605777859687805,0.4185989499092102,0.38460010290145874,0.285114049911499,0.2701796889305115,0.1826142966747284
office,0.12159775197505951,0.1776546686887741,0.27314993739128113,0.2912762463092804,0.24605777859687805,1.0000001192092896,0.25028741359710693,0.14101383090019226,0.3055565059185028,0.17273226380348206,0.16497313976287842
is,0.28837618231773376,1.0,0.5823672413825989,0.270183801651001,0.4854315221309662,0.1776546686887741,0.43268078565597534,0.2954041659832001,0.2084006369113922,0.2522773742675781,0.22961433231830597
now,0.4903225302696228,0.39589470624923706,0.38266420364379883,0.17830851674079895,0.29182544350624084,0.16696596145629883,0.3636377453804016,0.18053746223449707,0.22642196714878082,0.1775694042444229,0.29641881585121155
the,0.42745697498321533,0.5823672413825989,1.0,0.2740369141101837,0.733189046382904,0.27314993739128113,0.4739971458911896,0.470844566822052,0.2847244441509247,0.2806392312049866,0.22068053483963013
same,0.3764382302761078,0.31152886152267456,0.4583131968975067,0.23864157497882843,0.3808329105377197,0.1275135725736618,0.31941699981689453,0.5086938142776489,0.1385640799999237,0.11446593701839447,0.22649677097797394
as,0.31749409437179565,0.43216490745544434,0.48381632566452026,0.3224089443683624,0.3886612355709076,0.2288317233324051,0.44774648547172546,0.27854636311531067,0.18534636497497559,0.2264706939458847,0.27043893933296204
the,0.42745697498321533,0.5823672413825989,1.0,0.2740369141101837,0.733189046382904,0.27314993739128113,0.4739971458911896,0.470844566822052,0.2847244441509247,0.2806392312049866,0.22068053483963013
lower,0.20079238712787628,0.20806168019771576,0.3463275134563446,0.10933704674243927,0.31757521629333496,0.10516097396612167,0.15945355594158173,0.29110103845596313,0.2392946481704712,0.13813894987106323,0.08471795171499252
house,0.200801283121109,0.2084006369113922,0.2847244441509247,0.16486485302448273,0.285114049911499,0.3055565059185028,0.20432360470294952,0.14050611853599548,0.9999998807907104,0.32381269335746765,0.13736455142498016
members—four,0.21843020617961884,0.24509942531585693,0.37558990716934204,0.2066251039505005,0.3559240698814392,0.23556967079639435,0.2918718159198761,0.2929103374481201,0.33933335542678833,0.7854002714157104,0.1725085973739624
years,0.1981470286846161,0.19551363587379456,0.2912273406982422,0.22886784374713898,0.2904134690761566,0.17314666509628296,0.2878222167491913,0.1956886649131775,0.22013333439826965,0.2272787243127823,0.1914375126361847
.,0.3567904531955719,0.4569662809371948,0.5934505462646484,0.18456575274467468,0.5352458953857422,0.26038533449172974,0.4726039469242096,0.31204065680503845,0.2607949376106262,0.19907453656196594,0.4130953550338745
